,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,Transfers,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,Bank_Equity,Bank_Loans,Bank_Deposits,BankFailed,BankResolved,BankResolutionAmount,BankResolutionHaircut,BankBailedOut,BankBailoutAmount,Defaults,DefaultsHH,DefaultsFirm,BalanceOK
0,57,0.43000000000000005,76.75398059488941,69.06581640031489,69.06581640031489,169.5154893740728,7.715440218926286,24.345918049525416,5.870848507439005,17.63766343635854,87.43256709796725,0.0,1.280612141018437,50.0,23.508511943797544,111.77848514749266,False,False,0.0,0.0,False,0.0,0,0,0,True
1,63,0.37,85.00028813579608,74.81497187958061,76.80100755057039,127.22257759858957,8.527591820918527,7.327271767448713,22.582617021164243,20.048830395458737,91.68143482373341,1.9860356709897813,1.280612141018437,50.0,42.631447416622976,99.00870659118212,False,False,0.0,0.0,False,0.0,0,0,0,True
2,70,0.30000000000000004,94.07293443973796,83.69768741134118,85.80967610626954,125.95860050922035,9.475102023242805,3.390062267850048,41.43117556992088,24.111074432279736,98.68189335207225,4.098024365918118,1.280612141018437,50.026385308908296,65.54225000220062,102.07195561992229,False,False,0.0,0.0,False,0.0,0,0,0,True
3,70,0.30000000000000004,94.41798381327314,83.36885128067533,85.80967610626954,122.65862943809132,9.475102023242805,2.394977469823159,59.923463480191195,23.0843884686818,99.77271422145414,6.5388491915123055,1.280612141018437,50.11469401239865,83.007851948873,102.1676916912773,False,False,0.0,0.0,False,0.0,0,0,0,True
4,69,0.31000000000000005,93.14650915640516,83.76957712033169,84.76704404576301,120.38238660474612,9.339743422910765,1.9844699766286302,78.46144714923125,20.963232916563527,101.53440779125259,7.5363161169436275,1.2741209441015555,50.184456665201836,99.42468006579477,103.51887776788122,False,False,0.0,0.0,False,0.0,0,0,0,True
5,70,0.30000000000000004,94.47537221388589,86.58230399695768,86.44311865080559,120.77231131711757,9.475102023242805,1.7210139973601206,96.40157620441039,18.741655272187817,105.12953352557761,7.397130770791539,1.2741797173151457,50.212063663543695,115.1432314765982,106.85054752293773,False,False,0.0,0.0,False,0.0,0,0,0,True
6,71,0.29000000000000004,95.77668885026495,88.64975052927477,87.75692203112538,121.170240945267,9.610460623574845,1.6149065724339002,113.77900106127098,16.14830577637939,109.21524011293819,6.504302272642141,1.267688520398264,50.212063663543695,129.92730683765038,110.83014668537209,False,False,0.0,0.0,False,0.0,0,0,0,True
7,71,0.29000000000000004,96.10460623574846,86.85494635829679,87.75692203112538,118.7677744802761,9.610460623574845,1.5944478598915393,128.82036324994084,12.703817021850936,110.17918508336759,7.406277945470723,1.280612141018437,50.212063663543695,141.52418027179178,111.77363294325913,False,False,0.0,0.0,False,0.0,0,0,0,True
8,73,0.27,98.55559330948137,91.05604019622209,90.29501065418563,120.42906648757435,9.881177824238925,1.5380145097544178,143.03245241025851,10.075360452854543,114.52865710744439,6.6452484034342785,1.267688520398264,50.212063663543695,153.10781286311305,116.0666716171988,False,False,0.0,0.0,False,0.0,0,0,0,True
9,73,0.27,98.81177824238927,89.20984099605505,90.29501065418563,117.66625115464821,9.881177824238925,1.5459777536550543,154.5422638734566,6.558141212587113,115.41942055022044,7.73041806156488,1.280612141018437,50.212063663543695,161.1004050860437,116.96539830387549,False,False,0.0,0.0,False,0.0,0,0,0,True
