stage,seed,reasons,alpha_mean,alpha_std,wage,productivity,loan_rate,deposit_rate,bank_credit_multiplier,hh_debt_cap_multiplier,firm_debt_cap_multiplier,adaptation_rate,price_elasticity,skill_wage_weight,demand_smoothing
strict,0,employment_below_min;unemployment_above_max;output_below_min;consumption_below_min;hh_deposit_below_min,0.7188645968629919,0.0424730583006289,1.2592281239439402,1.371849688811889,0.0483377883318672,0.0134416833084368,10.011713813967422,2.457786217029315,4.233048719111979,0.6311680726937057,2.5404658744050312,0.3081382985462741,0.2279423760949865
strict,0,employment_below_min;unemployment_above_max;output_below_min;consumption_below_min,0.7237633714837846,0.0761925261398716,1.3566378416383904,1.1200257928277213,0.0432142694932271,0.0199057328185445,10.703983106476803,2.2309351504780164,2.2602665399184905,0.3262840217175081,1.233213239038704,0.4360114795060647,0.0866273551839951
strict,0,hh_deposit_below_min,0.8601237667591906,0.0482987930243697,1.0893131362545585,1.1326720524216718,0.0589501345674841,0.0109603282530592,8.166050481723326,3.606091682277876,3.037771807894999,0.8690015044651365,2.6995835535966486,0.4422601371612756,0.0756279478511598
strict,0,bank_resolved_above_max,0.7280382831130795,0.1212531714275526,1.2670736213647025,1.1503185359923758,0.0429308488065424,0.0195921283019877,4.873837846526108,4.4486077495969605,2.896530962636281,0.631268937870097,1.562046155306807,0.304848149281618,0.1875964170573596
strict,1,bank_resolved_above_max,0.7128091701973601,0.0790721733395931,1.424880163856146,1.2640208063235348,0.0379296997952532,0.0192454322211719,6.1953651967835714,3.459303787252991,2.012624395118348,0.913446285200654,2.614860424786821,0.0812852915338744,0.071871208293721
strict,0,hh_deposit_below_min;bank_resolved_above_max,0.7734793108239713,0.0617687156221165,1.1091837995778877,1.381813658307164,0.0458520714658624,0.018579062876129,9.814245102394349,2.8232953825357305,2.889619746328788,0.3495530596574405,1.6169987217042596,0.3135547055006297,0.1564402223374066
strict,0,hh_deposit_below_min,0.8936882443836118,0.1233194516443702,1.013422166922876,1.1050994989039529,0.0255664624120352,0.0046136169937008,4.715177758087279,3.9053143241740194,2.847776779266531,0.878373461752002,1.505619770566198,0.4077036996893062,0.3076296765625427
strict,0,bank_resolved_above_max,0.7949130636275326,0.1103504084714077,1.2757198953720383,1.3672753621028946,0.0444760511756531,0.0187800503958988,10.852069624100409,3.591222349633368,4.353164782913846,0.3139216511304538,2.408709331331383,0.2822734468491064,0.072488929101012
strict,1,employment_below_min;unemployment_above_max;consumption_below_min;hh_deposit_below_min,0.7816174080594318,0.0405611112117136,1.1807517539058203,1.481424440779617,0.02895913973197,0.0078682711654626,5.2545796722199904,2.365097771870384,2.921756545986439,0.6946743163779237,1.4709977594098298,0.2926754104742757,0.1741652263748026
strict,2,hh_deposit_below_min,0.791701998604904,0.0420060640826818,1.3554818936084918,1.5095136790898935,0.027427893829818,0.015645384356088,9.113490502351278,2.303091160794885,3.4146832948229524,0.4619645911148164,1.965222426916688,0.2894818604176895,0.1203598688432573
strict,0,hh_deposit_below_min,0.7742883973862134,0.0772629291820079,1.199915602352578,1.0877788411769742,0.0171007945113584,0.0208922789556818,8.386797900889132,2.2709550623742696,4.286505166744496,0.7676538760316887,1.292488627648035,0.4255316733684257,0.2473703186443306
strict,0,bank_resolved_above_max,0.6648449831639768,0.0926157251884402,1.333194216722602,1.302177130608232,0.0478736871950525,0.0108735611453311,7.151572931970163,3.570653925502026,2.634593872700335,0.3237969164424782,1.0897107400852557,0.4054388260939396,0.0753118258325882
strict,0,employment_below_min;unemployment_above_max;bank_resolved_above_max,0.743655969245552,0.057151464867266,1.379875490325225,1.679173678073526,0.0362057096219465,0.0217932995447219,10.13153546307435,3.534457723071538,3.678089031353012,0.74201774336374,1.167881578743744,0.2757731375945906,0.0773404467887603
strict,0,bank_resolved_above_max,0.7179180627300573,0.0703650518999032,1.2912085247024476,1.0749028013791455,0.0655250624943839,0.0200625023322924,8.653566632577412,3.1668255136327,3.3641160623010475,0.7246922067959445,2.064043015202679,0.1616013234948937,0.1087865311737336
strict,0,hh_deposit_below_min,0.898543721874894,0.1014506797725722,1.3481389885612696,1.579665383467733,0.017583530887423,0.0262282725138592,9.64835740901415,2.285289865707225,4.1606174147943165,0.7915392844214175,1.313030536134945,0.0588472809849711,0.3057136707891613
strict,0,hh_deposit_below_min;bank_resolved_above_max,0.8141397302485547,0.1147702859271044,1.0519355446880192,1.3224643221488168,0.0584577638075488,0.0054288060709728,7.665454225918942,3.0763493632928416,3.1432339554373865,0.7178167029060292,1.8705360170954464,0.3679557262356491,0.1449132491123204
strict,0,hh_deposit_below_min;bank_resolved_above_max,0.8319034034857974,0.0888858761449472,1.1024244556056009,1.26918531660701,0.0530717330610166,0.021224005621691,9.32627323522345,2.83917869682845,4.315523684583914,0.3300683762692948,2.1073995892006723,0.3270995891180644,0.2407974084564021
strict,0,hh_deposit_below_min;bank_resolved_above_max,0.8637557018000612,0.0544254248792602,1.2366443039914583,1.2238332598472097,0.0559808240650464,0.0090992059160466,6.980040255734368,2.356872427690866,1.8651650001083635,0.3591191340458438,1.7952031246939042,0.3151053788181129,0.1363078463414978
strict,0,hh_deposit_below_min;bank_resolved_above_max,0.7619321272264231,0.0668865458469172,0.9684698522900024,1.278079668122362,0.0636083134231891,0.0197844033605298,7.840329022491494,2.327119477961079,2.8546463597851166,0.8160278827554568,1.6588922739544871,0.4484053915926829,0.2025457988327964
