alpha_mean,alpha_std,wage,productivity,loan_rate,deposit_rate,bank_credit_multiplier,hh_debt_cap_multiplier,firm_debt_cap_multiplier,adaptation_rate,price_elasticity,skill_wage_weight,demand_smoothing,price_adjust_speed,price_stickiness,max_price_step,inventory_target_days,demand_expectation_memory,max_hire_per_step,max_fire_per_step,hh_max_dsr,firm_max_dsr,firm_reentry_lag,firm_reentry_cash_fraction,consumption_memory,precautionary_saving,consumption_floor_prop,consumption_ceiling_prop,unemployed_consumption_penalty,unemployment_transfer,Employment_mean,UnemploymentRate_mean,Output_mean,Consumption_mean,Transfers_mean,AvgPrice_mean,AvgMarkup_mean,PriceDispersion_mean,InventoryGap_mean,SalesForecastError_mean,InventoryTurnover_mean,CreditRejections_mean,FirmDowntimeShare_mean,ReentryCount_mean,UnemploymentTransfers_mean,HH_Debt_mean,HH_Deposit_mean,Firm_Debt_mean,Bank_Equity_mean,BankFailed_mean,BankResolved_mean,BankResolutionAmount_mean,BankResolutionHaircut_mean,BankBailedOut_mean,BankBailoutAmount_mean,Defaults_mean,DefaultsHH_mean,DefaultsFirm_mean,BalanceOK_mean,DefaultsHH_rate,DefaultsFirm_rate,BalanceOK_share,BankFailed_share,BankResolved_share,BankBailedOut_share,seed,rep_id
0.6237381803445996,0.0756118869574657,1.1142089777158,1.1609614193798334,0.0475815964241975,0.0106075392178359,9.489688419260748,4.363226472905094,4.022656709695594,0.4640904417266171,1.9137344492808976,0.2864510952770893,0.136921845231448,0.2600879835739531,0.6800004386079117,0.1346192544802589,2.046429967784964,0.3516099336237036,8.86183915263723,6.575023819243388,0.553660782466182,1.7363170042011449,2.2488403848064946,0.4012753650017793,0.4094139032983959,0.204185374235009,0.2196442138906437,1.7462402459957125,0.3122325303986409,0.096398188628801,99.525,0.004750000000000004,116.97993094467029,120.73025224150567,11.089164850716497,1.060512942880819,0.09737098971025675,0.09877876286248512,0.05933924435010442,0.013749456090779013,0.3767639789079633,94.2,0.0,0.0,0.045789139598680466,40.33291184179482,1.9220273620212196,0.0,4.484005896824354,0.0,0.05,0.46499432406784325,0.008358577787211432,0.0,0.0,0.15,0.15,0.0,1.0,0.0036363636363636364,0.0,1.0,0.0,0.1,0.0,0,0
0.6237381803445996,0.0756118869574657,1.1142089777158,1.1609614193798334,0.0475815964241975,0.0106075392178359,9.489688419260748,4.363226472905094,4.022656709695594,0.4640904417266171,1.9137344492808976,0.2864510952770893,0.136921845231448,0.2600879835739531,0.6800004386079117,0.1346192544802589,2.046429967784964,0.3516099336237036,8.86183915263723,6.575023819243388,0.553660782466182,1.7363170042011449,2.2488403848064946,0.4012753650017793,0.4094139032983959,0.204185374235009,0.2196442138906437,1.7462402459957125,0.3122325303986409,0.096398188628801,99.3,0.007000000000000006,116.87621508435436,121.22822323164333,11.064095148717893,1.0627204059366284,0.10155620498158258,0.09355620837456394,-0.016334586688840608,0.01329062587872239,0.4017600751059455,94.675,0.0,0.0,0.0674787320401607,37.54013556626228,1.9334683565218502,0.02033765623341497,6.1352548964875195,0.0,0.025,0.35228349488335997,0.010062937491101138,0.0,0.0,0.05,0.05,0.0,1.0,0.0037272727272727275,0.0,1.0,0.0,0.11363636363636363,0.0,1,0
0.6237381803445996,0.0756118869574657,1.1142089777158,1.1609614193798334,0.0475815964241975,0.0106075392178359,9.489688419260748,4.363226472905094,4.022656709695594,0.4640904417266171,1.9137344492808976,0.2864510952770893,0.136921845231448,0.2600879835739531,0.6800004386079117,0.1346192544802589,2.046429967784964,0.3516099336237036,8.86183915263723,6.575023819243388,0.553660782466182,1.7363170042011449,2.2488403848064946,0.4012753650017793,0.4094139032983959,0.204185374235009,0.2196442138906437,1.7462402459957125,0.3122325303986409,0.096398188628801,99.375,0.0062500000000000056,116.67168605721797,121.4567871686927,11.072451716050763,1.0769678260237492,0.09652318521348764,0.12339237106834569,0.011098617339560307,0.01514989576593331,0.3902134009545278,95.65,0.0,0.0,0.060248867893000616,42.2618754970826,1.2194974240243237,0.0,6.873293086193826,0.0,0.05,0.6899478881871686,0.010488474052595197,0.0,0.0,0.15,0.15,0.0,1.0,0.004272727272727273,0.0009090909090909091,1.0,0.0,0.10909090909090909,0.0,2,0
0.6243711253753095,0.0830232592212217,1.0824012101006677,1.1701411230041323,0.056156555038482,0.0155155050511071,9.688621812926392,4.364766923027886,3.7061060008811055,0.4554494986328857,1.8267464588070623,0.358034589690213,0.2282675967985077,0.313538634861204,0.6790646879931083,0.0927448420683046,1.7108812751603226,0.2938191183509296,8.365762934238935,5.830750779573436,0.5079659026000967,1.447213863030171,2.2083237270107032,0.4428994968882386,0.3999776142746732,0.165131870349331,0.1835278179095786,1.6981844531481705,0.3131327149888567,0.1304525024936633,98.775,0.012250000000000011,117.49882223795446,116.9683326758953,10.691417952769346,1.022649443048473,0.0978117064811416,0.0941760759557044,0.020350612414610763,0.019911304978704913,0.4473729493856414,88.275,0.0,0.0,0.15980431555473756,20.751723058283147,2.5887581285526817,0.0,2.8285149913108265,0.0,0.05,0.6386936441696248,0.008532653365250678,0.0,0.0,0.15,0.15,0.0,1.0,0.0036818181818181815,0.0,1.0,0.0,0.10909090909090909,0.0,0,1
0.6243711253753095,0.0830232592212217,1.0824012101006677,1.1701411230041323,0.056156555038482,0.0155155050511071,9.688621812926392,4.364766923027886,3.7061060008811055,0.4554494986328857,1.8267464588070623,0.358034589690213,0.2282675967985077,0.313538634861204,0.6790646879931083,0.0927448420683046,1.7108812751603226,0.2938191183509296,8.365762934238935,5.830750779573436,0.5079659026000967,1.447213863030171,2.2083237270107032,0.4428994968882386,0.3999776142746732,0.165131870349331,0.1835278179095786,1.6981844531481705,0.3131327149888567,0.1304525024936633,100.0,0.0,119.6847995653707,117.94792911662121,10.824012101006678,1.0148017095242583,0.09102260357275704,0.09605103826319619,0.028604314166392475,0.01892779967980954,0.44687735229780434,95.15,0.0,0.0,0.0,33.99046117973802,2.499750551182617,0.003615052672843905,4.965477743917107,0.0,0.05,0.8401435015190932,0.009206952557582674,0.0,0.0,0.125,0.125,0.0,1.0,0.0037272727272727275,0.0,1.0,0.0,0.11363636363636363,0.0,1,1
0.6243711253753095,0.0830232592212217,1.0824012101006677,1.1701411230041323,0.056156555038482,0.0155155050511071,9.688621812926392,4.364766923027886,3.7061060008811055,0.4554494986328857,1.8267464588070623,0.358034589690213,0.2282675967985077,0.313538634861204,0.6790646879931083,0.0927448420683046,1.7108812751603226,0.2938191183509296,8.365762934238935,5.830750779573436,0.5079659026000967,1.447213863030171,2.2083237270107032,0.4428994968882386,0.3999776142746732,0.165131870349331,0.1835278179095786,1.6981844531481705,0.3131327149888567,0.1304525024936633,98.8,0.012,115.25450932487675,117.07557812110842,10.694123955794598,1.0404082120625133,0.10151014171181108,0.09852585065962072,-0.012940980255186316,0.027371304397870812,0.45894954636350677,95.9,0.0,0.0,0.15654300299239596,42.16504903009835,1.6010102518939384,0.008617149485070747,5.881816867444234,0.0,0.075,1.005181218874258,0.0072474588900657685,0.0,0.0,0.175,0.175,0.0,1.0,0.0034999999999999996,0.0,1.0,0.0,0.09545454545454546,0.0,2,1
0.6239840655249624,0.0811262050422696,1.082084766699809,1.2208759569496803,0.0520489095651183,0.0149018550829673,9.46941902405643,4.380244312977517,3.761074405071016,0.4918468784490869,1.6290775069640648,0.3466021133971493,0.2139275616320504,0.2393440249801801,0.7448152627361286,0.093356626947581,1.867827722128592,0.3594160341312589,7.811261211808568,7.285911783565725,0.5480673528128321,1.488436632678527,1.6810147032455869,0.5655354121861813,0.4577588584943187,0.1747427096928569,0.2181309762115541,1.685510449105027,0.2546514097321041,0.102661079695704,98.525,0.01475000000000001,122.24072633581457,117.08000748725567,10.66124016390987,0.9762331873290849,0.09512742782268839,0.08446673068190184,0.046630367837184314,0.02406039601145572,0.41175299213975763,87.1,0.0,0.0,0.15142509255116338,52.17528008528338,2.3572966129871764,0.0006435826476107687,8.84667622523036,0.0,0.075,1.4417949062192157,0.007747874996401383,0.0,0.0,0.3,0.3,0.0,1.0,0.0037727272727272726,0.0,1.0,0.0,0.09545454545454546,0.0,0,2
0.6239840655249624,0.0811262050422696,1.082084766699809,1.2208759569496803,0.0520489095651183,0.0149018550829673,9.46941902405643,4.380244312977517,3.761074405071016,0.4918468784490869,1.6290775069640648,0.3466021133971493,0.2139275616320504,0.2393440249801801,0.7448152627361286,0.093356626947581,1.867827722128592,0.3594160341312589,7.811261211808568,7.285911783565725,0.5480673528128321,1.488436632678527,1.6810147032455869,0.5655354121861813,0.4577588584943187,0.1747427096928569,0.2181309762115541,1.685510449105027,0.2546514097321041,0.102661079695704,99.5,0.0050000000000000044,123.33389298323482,117.722485090557,10.766743428663101,0.9738339576413122,0.09394427540783021,0.08127285485441435,0.027824018512709593,0.01129147180870134,0.4156773306771283,95.175,0.0,0.0,0.051330539847852,30.143838366728506,2.353895274515035,0.013501601238923005,3.427069100268308,0.0,0.025,0.37603290540251677,0.010664460665443774,0.0,0.0,0.075,0.075,0.0,1.0,0.004090909090909091,0.0,1.0,0.0,0.12272727272727273,0.0,1,2
0.6239840655249624,0.0811262050422696,1.082084766699809,1.2208759569496803,0.0520489095651183,0.0149018550829673,9.46941902405643,4.380244312977517,3.761074405071016,0.4918468784490869,1.6290775069640648,0.3466021133971493,0.2139275616320504,0.2393440249801801,0.7448152627361286,0.093356626947581,1.867827722128592,0.3594160341312589,7.811261211808568,7.285911783565725,0.5480673528128321,1.488436632678527,1.6810147032455869,0.5655354121861813,0.4577588584943187,0.1747427096928569,0.2181309762115541,1.685510449105027,0.2546514097321041,0.102661079695704,95.525,0.04475,116.70881542650962,112.67064175576361,10.336614733899925,0.992020555009233,0.09594043113013358,0.10439933486509698,0.07620252985884217,0.021172861367638584,0.40259250835633703,95.775,0.0,0.0,0.4594083316382753,48.47799287364553,1.294051750299184,0.0,5.226783080960941,0.0,0.075,1.0942838197037077,0.00799820367099686,0.0,0.0,0.3,0.3,0.0,1.0,0.0037727272727272726,0.0,1.0,0.0,0.1,0.0,2,2
0.6245113520254943,0.078793195217137,1.085003936091059,1.173523331113953,0.0478768216771552,0.0174638769822547,9.347959824912529,4.3935051171316415,3.771807449842247,0.4890286165710373,1.6886317973348484,0.2296790347464911,0.1489253507152336,0.2646546663310448,0.7443809867578717,0.1454358446489713,1.7222552444433212,0.4131416039741971,8.51351769012736,6.310131719950933,0.4882586317882836,1.5744662118347252,1.3935012010470982,0.5385683045894994,0.3769646549164211,0.2013101074420826,0.1575924527577291,2.0075228876711946,0.247031966800179,0.1678372670960081,99.175,0.008250000000000007,117.07346163890881,117.31753982907048,10.76052653618308,1.025132446560195,0.10211929484755004,0.08657692460111066,-0.031318849790178675,0.014189500807457869,0.4659125380070961,91.125,0.0,0.0,0.1384657453542067,45.534300994241015,2.1271875345590026,0.00862369468960288,6.94666173847528,0.0,0.025,0.3374338593059656,0.0060355077128925105,0.0,0.0,0.075,0.075,0.0,1.0,0.0030909090909090908,0.0,1.0,0.0,0.07727272727272727,0.0,0,3
