,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,Transfers,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,Bank_Equity,Bank_Loans,Bank_Deposits,BankFailed,BankResolved,BankResolutionAmount,BankResolutionHaircut,BankBailedOut,BankBailoutAmount,Defaults,DefaultsHH,DefaultsFirm,BalanceOK
0,73,0.27,101.49427764805674,81.3623119006987,81.3623119006987,232.12661486192656,10.31673156989823,11.626074827497854,24.77979245060361,35.8405728035122,106.77817174844667,0.0,1.4598993864145628,50.0,60.62036525411581,118.40424657594453,False,False,0.0,0.0,False,0.0,0,0,0,True
1,79,0.20999999999999996,110.78240681276887,85.73632936072201,88.22048431611145,169.5931584697202,11.164682109889865,3.0594988277865816,64.20120228335531,37.339946041790895,111.77363847237145,2.4841549553894398,1.4598993864145628,50.0,101.54114832514621,114.83313730015803,False,False,0.0,0.0,False,0.0,0,0,0,True
2,80,0.19999999999999996,112.2116573542135,88.11716818712517,89.86277232408312,163.47246189512455,11.306007199888471,1.3642118280722597,103.47794637733733,34.55383876510804,114.36040892477322,4.229759092347391,1.4598993864145628,50.0,138.03178514244536,115.72462075284548,False,False,0.0,0.0,False,0.0,0,0,0,True
3,80,0.19999999999999996,112.42597448958355,89.07104650666705,89.86277232408312,162.2548929342282,11.306007199888471,0.9878606140219751,143.28341534762328,30.831950762868594,117.28840470578741,5.021484909763487,1.452546850908516,50.0,174.11536611049186,118.27626531980938,False,False,0.0,0.0,False,0.0,0,0,0,True
4,81,0.18999999999999995,113.71688488302175,90.23173034489386,91.2639314565148,159.69457996863426,11.447332289887076,0.8497719649057879,179.97770046009032,27.11354329173799,120.17094217849824,6.053686021384444,1.452546850908516,50.0,207.0912437518283,121.02071414340402,False,False,0.0,0.0,False,0.0,0,0,0,True
5,81,0.18999999999999995,113.94265237142832,89.08379906698386,91.2639314565148,151.7152247263344,11.447332289887076,0.8195958525615484,209.16646354070517,22.20711644448462,119.90011685884348,8.23381841091539,1.452546850908516,50.0,231.3735799851898,120.71971271140502,False,False,0.0,0.0,False,0.0,0,0,0,True
6,83,0.17000000000000004,115.46916037487027,90.44564503754464,93.86728309948955,145.39227461933473,11.729982469884288,0.7099911091724794,230.61412973017573,18.968347899056035,121.99056055479706,11.655456472860322,1.452546850908516,50.0,249.58247762923176,122.70055166396953,False,False,0.0,0.0,False,0.0,0,0,0,True
7,83,0.17000000000000004,115.86123777819436,90.20081659872608,93.86728309948955,140.14553961210893,11.729982469884288,0.7114926841218515,246.87995688296022,15.345022050546177,122.83187581982233,15.321922973623805,1.4451943154024696,50.0,262.2249789335064,123.54336850394418,False,False,0.0,0.0,False,0.0,0,0,0,True
8,83,0.17000000000000004,115.3619971687761,88.29306438846938,93.86728309948955,133.49604846686094,11.729982469884288,0.7118346000048942,257.25652110120274,11.994572255720344,121.42687246334938,20.89614168464399,1.4451943154024696,50.0,269.2510933569231,122.13870706335427,False,False,0.0,0.0,False,0.0,0,0,0,True
9,83,0.17000000000000004,113.92555434883883,85.56342794233991,93.86728309948955,125.74965869523314,11.729982469884288,0.7118597951169277,261.49013267720215,9.86753378093489,118.21077841248487,29.199996841793638,1.4384184689419681,50.0,271.35766645813703,118.92263820760179,False,False,0.0,0.0,False,0.0,0,0,0,True
10,84,0.16000000000000003,113.63364932993716,86.25698555493611,95.26844223192123,123.78816024270176,11.871307559882894,0.6764157309057733,263.9456722032761,10.897546208838737,119.25934549992712,38.211453518778754,1.4317220258776404,50.0,274.8432184121148,119.9357612308329,False,False,0.0,0.0,False,0.0,0,0,0,True
11,84,0.16000000000000003,114.24497221497239,88.19490802081981,95.26844223192123,126.3817609509493,11.871307559882894,0.6780657735922988,268.4600673137915,11.935667082635584,121.44851410347992,45.28498772988016,1.4251450782548618,50.0,280.3957343964271,122.12657987707222,False,False,0.0,0.0,False,0.0,0,0,0,True
12,84,0.16000000000000003,115.08957034357915,89.42317680552293,95.26844223192123,127.62419624726367,11.871307559882894,0.6785784666947954,273.4437446435012,12.010945905152855,123.29921072497206,51.13025315627846,1.4183692317943604,50.0,285.45469054865407,123.97778919166686,False,False,0.0,0.0,False,0.0,0,0,0,True
