,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,Transfers,UnemploymentTransfers,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,AvgMarkup,PriceDispersion,InventoryGap,SalesForecastError,InventoryTurnover,CreditRequests,CreditRejections,CreditRejectionRate,FirmDowntimeShare,ReentryCount,Bank_Equity,Bank_Loans,Bank_Deposits,BankFailed,BankResolved,BankResolutionAmount,BankResolutionHaircut,BankBailedOut,BankBailoutAmount,Defaults,DefaultsHH,DefaultsFirm,BalanceOK
0,100,0.0,108.66719592098947,123.01144149767102,123.01144149767102,222.29500402047108,10.86671959209895,0.0,9.651311040137587,8.89126144517679,43.330600725752575,119.19078116076778,0.0,1.0556038103604242,0.20482710703172416,0.04066487122568794,-1.0,1.0181673932366817,2.0,67.0,0.0,0.0,0.0,0.0,50.0,52.22186217092936,128.84209220090537,False,False,0.0,0.0,False,0.0,0,0,0,True
1,100,0.0,108.66719592098947,115.0304931630432,123.01144149767102,153.60573762906478,10.86671959209895,0.0,0.21135924320718424,33.675566907576744,37.27226847684579,116.1857930858534,7.980948334627804,1.067685554930449,0.2183803501417981,0.04347135172320595,-0.9606886137059016,0.3708642556826719,1.8227649800577226,104.0,0.0,0.0,0.0,0.0,50.0,70.94783538442253,116.39715232906059,False,False,0.0,0.0,False,0.0,0,0,0,True
2,100,0.0,108.66719592098947,110.4521641057952,123.01144149767102,142.24449909603456,10.86671959209895,0.0,0.0,57.087068112386696,38.839909401922,117.12200761070991,20.54022572650362,1.078767467792226,0.23084449678344007,0.04572944740307616,-0.9024700697651218,0.16357468005715736,1.6547585663939888,107.0,0.0,0.0,0.0,0.0,50.0,95.9269775143087,117.12200761070991,False,False,0.0,0.0,False,0.0,0,0,0,True
3,100,0.0,108.66719592098947,110.4155003489238,123.01144149767102,143.3747078157955,10.86671959209895,0.0,0.0,82.47750060471904,45.1172062006584,123.81363243594517,33.136166875250844,1.0887753580702024,0.24213597585623442,0.047439078798790245,-0.8457209582641674,0.09685481320393205,1.56510077189874,108.0,0.0,0.0,0.0,0.0,50.0,127.59470680537744,123.81363243594517,False,False,0.0,0.0,False,0.0,0,0,0,True
4,100,0.0,108.66719592098947,110.52949680873247,123.01144149767102,144.44624276450548,10.86671959209895,0.0,0.0,109.62869655097421,52.89754448198333,133.11593071524757,45.61811156418939,1.0978316843831155,0.252392515009315,0.04865460170559835,-0.79030447874432,0.06009080707950966,1.5073051274087308,107.0,0.0,0.0,0.0,0.0,50.0,162.52624103295756,133.11593071524757,False,False,0.0,0.0,False,0.0,0,0,0,True
5,98,0.020000000000000018,106.49385200256968,110.07903416907926,120.8698101325471,143.3609699988759,10.64938520025697,0.1221322435040312,0.0,138.700190589189,60.044522259954064,144.55498285999224,56.40888752765723,1.1060095962242205,0.26169944036914394,0.04941739842475742,-0.743325692328488,0.03382171687622764,1.4649060542008656,107.0,0.0,0.0,0.0,0.0,50.0,198.74471284914307,144.55498285999224,False,False,0.0,0.0,False,0.0,0,0,0,True
6,98,0.020000000000000018,106.49385200256968,110.0660083499982,121.12912869879268,143.14327102957165,10.64938520025697,0.1221322435040312,0.0,168.3431373350674,67.4414638656836,157.02836643688434,67.4720078764517,1.1134548511208466,0.2702055939906217,0.04997733323195472,-0.6973078822665937,0.021004087559495226,1.4316485307357205,106.0,0.0,0.0,0.0,0.0,50.0,235.784601200751,157.02836643688434,False,False,0.0,0.0,False,0.0,0,0,0,True
7,97,0.030000000000000027,105.40718004335979,109.17040210448847,120.11978381832257,139.91279605442364,10.54071800433598,0.1831983652560468,0.0,196.69454601727074,72.49100263932603,168.05050493280584,78.4213895902858,1.1202044020368682,0.2779374611414308,0.050565294472372915,-0.6508888102754569,0.014620756555915099,1.3982411956786343,105.0,0.0,0.0,0.0,0.0,50.0,269.1855486565968,168.05050493280584,False,False,0.0,0.0,False,0.0,0,0,0,True
8,95,0.050000000000000044,103.23383612494,106.76651487721766,118.06375812442614,132.9676945651765,10.323383612494002,0.305330608760078,0.0,221.1390040890577,72.78083497866714,174.5605016173804,89.71863283749425,1.126251880004285,0.2848783960004774,0.05136237349195383,-0.5983878272844118,0.029162726037535502,1.3471672640362353,107.0,0.0,0.0,0.0,0.0,50.0,293.91983906772487,174.5605016173804,False,False,0.0,0.0,False,0.0,0,0,0,True
9,98,0.020000000000000018,106.49385200256968,106.21226801446203,120.9960058038245,130.89010425493822,10.649385200256969,0.1221322435040312,0.0,240.7666025857334,78.53714548399653,182.79600661955828,104.50237062685672,1.1314847863600668,0.2908927444806844,0.05249727257067611,-0.519538315351316,0.024800617111526646,1.2253019844155844,107.0,0.0,0.0,0.0,0.0,50.0,319.3037480697299,182.79600661955828,False,False,0.0,0.0,False,0.0,0,0,0,True
