alpha_mean,alpha_std,wage,productivity,loan_rate,deposit_rate,bank_credit_multiplier,hh_debt_cap_multiplier,firm_debt_cap_multiplier,adaptation_rate,price_elasticity,skill_wage_weight,demand_smoothing,price_adjust_speed,price_stickiness,max_price_step,inventory_target_days,demand_expectation_memory,max_hire_per_step,max_fire_per_step,hh_max_dsr,firm_max_dsr,firm_reentry_lag,firm_reentry_cash_fraction,consumption_memory,precautionary_saving,consumption_floor_prop,consumption_ceiling_prop,unemployed_consumption_penalty,unemployment_transfer,Employment_mean,UnemploymentRate_mean,Output_mean,Consumption_mean,Transfers_mean,AvgPrice_mean,AvgMarkup_mean,PriceDispersion_mean,InventoryGap_mean,SalesForecastError_mean,InventoryTurnover_mean,CreditRequests_mean,CreditRejections_mean,CreditRejectionRate_mean,FirmDowntimeShare_mean,ReentryCount_mean,UnemploymentTransfers_mean,HH_Debt_mean,HH_Deposit_mean,Firm_Debt_mean,Bank_Equity_mean,BankFailed_mean,BankResolved_mean,BankResolutionAmount_mean,BankResolutionHaircut_mean,BankBailedOut_mean,BankBailoutAmount_mean,Defaults_mean,DefaultsHH_mean,DefaultsFirm_mean,BalanceOK_mean,DefaultsHH_rate,DefaultsFirm_rate,BalanceOK_share,BankFailed_share,BankResolved_share,BankBailedOut_share,seed,rep_id
0.7285398746066533,0.0675580722518419,1.168915112723547,1.1690513773550808,0.028626603528808,0.0237975025844198,9.116689880614388,4.2186152786814,1.9990738109474284,0.5749359378326897,2.00751851247874,0.1207224850761088,0.2254092231987522,0.2897841199356026,0.7528791983667669,0.1368618227212839,1.576552864149782,0.445218105127573,5.811147191293692,5.895237181574701,0.4248556038501545,1.3780875423515917,3.6224965177920048,0.6300819155746338,0.3925190452154676,0.2065225984393913,0.3074638318813597,1.3718832471428652,0.4142352953526083,0.1378351764946501,94.8,0.052000000000000005,111.35556790001257,120.08822128189504,11.08131526861923,1.1063716285876697,0.09952144099338445,0.09479906333445721,0.044204733167213336,0.022804916083939437,0.4807934550595198,94.775,64.625,0.684921962560944,0.0,0.0,0.7167429177721806,92.23641453528377,0.0,0.3929234707499254,9.733159961194966,0.0,0.025,0.35371857869370743,0.024991699290927438,0.0,0.17818478303032892,0.1,0.1,0.0,1.0,0.004272727272727273,0.00045454545454545455,1.0,0.0,0.1,0.00909090909090909,0,0
0.7285398746066533,0.0675580722518419,1.168915112723547,1.1690513773550808,0.028626603528808,0.0237975025844198,9.116689880614388,4.2186152786814,1.9990738109474284,0.5749359378326897,2.00751851247874,0.1207224850761088,0.2254092231987522,0.2897841199356026,0.7528791983667669,0.1368618227212839,1.576552864149782,0.445218105127573,5.811147191293692,5.895237181574701,0.4248556038501545,1.3780875423515917,3.6224965177920048,0.6300819155746338,0.3925190452154676,0.2065225984393913,0.3074638318813597,1.3718832471428652,0.4142352953526083,0.1378351764946501,91.675,0.08325,109.36553135388631,119.0330680156025,10.716029295893119,1.1208571925371802,0.11487364879579112,0.10426266886303895,-0.14700622911492964,0.051712156124633535,0.6392995007958377,97.75,54.65,0.554349405832845,0.0,0.0,1.147477844317962,104.27920653528251,0.0,0.264929508071201,11.744022385380338,0.0,0.025,0.5173015248316568,0.026662309941823014,0.0,0.13031496242741966,0.025,0.025,0.0,1.0,0.003909090909090909,0.00045454545454545455,1.0,0.0,0.09090909090909091,0.00909090909090909,1,0
0.7285398746066533,0.0675580722518419,1.168915112723547,1.1690513773550808,0.028626603528808,0.0237975025844198,9.116689880614388,4.2186152786814,1.9990738109474284,0.5749359378326897,2.00751851247874,0.1207224850761088,0.2254092231987522,0.2897841199356026,0.7528791983667669,0.1368618227212839,1.576552864149782,0.445218105127573,5.811147191293692,5.895237181574701,0.4248556038501545,1.3780875423515917,3.6224965177920048,0.6300819155746338,0.3925190452154676,0.2065225984393913,0.3074638318813597,1.3718832471428652,0.4142352953526083,0.1378351764946501,99.5,0.0050000000000000044,115.61729851618327,126.81219917746857,11.630705371599296,1.117753532563098,0.09577363947348878,0.0932979309929142,-0.028823481544953455,0.020703389874558845,0.49362328695767843,97.725,53.05,0.5438052264297081,0.0,0.0,0.06891758824732505,75.68815780496004,0.0,0.24846478058468416,8.062573193176865,0.0,0.05,0.6759519371323739,0.012839893680808751,0.0,0.0,0.15,0.15,0.0,1.0,0.003181818181818182,0.00045454545454545455,1.0,0.0,0.13636363636363635,0.0,2,0
0.8360646946483794,0.0581489459607826,1.0129478060742052,1.1809917242490866,0.0386885913342992,0.0057201532079224,10.9908876466338,4.200563358447525,4.055346405356197,0.534376550249551,2.2101083191265496,0.2430252716750883,0.1165744213850438,0.2920459005881848,0.8268381380693224,0.0734085297038834,1.0619871945846673,0.3969977359884655,9.627106512760406,7.570215320890334,0.507211619266476,0.8212138904333233,3.15194967327756,0.4564041949282673,0.3819611745927437,0.2791905307668959,0.0424900416507954,1.485396159500182,0.3851272998636645,0.1028351833143569,93.6,0.06400000000000003,113.04016009910495,103.81818432819821,9.481191464854561,0.949460813733457,0.10013582702410444,0.08832901289338506,0.08106415461959833,0.06251574747372066,0.6367618510760827,94.675,61.15,0.6503171493917713,0.0,0.0,0.6581451732118841,98.65704208279529,0.0,1.2592329240224422,8.038125269675255,0.0,0.1,1.5008893005400308,0.02824734755305951,0.0,0.5092604347379974,0.35,0.35,0.0,1.0,0.006318181818181818,0.0,1.0,0.0,0.09090909090909091,0.01818181818181818,0,1
0.8360646946483794,0.0581489459607826,1.0129478060742052,1.1809917242490866,0.0386885913342992,0.0057201532079224,10.9908876466338,4.200563358447525,4.055346405356197,0.534376550249551,2.2101083191265496,0.2430252716750883,0.1165744213850438,0.2920459005881848,0.8268381380693224,0.0734085297038834,1.0619871945846673,0.3969977359884655,9.627106512760406,7.570215320890334,0.507211619266476,0.8212138904333233,3.15194967327756,0.4564041949282673,0.3819611745927437,0.2791905307668959,0.0424900416507954,1.485396159500182,0.3851272998636645,0.1028351833143569,93.675,0.06325,113.68963754689771,102.22532911132274,9.488788573400118,0.9409408526089447,0.09002696433455444,0.10586655435393322,0.09333324913758644,0.09918746905108833,0.6285721993197028,93.55,72.125,0.7735195866247605,0.0,0.0,0.6504325344633074,120.68588936230147,0.0,0.13821712232233796,7.402125785195895,0.0,0.125,1.9373581703547544,0.029062058941077714,0.0,0.4820097771278453,0.525,0.525,0.0,1.0,0.006681818181818182,0.0,1.0,0.0,0.09090909090909091,0.013636363636363636,1,1
0.8360646946483794,0.0581489459607826,1.0129478060742052,1.1809917242490866,0.0386885913342992,0.0057201532079224,10.9908876466338,4.200563358447525,4.055346405356197,0.534376550249551,2.2101083191265496,0.2430252716750883,0.1165744213850438,0.2920459005881848,0.8268381380693224,0.0734085297038834,1.0619871945846673,0.3969977359884655,9.627106512760406,7.570215320890334,0.507211619266476,0.8212138904333233,3.15194967327756,0.4564041949282673,0.3819611745927437,0.2791905307668959,0.0424900416507954,1.485396159500182,0.3851272998636645,0.1028351833143569,100.0,0.0,119.52448957185474,111.42398353541516,10.129478060742054,0.9638304628020815,0.09946984244754686,0.10546487663732758,-0.02675220117679238,0.0029812819983483195,0.6558392237009074,104.125,68.4,0.6568782673637041,0.0,0.0,0.0,0.004946377189575731,0.0,0.46002919611356247,0.14950631231566014,0.0,0.0,0.0,0.029820469971527354,0.0,0.4841820772419358,0.0,0.0,0.0,1.0,0.004545454545454545,0.0009090909090909091,1.0,0.0,0.04090909090909091,0.01818181818181818,2,1
0.8268087392261951,0.0591078344578508,1.0294622495198362,1.155711160570036,0.0551059145086992,0.0250439144738728,10.318898879186108,3.31792625210978,3.885588165754262,0.444629792213889,1.906531691287352,0.3789440233624188,0.0992287626231891,0.1874031779153515,0.7686517706364016,0.1569210308693236,1.7748173873984237,0.5098368958154647,9.82568319704582,6.537288006900765,0.5151522124836732,0.9172928260555766,1.1350976808175983,0.3320361822757607,0.4613822756947921,0.2102937719264397,0.1955739455131558,2.200071426003167,0.2747444236461316,0.1216525591083598,99.7,0.0030000000000000027,116.87239836842168,112.11426883356748,10.26373862771277,0.9907861069469064,0.10447841558750177,0.0960908219246468,0.11900472481596866,0.004263643108515061,0.40871677370472226,106.025,67.025,0.63216143537295,0.0,0.0,0.03649576773250794,0.014185509745084346,0.0,29.543913823559183,2.9779207865115334,0.0,0.0,0.0,0.016740183051764102,0.0,0.5061134820464519,0.0,0.0,0.0,1.0,0.004545454545454545,0.00045454545454545455,1.0,0.0,0.02727272727272727,0.00909090909090909,0,2
0.8268087392261951,0.0591078344578508,1.0294622495198362,1.155711160570036,0.0551059145086992,0.0250439144738728,10.318898879186108,3.31792625210978,3.885588165754262,0.444629792213889,1.906531691287352,0.3789440233624188,0.0992287626231891,0.1874031779153515,0.7686517706364016,0.1569210308693236,1.7748173873984237,0.5098368958154647,9.82568319704582,6.537288006900765,0.5151522124836732,0.9172928260555766,1.1350976808175983,0.3320361822757607,0.4613822756947921,0.2102937719264397,0.1955739455131558,2.200071426003167,0.2747444236461316,0.1216525591083598,94.2,0.05800000000000002,111.82380318520143,104.63438538817181,9.697534390476857,0.9727089651683756,0.08448279905251037,0.10491331318603218,0.06848371219729028,0.08787943884862606,0.4707694272875371,99.35,72.725,0.7369733894796078,0.0,0.0,0.7055848428284868,71.01646070958218,0.0,17.779512520684694,7.635785523728894,0.0,0.1,1.3532430012839352,0.021786436881448316,0.0,0.4436318821541775,0.375,0.375,0.0,1.0,0.0075,0.0,1.0,0.0,0.1,0.00909090909090909,1,2
0.8268087392261951,0.0591078344578508,1.0294622495198362,1.155711160570036,0.0551059145086992,0.0250439144738728,10.318898879186108,3.31792625210978,3.885588165754262,0.444629792213889,1.906531691287352,0.3789440233624188,0.0992287626231891,0.1874031779153515,0.7686517706364016,0.1569210308693236,1.7748173873984237,0.5098368958154647,9.82568319704582,6.537288006900765,0.5151522124836732,0.9172928260555766,1.1350976808175983,0.3320361822757607,0.4613822756947921,0.2102937719264397,0.1955739455131558,2.200071426003167,0.2747444236461316,0.1216525591083598,97.3,0.027000000000000024,111.96380301700188,108.97064414363444,10.016667687828008,0.9916517233098407,0.09110800424743326,0.08438623586846195,-0.015254884960816034,0.06208035353832801,0.45030965499768955,98.6,58.7,0.599964671595263,0.0,0.0,0.3284619095925715,73.76760941854957,0.0,0.634286182093711,6.897258183067248,0.0,0.2,2.018855161734494,0.02427847071109094,0.0,0.5775212357205998,0.625,0.625,0.0,1.0,0.0085,0.00045454545454545455,1.0,0.0,0.12727272727272726,0.00909090909090909,2,2
0.7000780404702037,0.045076424490058,1.0866719592098948,1.258670430600793,0.027145205400539,0.0222407428344906,9.361757180324268,2.702932299497288,4.297038456635757,0.6139701654029618,2.62219666923421,0.2694586665477694,0.1515779079426143,0.2453730202366336,0.5861490896345385,0.1417262830383449,1.935485049649913,0.3649179027570693,7.687628921913488,6.7337915407731455,0.2870997664587589,1.8657687140360408,1.5958647479983128,0.4138845635166892,0.3105149285034734,0.283128968623487,0.1632353483218702,2.1711237379753907,0.2622204298958366,0.0610661217520156,95.35,0.046500000000000014,123.18727628277736,111.78627094461221,10.361417131066347,0.9328341654477128,0.07456586579671073,0.07535345392758044,0.05222195254682397,0.019859643295534395,0.40531974612969507,100.45,37.175,0.3729005051500634,0.0,0.0,0.2839574661468725,88.93317752268345,0.0,2.2972528579732154,9.886772764910626,0.0,0.025,0.28325990380799976,0.005740888826184826,0.0,0.0,0.1,0.1,0.0,1.0,0.002818181818181818,0.00045454545454545455,1.0,0.0,0.06363636363636363,0.0,0,3
