wave,trained,gate_metrics,skipped,gpr_cv_mean,gpr_cv_median,gpr_cv_share_ge
wave1,31.0,26.0,6.0,0.6160829460098044,0.6296025545338734,1.0
wave2,32.0,21.0,5.0,0.6457872819149715,0.7103967844128685,1.0
