metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,4.0,7.896892500000002,7.896892500000002,0.0,fixed_baseline,0,,,
Output_mean,80.0,8.0,8.86820911573335,8.86820911573335,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,8.0,10.534843574547702,10.534843574547702,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.04000000000000001,0.05840453495042258,0.05840453495042258,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.0016,0.0004536000000000185,0.0004536000000000185,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.008,3.5e-10,3.5e-10,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.024,0.012757500000000003,0.012757500000000003,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.008,0.0027504319312913984,0.0027504319312913984,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.016,0.0032130000000000106,0.0032130000000000106,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.16000000000000003,0.05103000000000001,0.05103000000000001,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,1.6,0.8034798918622685,0.8034798918622685,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,0.8,0.3452220431577978,0.3452220431577978,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,6.0,1.923207640818972,1.923207640818972,0.0,fixed_baseline,0,,,
