wave,trained,gate_metrics,skipped,gpr_cv_mean,gpr_cv_median,gpr_cv_share_ge
wave1,33.0,16.0,4.0,0.6873826617209021,0.6991519913030722,1.0
wave2,29.0,18.0,8.0,0.5778949850408197,0.5570022175257812,1.0
