metric,wave1,wave2,delta_wave2_minus_wave1
NROY_pct,3.0,55.2,52.2
Imax_median,3.4594230217897803,2.7333726612237617,-0.7260503605660187
RI_shrink_mean,64.77744282354281,76.3454932434974,11.568050419954588
bad_run_pct,0.0,0.0,0.0
