,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,Transfers,UnemploymentTransfers,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,AvgMarkup,PriceDispersion,InventoryGap,SalesForecastError,InventoryTurnover,CreditRejections,FirmDowntimeShare,ReentryCount,Bank_Equity,Bank_Loans,Bank_Deposits,BankFailed,BankResolved,BankResolutionAmount,BankResolutionHaircut,BankBailedOut,BankBailoutAmount,Defaults,DefaultsHH,DefaultsFirm,BalanceOK
0,100,0.0,123.83533496493789,112.27662313518421,112.27662313518421,206.6399839413525,12.669154864137422,0.0,37.071267648305536,3.6856236582392636,57.32072276961513,116.66158864031698,0.0,1.1528718082190625,0.04853889277033232,0.03763534580373443,-1.0,0.8898712804933361,2.0,42.0,0.0,0.0,50.0,61.006346427854396,153.73285628862251,False,False,0.0,0.0,False,0.0,0,0,0,True
1,100,0.0,125.45258039256133,109.08179797420986,112.27662313518421,166.37756715262822,12.669154864137422,0.0,18.04928580683997,12.568499951991011,66.40124874335176,115.58532877733536,3.194825160974343,1.1739235116289328,0.05761524543819563,0.05167672474380168,-0.9822729259314293,0.4415556460042686,1.9168900941562999,65.0,0.0,0.0,50.86720012308634,78.96974869534277,133.63461458417532,False,False,0.0,0.0,False,0.0,0,0,0,True
2,100,0.0,124.9078547121838,104.88405335311684,112.27662313518421,153.32728548618348,12.669154864137422,0.0,11.8576617704391,22.53975690845769,77.07190985808303,113.0343235602584,10.587394943041716,1.1912248711307563,0.06719193573508922,0.06028487824977851,-0.9445647939028825,0.22816257124079758,1.7776508185831972,79.0,0.0,0.0,52.531971269505455,99.61166676654072,124.8919853306975,False,False,0.0,0.0,False,0.0,0,0,0,True
3,100,0.0,123.969607338661,102.57023074582544,112.27662313518421,148.09986671022114,12.669154864137422,0.0,9.314502691856468,32.50227547133291,90.38044642435305,112.33742475044137,20.293787332400484,1.205919461385104,0.0769057697800604,0.06489466085457989,-0.8962780227274811,0.12854036996439253,1.658495731730151,85.0,0.0,0.0,54.913057677545154,122.88272189568596,121.65192744229785,False,False,0.0,0.0,False,0.0,0,0,0,True
4,100,0.0,123.16374039446632,101.20663934933516,112.27662313518421,145.4046745212251,12.669154864137422,0.0,7.998591431596725,42.38002511930552,104.73230329776312,112.61468023119906,31.363771118249527,1.2187946534203458,0.08827815683630713,0.06698789348432896,-0.8410493944688486,0.08001902033358824,1.5685017434073583,88.0,0.0,0.0,58.073716794704374,147.11232841706865,120.61327166279578,False,False,0.0,0.0,False,0.0,0,0,0,True
5,99,0.010000000000000009,121.4824946954897,100.00618710048339,111.31315563624712,142.86730107036266,12.542463315496047,0.1271964075129854,7.306503111721961,52.57945594902708,118.40693321897191,113.09533288624328,42.67073965401326,1.2310052100485396,0.09908558941314387,0.06876476800221284,-0.7841452751315131,0.049219030711750725,1.5007033116279138,89.0,0.0,0.0,62.038595868874154,170.986389167999,120.40183599796525,False,False,0.0,0.0,False,0.0,0,0,0,True
6,97,0.030000000000000027,118.91269844958713,98.76371874225599,109.51587992149571,139.84356500368034,12.289080218213298,0.38158922253895616,6.922336022604751,63.19450564493787,130.4008910631428,113.55322095799009,53.422900833253,1.2425488930042943,0.10932159653571774,0.0703083000916834,-0.730756148458051,0.040286529078060074,1.4470274051699543,88.0,0.0,0.0,66.75818803910795,193.59539670808067,120.47555698059485,False,False,0.0,0.0,False,0.0,0,0,0,True
7,99,0.010000000000000009,120.33521852031596,98.74486126474353,111.805040796872,140.58244629001294,12.542463315496047,0.1271964075129854,6.693934129262548,73.8632740401216,145.20017031359367,115.57699000527492,66.48308036538147,1.253474898936708,0.11901377710726099,0.0718567442283113,-0.6677721012149215,0.028378256083667192,1.4083266753199015,87.0,0.0,0.0,72.13588660433528,219.06344435371528,122.27092413453747,False,False,0.0,0.0,False,0.0,0,0,0,True
8,96,0.040000000000000036,117.11944681665535,97.63476014060076,108.64063519651673,137.6023850616617,12.162388669571925,0.5087856300519416,6.526528827148754,85.40841333301098,157.36107035931352,117.12491579590453,77.48895542129743,1.263702817209613,0.128089071190508,0.07347802199975535,-0.6120675788327741,0.02868633889096679,1.372889907216761,88.0,0.0,0.0,78.30030559820688,242.7694836923245,123.65144462305328,False,False,0.0,0.0,False,0.0,0,0,0,True
9,96,0.040000000000000036,116.65299606577652,97.19803650617585,109.04703023608162,137.021486939165,12.162388669571925,0.5087856300519416,6.267533930751254,97.37524959102183,171.23681569807658,120.29947940287028,89.3379491512032,1.2733374989585924,0.13663540824506978,0.07522807348678935,-0.5539718883738839,0.024699378314252264,1.3332137748998718,87.0,0.0,0.0,85.11259798285538,268.6120652890984,126.56701333362153,False,False,0.0,0.0,False,0.0,0,0,0,True
