stage,seed,reasons,alpha_mean,alpha_std,wage,productivity,loan_rate,deposit_rate,bank_credit_multiplier,hh_debt_cap_multiplier,firm_debt_cap_multiplier,adaptation_rate,price_elasticity,skill_wage_weight,demand_smoothing,price_adjust_speed,price_stickiness,max_price_step,inventory_target_days,demand_expectation_memory,max_hire_per_step,max_fire_per_step,hh_max_dsr,firm_max_dsr,firm_reentry_lag,firm_reentry_cash_fraction,consumption_memory,precautionary_saving,consumption_floor_prop,consumption_ceiling_prop,unemployed_consumption_penalty,unemployment_transfer
strict,0,hh_deposit_below_min,0.69117866961037,0.053464035691885,1.004072549667134,1.068747065021892,0.0282862598882244,0.0207940135729084,9.727814596161489,4.313249199430155,2.866920055323188,0.4270358131761786,1.6573918114350903,0.2320163709460339,0.1312102666241046,0.275131664834602,0.7237539554377503,0.1400537106013014,1.315763835455987,0.5386903259724031,8.545894150644447,5.10830446712836,0.5078991192814939,1.4593979710582765,2.838259350965552,0.5176509342209575,0.2959041161036717,0.1856891993920748,0.2340114505528126,2.1742716855210364,0.2150268200684172,0.1842331347011571
strict,0,hh_deposit_below_min,0.812980399644472,0.0610641099672863,1.0534399865556183,1.1798138281226993,0.0326390305196699,0.0097970367716356,8.548420260132064,3.548778275955832,3.2226042468580025,0.7243074112812361,1.4909659243385298,0.1985480032656595,0.2824823914358114,0.2497676886991751,0.7826435078591573,0.1181806289131657,1.574511425783388,0.555559260278091,8.44071079242299,7.367706763092251,0.2945356677028356,1.26714391035576,1.5281436308570022,0.433991704699072,0.3498906140830911,0.2547761907586776,0.1355930502469398,1.8176494367804408,0.3645179786391619,0.1102263072287023
strict,0,hh_deposit_below_min;bank_resolved_above_max,0.7521308384560471,0.0525473842792281,1.0748952509089174,1.090543816117717,0.052043297924122,0.0225084417459989,7.232415154189034,2.716668367954426,2.3656261880880254,0.7010068972248831,1.370825207707569,0.2674332420899041,0.1972139693100664,0.2820524424057533,0.7058179162894582,0.133826841207524,1.4007569586920523,0.3127851918077365,7.856925109244981,5.707897021079958,0.4212043142548048,0.891386184183832,2.3981085886247904,0.5894001635852892,0.2709922008231428,0.2868775006656514,0.1875667354526773,2.0970369344812947,0.2888379203440924,0.1024458097467791
strict,0,hh_deposit_below_min,0.7979162977730568,0.1056260286387776,1.006253138527681,1.0885919456523951,0.0453245083197301,0.0110831882585274,8.007083510246781,2.6627317326256663,3.5417647884235475,0.4048404894144669,2.216573732106353,0.1760818378036951,0.1131926711394547,0.3122290482580216,0.5404629168163415,0.1154148459216764,1.584178559182968,0.3456534228419657,5.486403885754791,7.03503860813824,0.5599738844248063,1.3440511694716708,3.1035001043350823,0.6683946446433116,0.4401817277645516,0.1027392701732163,0.1989830320501017,1.3360638635695237,0.3060165467753281,0.1531021250069349
strict,0,hh_deposit_below_min,0.7751470284984613,0.0818417994151826,1.0130597942927335,1.0414124650386052,0.0306446064744178,0.0192742479210537,8.291159440655308,3.616551162767954,3.699251899022845,0.5673349611232479,1.3388791962211934,0.2387850754628698,0.1770064094174076,0.1889033277853062,0.7112914063353049,0.154357908967216,1.3670928453921616,0.2472183228160215,8.358495526755284,7.079976950171629,0.3465615155463719,1.655171668830402,2.284163116652502,0.4990220557649142,0.6250611759232413,0.2674788582899838,0.2787662000691506,2.0121428479922185,0.3368131537721112,0.1241451237593926
strict,0,hh_deposit_below_min;bank_resolved_above_max,0.7790382383918004,0.0580712951779573,1.0183872073177098,1.139538641184826,0.0383157833069515,0.0115525394712621,10.664715787715124,3.974083718646878,3.29635023089277,0.6810161127682131,2.468854830711351,0.3945214125904192,0.1199068430353392,0.2027004642927136,0.6788256085588222,0.1042176613708367,1.161226490230484,0.5479281439717114,5.884713648015316,8.090044709452513,0.3329794994942657,1.6639838153372202,3.25454511823346,0.6698821472035634,0.6228766095017197,0.1825279668998235,0.2852887190110417,1.3289828075774677,0.2306133328352625,0.0575928393337496
strict,0,hh_deposit_below_min,0.8203774592705886,0.0761844952299228,1.0349765562778932,1.1985928215249866,0.0280058882221345,0.0095968475923185,10.686108623193329,3.967535233538088,3.370513647614874,0.5305541396411135,2.385183809697622,0.2872774850533657,0.2289880732846091,0.3584135893104105,0.5646112764445115,0.0978834615837131,1.7494435764500786,0.2609625656616741,6.093112645487124,5.951295653040719,0.3559485453152505,1.637750017339635,2.1614478626930254,0.7422975426166833,0.5826260877618845,0.1003728204593354,0.1434784050412394,1.4070248749733445,0.2674605279877183,0.0562375758397251
strict,0,hh_deposit_below_min,0.8520834249563123,0.059558755613859,1.0475329509326612,1.2179182067947387,0.0212118867372179,0.0195261819273467,10.88018032933788,2.838244962208255,2.334130129580042,0.7295261131162083,1.8585594580582607,0.4032842852857673,0.1463709934547981,0.1861282276968942,0.6182719445683075,0.1677040121563516,2.3991078083418778,0.5434862318051268,7.6602790582372755,8.4520007029622,0.3340806942798495,1.3914674749098317,0.9013624736021264,0.4898160504568007,0.5665454968820993,0.1270692170849387,0.2257000548843551,1.9697755038446227,0.138452791855638,0.0711792231785554
strict,2,hh_deposit_below_min,0.6854641443148728,0.0813346983393144,1.1122885431779714,1.134477626331822,0.0317194874421017,0.0201907396490493,7.40786640202939,3.4048520918742087,3.396320296573073,0.7738796331684432,1.4299569314953362,0.2549074224012777,0.2258349703441962,0.2789846490181895,0.7334487406579477,0.0886921179454516,1.2475102854556497,0.560925338314832,7.028724594724397,5.116644159316752,0.4793405021700372,1.7022542959085256,1.8668934644230204,0.4773323659711103,0.3590730908490434,0.2698718583165562,0.2225130139248703,1.9033437043738528,0.2122338423579096,0.0543162857469265
strict,0,hh_deposit_below_min;bank_resolved_above_max,0.810342666383435,0.0770967618191405,1.0674228774604373,1.1020526746309474,0.0401918267342597,0.0175105400890466,11.037763961970144,3.243530819870652,4.044186628381479,0.6171987788875283,2.409335963158997,0.242762994736718,0.2820530132131902,0.2760621202889424,0.7770524059612786,0.1736353893005421,1.9105480066767573,0.5411082296302369,7.0105818780409415,4.886759778366899,0.435630513501951,1.454059667735745,1.300851124282956,0.439295837225083,0.4228436240603583,0.1859467259523077,0.2493257486641755,1.48264215194923,0.295937777354786,0.154467739678278
