check,pass,value,contour,blocking,gate_group,reason_code
"Structural: PriceDispersion median in [0.03,0.30]",True,median=0.0903,structural,True,interpretability,ok
Structural: |InventoryGap| p95 <= 1.5,True,p95_abs=0.3115,structural,True,interpretability,ok
Structural: CreditRejectionRate mean <= 0.80,True,mean=0.6711; p90=0.9264,structural,True,interpretability,ok
Structural(reference): CreditRejections p90 <= 30,False,p90=89.4650,structural,False,interpretability,credit_rejections_reference_failed
Structural(reference): CreditRejections p90 <= 90,True,p90=89.4650,structural,False,interpretability,ok
Structural(reference): CreditRejections p90 improvement vs baseline >= 15%,False,"improve=14.64% (baseline=104.805, p90=89.4650)",structural,False,interpretability,credit_rejections_improvement_reference_failed
