alpha_mean,alpha_std,wage,productivity,loan_rate,deposit_rate,bank_credit_multiplier,hh_debt_cap_multiplier,firm_debt_cap_multiplier,adaptation_rate,price_elasticity,skill_wage_weight,demand_smoothing,price_adjust_speed,price_stickiness,max_price_step,inventory_target_days,demand_expectation_memory,max_hire_per_step,max_fire_per_step,hh_max_dsr,firm_max_dsr,firm_reentry_lag,firm_reentry_cash_fraction,consumption_memory,precautionary_saving,consumption_floor_prop,consumption_ceiling_prop,unemployed_consumption_penalty,unemployment_transfer,seed,Employment_mean,UnemploymentRate_mean,Output_mean,Consumption_mean,Transfers_mean,AvgPrice_mean,AvgMarkup_mean,PriceDispersion_mean,InventoryGap_mean,SalesForecastError_mean,InventoryTurnover_mean,CreditRequests_mean,CreditRejections_mean,CreditRejectionRate_mean,FirmDowntimeShare_mean,ReentryCount_mean,UnemploymentTransfers_mean,HH_Debt_mean,HH_Deposit_mean,Firm_Debt_mean,Bank_Equity_mean,BankFailed_mean,BankResolved_mean,BankResolutionAmount_mean,BankResolutionHaircut_mean,BankBailedOut_mean,BankBailoutAmount_mean,Defaults_mean,DefaultsHH_mean,DefaultsFirm_mean,BalanceOK_mean,DefaultsHH_rate,DefaultsFirm_rate,BalanceOK_share,BankFailed_share,BankResolved_share,BankBailedOut_share,bad_run,error
0.7912889541886925,0.03696424450056972,1.3539150907546156,1.0454535456699932,0.03995088735556833,0.01948895235789763,5.980384631514417,2.136256198119708,3.89479850960447,0.5794737346997458,1.7870266947962254,0.4381420332192024,0.3050572443405462,0.1914376167634021,0.8196766310792705,0.19459813388508448,1.759226477605178,0.408559941227959,7.52781373061531,10.568217164167478,0.4992956139306788,2.179249146807997,3.5065040334178166,0.8083722031219691,0.637411406545307,0.20994656212878884,0.07750525296410049,1.6255781695829343,0.29558175672701015,0.06982587441834248,0,98.4,0.016000000000000014,104.4708755640847,146.18244906275493,13.322524493025416,1.4383162084702872,0.10231483243670403,0.13217750203753348,0.172797706703808,0.005540485600869641,0.39385999091108315,104.95,64.55,0.615054945054945,0.0,0.0,0.11172139906934794,0.06831421516412063,0.0,14.511303617870379,2.7339032868859383,0.0,0.0,0.0,0.05691171669467958,0.0,1.0272501947265076,0.0,0.0,0.0,1.0,0.008333333333333333,0.0075,1.0,0.0,0.09166666666666666,0.041666666666666664,False,
0.7912889541886925,0.03696424450056972,1.3539150907546156,1.0454535456699932,0.03995088735556833,0.01948895235789763,5.980384631514417,2.136256198119708,3.89479850960447,0.5794737346997458,1.7870266947962254,0.4381420332192024,0.3050572443405462,0.1914376167634021,0.8196766310792705,0.19459813388508448,1.759226477605178,0.408559941227959,7.52781373061531,10.568217164167478,0.4992956139306788,2.179249146807997,3.5065040334178166,0.8083722031219691,0.637411406545307,0.20994656212878884,0.07750525296410049,1.6255781695829343,0.29558175672701015,0.06982587441834248,1,85.85,0.14149999999999996,88.41072668203782,128.87731667576696,11.623361054128376,1.4998355747721568,0.1504042644750146,0.1453509389606597,0.272604856104117,0.02518029743559653,0.3672685010727092,101.75,81.35,0.7989912578256778,0.0,0.0,0.9880361230195461,1.5383126909101228,0.0,0.008759585799593905,0.354324302290809,0.0,0.0,0.0,0.08985971577827541,0.0,1.727481076190099,0.0,0.0,0.0,1.0,0.008333333333333333,0.01,1.0,0.0,0.1,0.08333333333333333,False,
0.7912889541886925,0.03696424450056972,1.3539150907546156,1.0454535456699932,0.03995088735556833,0.01948895235789763,5.980384631514417,2.136256198119708,3.89479850960447,0.5794737346997458,1.7870266947962254,0.4381420332192024,0.3050572443405462,0.1914376167634021,0.8196766310792705,0.19459813388508448,1.759226477605178,0.408559941227959,7.52781373061531,10.568217164167478,0.4992956139306788,2.179249146807997,3.5065040334178166,0.8083722031219691,0.637411406545307,0.20994656212878884,0.07750525296410049,1.6255781695829343,0.29558175672701015,0.06982587441834248,2,77.0,0.22999999999999998,80.10991004485807,116.11452278969766,10.425146198810543,1.4990268512384943,0.1280299936058996,0.17274811997780556,0.5319808084221267,0.014910863933585669,0.3129415753674756,101.6,61.75,0.607775189283634,0.0,0.0,1.6059951116218774,5.814517417808186,0.0,0.004741684788911427,1.0848036940299182,0.0,0.0,0.0,0.05191271004398753,0.0,0.5741898091587463,0.0,0.0,0.0,1.0,0.008,0.004166666666666667,1.0,0.0,0.075,0.041666666666666664,False,
0.5931817955810827,0.10750801110333039,1.2448731556265666,0.9848605644454355,0.06208665393926391,0.024379205163294195,10.2487369084553,3.7509391225227002,2.9442343181980997,0.8840406242928466,1.3867725712082126,0.10560849784177906,0.14475724109495033,0.4300411298743147,0.6471273109842154,0.09591623297813043,2.4671674087294764,0.44373024472464806,8.616979509480501,11.628040500041593,0.28803072843447897,1.2739674071397942,1.733455459138586,0.8229683470043545,0.6079831977157468,0.04264874909646345,0.1720978955757222,1.9953469187002222,0.2116772378699175,0.17330953001504484,0,98.6,0.014000000000000012,98.5532818455089,133.70063430730755,12.27444931447795,1.3937011536632888,0.09259753485186797,0.13818241562299444,-0.009195377632173044,0.03753270977094722,0.3411205886297156,76.35,56.9,0.75,0.0,0.0,0.24263334202106276,55.558827974742826,9.448643482561884,0.40370988035193844,3.6334843312956018,0.0,0.1,1.5065247861608277,0.012693675851059847,0.0,0.0,0.4,0.4,0.0,1.0,0.004833333333333334,0.0016666666666666666,1.0,0.0,0.14166666666666666,0.0,False,
0.5931817955810827,0.10750801110333039,1.2448731556265666,0.9848605644454355,0.06208665393926391,0.024379205163294195,10.2487369084553,3.7509391225227002,2.9442343181980997,0.8840406242928466,1.3867725712082126,0.10560849784177906,0.14475724109495033,0.4300411298743147,0.6471273109842154,0.09591623297813043,2.4671674087294764,0.44373024472464806,8.616979509480501,11.628040500041593,0.28803072843447897,1.2739674071397942,1.733455459138586,0.8229683470043545,0.6079831977157468,0.04264874909646345,0.1720978955757222,1.9953469187002222,0.2116772378699175,0.17330953001504484,1,96.15,0.03850000000000001,97.26905513004229,131.00920177254733,11.969455391349438,1.3999811631786407,0.0970211339708162,0.17226901612522735,0.0010066553948674874,0.042950927636624246,0.34064914932228946,79.1,30.1,0.3850725438536308,0.0,0.0,0.6672416905579227,63.236730226748215,8.001416539026353,2.2927968674985357,7.114742580169934,0.0,0.15,1.9364864772837276,0.029047710548606012,0.0,0.11215947151652456,0.5,0.5,0.0,1.0,0.00825,0.005,1.0,0.0,0.13333333333333333,0.008333333333333333,False,
0.5931817955810827,0.10750801110333039,1.2448731556265666,0.9848605644454355,0.06208665393926391,0.024379205163294195,10.2487369084553,3.7509391225227002,2.9442343181980997,0.8840406242928466,1.3867725712082126,0.10560849784177906,0.14475724109495033,0.4300411298743147,0.6471273109842154,0.09591623297813043,2.4671674087294764,0.44373024472464806,8.616979509480501,11.628040500041593,0.28803072843447897,1.2739674071397942,1.733455459138586,0.8229683470043545,0.6079831977157468,0.04264874909646345,0.1720978955757222,1.9953469187002222,0.2116772378699175,0.17330953001504484,2,97.8,0.02200000000000002,96.06979262507411,132.91197254814233,12.174859462027824,1.4184055559207434,0.09277480761633565,0.15326774015743203,0.003145659958118168,0.04191435437984907,0.33616323105088275,74.9,30.4,0.4166308451308451,0.0,0.0,0.3812809660330987,66.71646763308736,6.928867832411727,0.612485385317124,6.391329333514847,0.0,0.2,1.944179859628808,0.014053928925024273,0.0,0.0,0.45,0.45,0.0,1.0,0.005083333333333333,0.0016666666666666666,1.0,0.0,0.19166666666666668,0.0,False,
0.6560649775910591,0.08596581150153174,1.1260735037937308,1.282583656334257,0.061247026460901605,0.01739094222165683,4.409841218763356,2.6787697688708834,4.4806668850688895,0.4824535477800475,2.819864527572593,0.41657842345929674,0.28115817629109696,0.14239951339780535,0.6197239160109017,0.1962712947063739,2.153042201050188,0.23647248749493172,3.9602377880118502,6.4793713720060175,0.35090978673691076,1.0670899161307694,0.011312390588679676,0.64146152555897,0.641979055148114,0.16081624476085857,0.2985913325790995,1.3388277057038358,0.18491452592520774,0.17700458819976747,0,90.8,0.092,117.29452153440491,112.64705215947872,10.224747414447078,0.9720286868320628,0.10372759253168604,0.05184309870352157,0.2188605690025006,0.03597889869185957,0.320003903212681,94.45,61.5,0.6518861904656896,0.0,0.0,1.6284422114378612,33.08147542168325,1.440958101263475,1.4361735765410484,7.588076564117825,0.0,0.05,0.7800072923249141,0.008302724684656093,0.0,0.0,0.3,0.3,0.0,1.0,0.00525,0.0,1.0,0.0,0.1,0.0,False,
0.6560649775910591,0.08596581150153174,1.1260735037937308,1.282583656334257,0.061247026460901605,0.01739094222165683,4.409841218763356,2.6787697688708834,4.4806668850688895,0.4824535477800475,2.819864527572593,0.41657842345929674,0.28115817629109696,0.14239951339780535,0.6197239160109017,0.1962712947063739,2.153042201050188,0.23647248749493172,3.9602377880118502,6.4793713720060175,0.35090978673691076,1.0670899161307694,0.011312390588679676,0.64146152555897,0.641979055148114,0.16081624476085857,0.2985913325790995,1.3388277057038358,0.18491452592520774,0.17700458819976747,1,95.2,0.04800000000000004,123.60295138160657,118.41924799969308,10.720219756116318,0.9749258859072221,0.10723601857871123,0.06575466934814707,0.16215309507488507,0.02625268044440463,0.33617949258793334,95.5,72.8,0.7611368296696035,0.0,0.0,0.849622023358884,28.281072328921407,1.4713262726763232,0.27165748609094936,5.754215876961334,0.0,0.05,0.7567051004369147,0.008980147945455966,0.0,0.0,0.25,0.25,0.0,1.0,0.005833333333333334,0.0,1.0,0.0,0.1,0.0,False,
0.6560649775910591,0.08596581150153174,1.1260735037937308,1.282583656334257,0.061247026460901605,0.01739094222165683,4.409841218763356,2.6787697688708834,4.4806668850688895,0.4824535477800475,2.819864527572593,0.41657842345929674,0.28115817629109696,0.14239951339780535,0.6197239160109017,0.1962712947063739,2.153042201050188,0.23647248749493172,3.9602377880118502,6.4793713720060175,0.35090978673691076,1.0670899161307694,0.011312390588679676,0.64146152555897,0.641979055148114,0.16081624476085857,0.2985913325790995,1.3388277057038358,0.18491452592520774,0.17700458819976747,2,97.7,0.02300000000000002,124.5157101785123,120.74506122091395,11.001738132064752,0.9992239597879445,0.11650817513063494,0.0953756442684998,0.11863815458946399,0.022926736331051644,0.3458812953295024,93.9,61.45,0.656694816627376,0.0,0.0,0.4071105528594652,34.53834413978294,0.8319213359718709,0.19625985408945146,8.388620752357442,0.0,0.05,0.7027819969069079,0.007505722258076025,0.0,0.0,0.25,0.25,0.0,1.0,0.005916666666666666,0.0,1.0,0.0,0.09166666666666666,0.0,False,
0.859622880067361,0.07122283214230019,1.4485510768942371,1.564894864951582,0.02428790020172237,0.0012180300894633228,9.43189778770027,3.081950539186934,2.8465990444630047,0.25898789782006093,1.5187449107590232,0.2929568796024268,0.3371251694561026,0.1855512498655607,0.4742992873219497,0.15908329416674818,2.2012472458996406,0.5607807549434642,4.316698577880464,7.845437429053937,0.36748104585085895,1.8792277576898897,0.3582261920728566,0.36394164612341684,0.5550869370775003,0.1652320992228338,0.004223478678080941,2.612429230379706,0.10570084996216653,0.09222158372236913,0,72.1,0.27899999999999997,112.20571248621366,113.16311598636128,10.444053264407449,1.0206248851620066,0.09934322123245534,0.06561575096296349,0.563018893930908,0.032008670777507846,0.25543581280646727,86.05,43.2,0.5047774247588761,0.0,0.0,2.572982185854099,189.0094961866291,0.0,5.934653600614618,19.276433803326363,0.0,0.0,0.0,0.06652312767351551,0.0,0.8841702628079512,0.25,0.25,0.0,1.0,0.00875,0.005,1.0,0.0,0.125,0.03333333333333333,False,
