alpha_mean,alpha_std,wage,productivity,loan_rate,deposit_rate,bank_credit_multiplier,hh_debt_cap_multiplier,firm_debt_cap_multiplier,adaptation_rate,price_elasticity,skill_wage_weight,demand_smoothing,price_adjust_speed,price_stickiness,max_price_step,inventory_target_days,demand_expectation_memory,max_hire_per_step,max_fire_per_step,hh_max_dsr,firm_max_dsr,firm_reentry_lag,firm_reentry_cash_fraction,consumption_memory,precautionary_saving,consumption_floor_prop,consumption_ceiling_prop,unemployed_consumption_penalty,unemployment_transfer,seed,Employment_mean,UnemploymentRate_mean,Output_mean,Consumption_mean,Transfers_mean,AvgPrice_mean,AvgMarkup_mean,PriceDispersion_mean,InventoryGap_mean,SalesForecastError_mean,InventoryTurnover_mean,CreditRejections_mean,FirmDowntimeShare_mean,ReentryCount_mean,UnemploymentTransfers_mean,HH_Debt_mean,HH_Deposit_mean,Firm_Debt_mean,Bank_Equity_mean,BankFailed_mean,BankResolved_mean,BankResolutionAmount_mean,BankResolutionHaircut_mean,BankBailedOut_mean,BankBailoutAmount_mean,Defaults_mean,DefaultsHH_mean,DefaultsFirm_mean,BalanceOK_mean,DefaultsHH_rate,DefaultsFirm_rate,BalanceOK_share,BankFailed_share,BankResolved_share,BankBailedOut_share,bad_run,error
0.7580769595712197,0.07590739530910036,1.0414070037170309,1.353963159919111,0.05188805921985924,0.008677569276269288,12.341509186255674,7.3940254364300575,3.9188224023602283,0.4489179486873438,2.0163725110643096,0.3681730726077336,0.15128634331355661,0.29498419393673714,0.6103304916448938,0.1538335793443794,2.20575324386588,0.27511047174717806,11.012737197215328,4.965298484923021,0.703607681939127,1.133386831766388,1.0597524119244044,0.3950695776697695,0.5250066206260587,0.17528802756188222,0.17186842900507346,2.6630725522457324,0.1678403336744499,0.07249634354775714,0,97.65,0.02350000000000002,130.8921149296986,109.74394554536016,10.169339391296807,0.8613630141389661,0.11314734847159132,0.08009926498414725,0.061002020004755964,0.014511423529687179,0.35387037234853524,103.7,0.0,0.0,0.17036640733722927,80.88543522219918,0.0,0.0,4.637577697345708,0.0,0.1,1.1468621040362545,0.10323489089267252,0.0,1.2664089646351278,0.2,0.2,0.0,1.0,0.00825,0.0,1.0,0.0,0.23333333333333334,0.058333333333333334,False,
0.7580769595712197,0.07590739530910036,1.0414070037170309,1.353963159919111,0.05188805921985924,0.008677569276269288,12.341509186255674,7.3940254364300575,3.9188224023602283,0.4489179486873438,2.0163725110643096,0.3681730726077336,0.15128634331355661,0.29498419393673714,0.6103304916448938,0.1538335793443794,2.20575324386588,0.27511047174717806,11.012737197215328,4.965298484923021,0.703607681939127,1.133386831766388,1.0597524119244044,0.3950695776697695,0.5250066206260587,0.17528802756188222,0.17186842900507346,2.6630725522457324,0.1678403336744499,0.07249634354775714,1,95.0,0.049999999999999996,127.31576628149908,107.89113843261887,9.893366535311795,0.8716656129236984,0.1281376032282715,0.0809432586435026,0.015546126313512404,0.03934469235619842,0.3665528085420995,102.35,0.0,0.0,0.36248171773878574,71.42905653621158,0.0,0.0,5.933848410184038,0.0,0.1,1.3957481188940446,0.0965970236694052,0.0,1.3562829248580182,0.2,0.2,0.0,1.0,0.008416666666666666,0.0,1.0,0.0,0.21666666666666667,0.05,False,
0.7580769595712197,0.07590739530910036,1.0414070037170309,1.353963159919111,0.05188805921985924,0.008677569276269288,12.341509186255674,7.3940254364300575,3.9188224023602283,0.4489179486873438,2.0163725110643096,0.3681730726077336,0.15128634331355661,0.29498419393673714,0.6103304916448938,0.1538335793443794,2.20575324386588,0.27511047174717806,11.012737197215328,4.965298484923021,0.703607681939127,1.133386831766388,1.0597524119244044,0.3950695776697695,0.5250066206260587,0.17528802756188222,0.17186842900507346,2.6630725522457324,0.1678403336744499,0.07249634354775714,2,96.65,0.033499999999999995,128.08762199559266,109.57108266023388,10.065198690925106,0.8860098884620855,0.12936237579092685,0.10411003667031737,-0.03814909944656232,0.040595361545045665,0.3892596022701707,99.55,0.0,0.0,0.2428627508849864,89.50024898576301,0.0,0.0,7.952488752276999,0.0,0.1,1.225639650616523,0.13005155218458253,0.0,1.2978958271170384,0.15,0.15,0.0,1.0,0.008166666666666666,0.0008333333333333333,1.0,0.0,0.25,0.06666666666666667,False,
0.6328272135651297,0.07418397320027058,1.0066881179428522,1.242884745648715,0.031101144482921308,0.017817036631332793,9.535308548673123,6.946825200097415,5.270521021677793,0.47381614732535837,1.2087885447896825,0.4264878725492919,0.2247185906023058,0.21716676496210519,0.595434215911538,0.13167944785411165,1.687825917804369,0.25247603553375364,10.030850003452862,4.84701097678455,0.7776623671007665,2.06225935846845,3.348354930866932,0.6978160697542655,0.5300727660476612,0.0798130866471345,0.20995416868949196,2.716349658459027,0.206278584565049,0.17067137979427405,0,99.45,0.005500000000000005,125.51907828132644,109.59393357613915,10.011513332941666,0.8858223117132921,0.08809989235405435,0.07092717570858101,0.03220755843755814,0.011951957011323178,0.44840013678065577,95.3,0.0,0.0,0.09386925888685073,52.97715536796211,1.2867771128527044,0.0,6.26104134634013,0.0,0.05,0.6693154329976222,0.011467407467019342,0.0,0.0,0.15,0.15,0.0,1.0,0.00425,0.0,1.0,0.0,0.13333333333333333,0.0,False,
0.6328272135651297,0.07418397320027058,1.0066881179428522,1.242884745648715,0.031101144482921308,0.017817036631332793,9.535308548673123,6.946825200097415,5.270521021677793,0.47381614732535837,1.2087885447896825,0.4264878725492919,0.2247185906023058,0.21716676496210519,0.595434215911538,0.13167944785411165,1.687825917804369,0.25247603553375364,10.030850003452862,4.84701097678455,0.7776623671007665,2.06225935846845,3.348354930866932,0.6978160697542655,0.5300727660476612,0.0798130866471345,0.20995416868949196,2.716349658459027,0.206278584565049,0.17067137979427405,1,99.05,0.009500000000000008,125.08785267386475,108.38278989661069,9.971245808223951,0.877929320537899,0.07970834346306868,0.06673278054074887,-0.02163484677418482,0.009363063710699072,0.46682950803429774,97.35,0.0,0.0,0.16213781080456036,58.00408199655825,1.235984737630106,0.0,6.196221705760225,0.0,0.25,2.236305667123025,0.013524629802942684,0.0,0.0,0.35,0.35,0.0,1.0,0.004083333333333333,0.0,1.0,0.0,0.15833333333333333,0.0,False,
0.6328272135651297,0.07418397320027058,1.0066881179428522,1.242884745648715,0.031101144482921308,0.017817036631332793,9.535308548673123,6.946825200097415,5.270521021677793,0.47381614732535837,1.2087885447896825,0.4264878725492919,0.2247185906023058,0.21716676496210519,0.595434215911538,0.13167944785411165,1.687825917804369,0.25247603553375364,10.030850003452862,4.84701097678455,0.7776623671007665,2.06225935846845,3.348354930866932,0.6978160697542655,0.5300727660476612,0.0798130866471345,0.20995416868949196,2.716349658459027,0.206278584565049,0.17067137979427405,2,98.8,0.01200000000000001,122.53987123835002,108.48463635369839,9.94607860527538,0.8991910632713825,0.0892686929671442,0.08024788443073763,0.04710960634117528,0.015347613390761478,0.44280355511760217,95.8,0.0,0.0,0.20480565575312887,53.399845153291096,0.7150524898794167,0.0,2.9975209372730385,0.0,0.1,1.2961065845388546,0.010379483551474883,0.0,0.0,0.2,0.2,0.0,1.0,0.004083333333333333,0.0,1.0,0.0,0.125,0.0,False,
0.7102319707140008,0.06023703493611234,1.285619074296808,1.2196745227802779,0.07584045624778672,0.02386871970663094,16.697745294882544,4.5510688737339,5.65654616052335,0.42524328020981533,2.1522637379055665,0.2565538702202153,0.15027744135620852,0.29796329977106006,0.7248759420709265,0.10229971783765406,1.2854405984774129,0.4031068390476188,10.573879674033606,10.638833384293422,0.48721634350102494,2.274362558794964,2.0845195679517063,0.5990306681131369,0.5740335626118305,0.2845071014391426,0.1834341464238776,2.105779683692155,0.28174014120324764,0.12630813757143286,0,99.05,0.009500000000000003,125.08586161537774,139.5106770347116,12.734056930909883,1.1448436495878735,0.07923259350469009,0.10214210281856997,0.0257318106339955,0.04821088325912111,0.5586876447425222,105.1,0.0,0.0,0.1199927306928612,71.09005230659552,0.0,0.07769279671847928,5.509399961385187,0.0,0.2,2.703643747148074,0.06071877553034001,0.0,1.239074412070657,0.55,0.55,0.0,1.0,0.010833333333333332,0.0008333333333333333,1.0,0.0,0.21666666666666667,0.03333333333333333,False,
0.7102319707140008,0.06023703493611234,1.285619074296808,1.2196745227802779,0.07584045624778672,0.02386871970663094,16.697745294882544,4.5510688737339,5.65654616052335,0.42524328020981533,2.1522637379055665,0.2565538702202153,0.15027744135620852,0.29796329977106006,0.7248759420709265,0.10229971783765406,1.2854405984774129,0.4031068390476188,10.573879674033606,10.638833384293422,0.48721634350102494,2.274362558794964,2.0845195679517063,0.5990306681131369,0.5740335626118305,0.2845071014391426,0.1834341464238776,2.105779683692155,0.28174014120324764,0.12630813757143286,1,93.05,0.0695,117.28112392418598,129.45822846807914,11.962685486331804,1.1366562187023184,0.07257279355305385,0.10354244911885732,0.09115800242198205,0.03099190235379725,0.5347962358826629,102.1,0.0,0.0,0.8778415561214585,93.93258710373718,0.0,0.0,5.022901710150483,0.0,0.15,1.6814741170418734,0.05125785451694826,0.0,1.1851579407043393,0.3,0.3,0.0,1.0,0.009916666666666667,0.0,1.0,0.0,0.175,0.025,False,
0.7102319707140008,0.06023703493611234,1.285619074296808,1.2196745227802779,0.07584045624778672,0.02386871970663094,16.697745294882544,4.5510688737339,5.65654616052335,0.42524328020981533,2.1522637379055665,0.2565538702202153,0.15027744135620852,0.29796329977106006,0.7248759420709265,0.10229971783765406,1.2854405984774129,0.4031068390476188,10.573879674033606,10.638833384293422,0.48721634350102494,2.274362558794964,2.0845195679517063,0.5990306681131369,0.5740335626118305,0.2845071014391426,0.1834341464238776,2.105779683692155,0.28174014120324764,0.12630813757143286,2,89.6,0.10400000000000005,106.49719464656275,124.37813589633365,11.519146905699401,1.2152621572830977,0.12697214393622222,0.15474882766935005,0.21070660521130774,0.03242275688499792,0.5036182453522849,101.45,0.0,0.0,1.3136046307429017,108.61146866285529,0.0,0.0,5.440468365364327,0.0,0.1,1.3244765962446852,0.051793002886884563,0.0,1.5896525810858924,0.3,0.3,0.0,1.0,0.01175,0.0016666666666666666,1.0,0.0,0.20833333333333334,0.025,False,
0.7485608756729163,0.07677691583826843,1.1252214693451923,1.4482496048698121,0.05950253745280161,0.01794946867518636,11.798514519811983,5.535986583125103,2.9110010906673063,0.6172409926883813,2.4138574453884054,0.3657675535558925,0.2980555822134838,0.1599618799366943,0.7649071129345184,0.07201855040544183,1.6134833732612688,0.35459069425019685,9.822700773206636,10.41314516890358,0.3674588730726696,2.5404977550113594,2.6988622455605094,0.29211088245529687,0.20999264194099374,0.2658109839832796,0.17264619293151418,2.287060681824516,0.3315386635855218,0.056554074290154445,0,99.8,0.0020000000000000018,143.8423355879931,120.90130876689273,11.229710264065018,0.8655851227625628,0.10835479088263258,0.07559788839245471,-0.37811393203539756,0.018920387693533252,0.7668817106491902,102.6,0.0,0.0,0.011310814858030888,80.86062972203221,0.0,0.0,7.099243547890147,0.0,0.1,1.1459238745464535,0.09178666344543532,0.0,0.6960790303947232,0.15,0.15,0.0,1.0,0.008083333333333333,0.0,1.0,0.0,0.20833333333333334,0.05,False,
