wave,trained,gate_metrics,skipped,gpr_cv_mean,gpr_cv_median,gpr_cv_share_ge
wave1,33.0,19.0,4.0,0.6819187840605647,0.711034573099541,1.0
wave2,29.0,21.0,8.0,0.6269924862863088,0.6069617953705299,1.0
