check,pass,value,contour,blocking,gate_group,reason_code
"Structural: PriceDispersion median in [0.03,0.30]",True,median=0.0932,structural,True,interpretability,ok
Structural: |InventoryGap| p95 <= 1.5,True,p95_abs=0.1499,structural,True,interpretability,ok
Structural: CreditRejectionRate mean <= 0.80,True,mean=0.6676; p90=0.8400,structural,True,interpretability,ok
Structural(reference): CreditRejections p90 <= 30,False,p90=81.9333,structural,False,interpretability,credit_rejections_reference_failed
Structural(reference): CreditRejections p90 <= 90,True,p90=81.9333,structural,False,interpretability,ok
Structural(reference): CreditRejections p90 improvement vs baseline >= 15%,True,"improve=21.82% (baseline=104.805, p90=81.9333)",structural,False,interpretability,ok
