alpha_mean,alpha_std,wage,productivity,loan_rate,deposit_rate,bank_credit_multiplier,hh_debt_cap_multiplier,firm_debt_cap_multiplier,adaptation_rate,price_elasticity,skill_wage_weight,demand_smoothing,price_adjust_speed,price_stickiness,max_price_step,inventory_target_days,demand_expectation_memory,max_hire_per_step,max_fire_per_step,hh_max_dsr,firm_max_dsr,firm_reentry_lag,firm_reentry_cash_fraction,consumption_memory,precautionary_saving,consumption_floor_prop,consumption_ceiling_prop,unemployed_consumption_penalty,unemployment_transfer,seed,Employment_mean,UnemploymentRate_mean,Output_mean,Consumption_mean,Transfers_mean,AvgPrice_mean,AvgMarkup_mean,PriceDispersion_mean,InventoryGap_mean,SalesForecastError_mean,InventoryTurnover_mean,CreditRequests_mean,CreditRejections_mean,CreditRejectionRate_mean,FirmDowntimeShare_mean,ReentryCount_mean,UnemploymentTransfers_mean,HH_Debt_mean,HH_Deposit_mean,Firm_Debt_mean,Bank_Equity_mean,BankFailed_mean,BankResolved_mean,BankResolutionAmount_mean,BankResolutionHaircut_mean,BankBailedOut_mean,BankBailoutAmount_mean,Defaults_mean,DefaultsHH_mean,DefaultsFirm_mean,BalanceOK_mean,DefaultsHH_rate,DefaultsFirm_rate,BalanceOK_share,BankFailed_share,BankResolved_share,BankBailedOut_share,bad_run,error,nroy,I_max,score,validated_steps,validated_seeds
0.6520446466215075,0.0943211039894207,0.95621750456683,1.2094439662616865,0.0391001934096048,0.0129947649970352,11.019692335017576,2.7356637654395968,3.896033746265348,0.581413150200604,1.6194907841455135,0.4129753195580528,0.1353844872310391,0.1082444273921324,0.846010543461489,0.0598992478550896,1.2766934613823888,0.3979313731847439,7.920277038017063,5.238242268639002,0.4994841376352132,1.9270693944698285,2.5281544709392385,0.6421047275256768,0.6307826468949799,0.1188026873616616,0.2678482420666829,1.340813090172389,0.1187988763483905,0.1645375333344375,0,92.66666666666669,0.0733333333333333,112.8250399893191,93.21230321425456,8.860948875652626,0.8332319918231852,0.0505013868898873,0.0466322366906616,0.1485323015077623,0.028838891393226,0.5571677877418628,82.0,55.36666666666667,0.6788515437035213,0.0,0.0,1.2066085777858755,119.13781552829732,1.713344678975918,4.035439052014417,8.606304215948478,0.0,0.0333333333333333,0.553666711997259,0.0044226551449314,0.0,0.0,0.2666666666666666,0.2666666666666666,0.0,1.0,0.0068181818181818,0.0,1.0,0.0,0.0636363636363636,0.0,False,,True,2.426455960057939,11.969970207974947,500,"0,1,2"
0.6268828230038281,0.0638060546063933,1.2084941914233427,1.025478631025022,0.0440403944728625,0.0164122835563741,5.483796365157184,3.982544410614065,3.184041869453984,0.577349356035114,2.563338255323318,0.3569846337593639,0.2624734426011548,0.3003384199618931,0.7603753502243285,0.0972194904906075,2.3292561830150125,0.2958572484439346,7.334547958772783,7.964140239484024,0.4540049704292282,0.8292187477146603,0.9385595167910384,0.7179219497446492,0.2680626497003428,0.0961567524148625,0.0860936742540473,2.4652460577219064,0.3516916390034761,0.0571337449623628,0,90.8,0.092,94.59158190006532,118.59388070667724,10.973127258123952,1.2855650609215066,0.083720217116278,0.1007771626333542,0.1807113858684903,0.0321296207589279,0.309207346963752,95.33333333333331,57.266666666666666,0.6076576264050412,0.0,0.0,0.5256304536537384,74.12024083698644,0.7445915975549171,0.1339308296386823,12.995178253848858,0.0,0.0666666666666666,1.204713134117805,0.0039528554996114,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0022727272727272,0.0009090909090909,1.0,0.0,0.05,0.0,False,,True,2.512368775235049,12.807405834116988,500,"0,1,2"
0.6281161959180147,0.1020376275812012,0.9391263690053469,1.0974999496991806,0.0354524471994076,0.014461843193005,8.243718187801377,3.522360490265238,2.532861110188987,0.8481235898018988,1.994833487170124,0.3599460115405182,0.2689682775870246,0.1516218002529548,0.8007869382311106,0.1649437863320525,1.4967224582219631,0.3303644364288499,9.707702705836205,5.410107881600545,0.3029845345325007,1.821988319673026,1.7343935683087484,0.4398813073164097,0.3336057664633696,0.1236639964002333,0.215146180441081,2.2767515247577976,0.2420734713319604,0.2016745675509184,0,96.33333333333331,0.0366666666666667,108.0653760374412,98.59893094479628,9.046917354751509,0.9319248350848548,0.0824394744462432,0.0755603654843738,0.0439476860408431,0.0336146916470883,0.4940873432296671,72.4,50.4,0.7,0.0,0.0,0.7394734143533674,89.50248074349638,4.067795202767623,0.5379627642108786,9.838142777062185,0.0,0.0666666666666666,1.1638199462240706,0.0049296033107895,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0046818181818181,0.0004545454545454,1.0,0.0,0.0772727272727272,0.0,False,,True,2.485477005900804,15.368891775495271,500,"0,1,2"
0.609984699715937,0.0770665304016933,1.0819119666882155,1.1459517801971355,0.0275007070894957,0.0136848829976736,7.267781684652533,3.736108146693507,4.014807521463642,0.4175102069485388,1.7453947505171836,0.3639922006349708,0.3084791237458807,0.2281011851884747,0.8280241300435138,0.1587352676799247,1.2861948914525314,0.4235428036482787,9.359031815850347,5.157991166554768,0.5641230717765817,1.708944620658854,2.367725713095477,0.5101335468344386,0.6383781596714252,0.1848294018261116,0.3152167231812972,2.197096559278253,0.3195436860723111,0.1409209140067226,0,99.33333333333331,0.0066666666666666,114.27005155353112,116.79602236497249,10.746992202436276,1.0402420088571271,0.0956030799961562,0.0801002483214626,0.2107166784683441,0.0045527693070976,0.4897214152363924,92.73333333333332,26.566666666666663,0.2864631896606472,0.0,0.0,0.0939472760044817,45.25656332727152,2.7879342769437128,0.0,6.811105450612473,0.0,0.0,0.0,0.0027875743498799,0.0,0.0,0.0,0.0,0.0,1.0,0.0017727272727272,0.0004545454545454,1.0,0.0,0.0409090909090909,0.0,False,,True,2.29847160666594,19.12339148413511,500,"0,1,2"
0.6863609033691769,0.043665162207044,1.1480317057790184,1.089740601887382,0.0568632410083106,0.0065877016369242,11.216501094585384,2.487081592844013,2.266238416195178,0.5184283391777488,1.6948924161788192,0.2571904872066938,0.1314710746611718,0.1395366414434564,0.8504890740342217,0.1623275883477841,1.3397963684733625,0.6168378552363133,7.986733495590583,10.14910634969394,0.4806620240916716,1.5784486560129527,3.2214921358335307,0.3672650027824893,0.3427103471801319,0.2305428331583474,0.1033786071685999,1.4958514732317334,0.1090447647280289,0.05086397781457,0,5.733333333333333,0.9426666666666668,6.488525470271365,11.50892631502455,0.6582048446466374,1.3548763734790543,0.2703328916078693,0.2829444737011653,1.4028504541213758,0.6425031088616604,0.0892085959378224,97.13333333333334,79.3,0.8155009970405549,0.0,0.0,4.794777641986799,15.450104257903211,0.1516739678300082,5.716487461420569,0.8880650450401202,0.0,0.3,0.5037130741093174,0.0870036851807319,0.0,0.6949338585323116,0.4333333333333333,0.4333333333333333,0.0,1.0,0.0066363636363636,0.0045454545454545,1.0,0.0,0.2363636363636363,0.0272727272727272,False,,True,1.939255507182534,58.12415734177494,500,"0,1,2"
0.8576379728373305,0.1043652261754785,1.1349850223309343,1.07061177382,0.031365797730676,0.0097709393302816,6.1010029032470525,4.105376317302191,4.184632303624829,0.6029750285502105,1.7014183621074943,0.1939364232741037,0.1173307973088697,0.1373417985177176,0.5900082673130035,0.1510501216053942,2.1416835339524702,0.563424537792349,7.209757701871586,9.702291201614324,0.5560093232712047,1.6130294792147897,3.2463231785878204,0.7099594517601651,0.3736519850471186,0.2202195122410606,0.0825942180455292,1.8294879283078016,0.3904679545432742,0.0315637774991124,0,40.23333333333333,0.5976666666666668,44.534666700090455,51.2875901551495,4.566423073178126,1.2385819814699546,0.150742776606822,0.3091759949384637,0.0086616948956879,0.2096722339950578,0.2633432969762692,106.36666666666666,84.3,0.8001050869418954,0.0,0.0,1.8864617685302856,13.57589440554228,0.1419525371858482,4.091268657362826,2.616380135349706,0.0,0.1333333333333333,0.5381722844253684,0.0558185408419387,0.0,0.8459544709948971,0.1333333333333333,0.1333333333333333,0.0,1.0,0.0049545454545454,0.0018181818181818,1.0,0.0,0.1227272727272727,0.0454545454545454,False,,True,1.730177711123263,12.920198522285709,500,"0,1,2"
0.8451021858234442,0.0847905486092217,1.143421520516299,1.1907895439418377,0.0326186669755856,0.0109220350152957,10.803831872390123,2.659108432181632,2.350982979232601,0.4114855212337467,2.090045277119103,0.1240098626410183,0.30739866188344,0.111225597685019,0.8451949895195642,0.2015600481094063,2.504015387160728,0.6066941736147835,7.477578145128521,8.172073004471486,0.4156930873868517,2.0167775282428173,0.7998321411905682,0.7999766546258522,0.3068841355819348,0.1557208441661973,0.1682729890113971,2.022678408419502,0.2070346603639271,0.1556228718795189,0,73.73333333333333,0.2626666666666667,89.99242733664673,92.5738796286658,8.430828011273512,1.0447044660942857,0.0833683208741208,0.068289204773662,0.4903234982892981,0.0740563430140453,0.2492955001265338,88.93333333333334,42.833333333333336,0.4924009891942936,0.0,0.0,4.0876941013686965,214.5596985015992,0.0,27.051062209740568,20.522810901189573,0.0,0.0666666666666666,1.8048738388923256,0.0236215687402566,0.0,0.0,0.6333333333333333,0.6333333333333333,0.0,1.0,0.005090909090909,0.0018181818181818,1.0,0.0,0.0772727272727272,0.0,False,,True,2.1715541545589234,5.0286081551515105,500,"0,1,2"
0.6498750528173647,0.0685862571111204,1.0756995820085475,1.0649709995643064,0.0276378026783485,0.009095307348056,8.802116157249003,4.508067139596241,2.553344841673712,0.7241818011731878,1.3155393546086047,0.3396592610740526,0.3125075414635121,0.2822713534469057,0.6466555756379877,0.0809575694102677,1.4082357781210568,0.5217074317413688,7.534680586681864,5.044394910943369,0.5496482863285109,1.7555528815728865,3.307160174369041,0.4964223104485699,0.3656994048301254,0.2259575539416558,0.2726284151793703,2.3715837386034924,0.1489067318334353,0.1581294641790479,0,88.23333333333333,0.1176666666666666,97.21102743408164,103.72086095934294,9.49125597858875,1.0978643086052906,0.0772053858917706,0.1161995074851904,-0.0002780920696036,0.0374733627550444,0.5690449415036138,84.9,52.2,0.6138300327747773,0.0,0.0,1.860656695173464,130.75570557971358,0.3230688271843391,0.2212190642969511,12.69568070970305,0.0,0.0333333333333333,0.7248845507088659,0.0143333865325312,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,1.0,0.0032272727272727,0.0004545454545454,1.0,0.0,0.0681818181818181,0.0,False,,True,2.38327397625071,9.752776043236633,500,"0,1,2"
0.8324130562489067,0.1117579895588186,0.9815826572947038,1.301435467256318,0.0309430806466504,0.0221276467114101,10.470543106767307,3.5811793538483165,3.694838124497868,0.8798778226327402,2.0565934795345835,0.1398850298026536,0.300605143537366,0.3287912535435091,0.5631283242146462,0.0645398537969016,2.2299195461549144,0.4348749464547279,10.789650790815433,7.254533724198888,0.2577586746930692,1.6283830959714831,3.3602783223972903,0.7893281034253596,0.6570225520561697,0.1010057585538029,0.2532415618997999,1.6093022561860724,0.2097551647739378,0.0456955792759565,0,82.73333333333333,0.1726666666666666,109.40248040538113,89.22065759510654,8.120960518018183,0.8335116795531529,0.0994407200835458,0.0667275596111946,0.150707247914044,0.0851656245383007,0.3602164651421484,91.8,68.13333333333334,0.7508771929824561,0.0,0.0,0.7890103354981833,115.60663680642976,0.0,0.0223491566824907,7.514746400827751,0.0,0.0333333333333333,0.5412762136443392,0.0296287148739817,0.0,0.2306148758777882,0.2333333333333333,0.2333333333333333,0.0,1.0,0.0048636363636363,0.0009090909090909,1.0,0.0,0.0681818181818181,0.0136363636363636,False,,True,2.378897037218477,9.025423699618983,500,"0,1,2"
0.7725631154559918,0.1153153568049032,0.9965079575164352,1.122417699768918,0.0261812429364783,0.0139545323639995,11.35321695975552,2.942110738005294,4.018848686840206,0.901968325837898,1.864558437658816,0.3705987923004886,0.1294444298008744,0.1282942770696594,0.5737825065727801,0.1559773381688392,1.448473139177786,0.5797721556952471,7.558344438085374,8.263484562835258,0.4791885716853048,1.533782705924864,2.9283516438140307,0.7527942315372966,0.3962298862453205,0.1033060362670791,0.1773507443218089,2.297991168657555,0.2503269310445163,0.0616091687948829,0,89.53333333333333,0.1046666666666666,105.14299045965348,95.39682272470282,8.922067912963815,0.9402944879409744,0.0501609227511205,0.0977725265460907,0.1326004550082401,0.0271119691310943,0.497638411903056,95.2,89.3,0.9359550561797751,0.0,0.0,0.644842633386441,90.9940238769092,0.1721965646668175,0.0015225039933119,5.375679038314378,0.0,0.0333333333333333,0.4927917071795019,0.0134683053870488,0.0,0.0,0.2666666666666666,0.2666666666666666,0.0,1.0,0.0036363636363636,0.0004545454545454,1.0,0.0,0.0863636363636363,0.0,False,,True,2.412061900078352,10.977222448923436,500,"0,1,2"
