metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,6.072,6.072,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,12.144,12.144,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,12.144,12.144,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.07084,0.07084,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0027600000000000003,0.0027600000000000003,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.0092,0.0092,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.046000000000000006,0.046000000000000006,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.0184,0.0184,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.0276,0.0276,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.21344000000000002,0.21344000000000002,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,2.1344,2.1344,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.0672,1.0672,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,7.120800000000001,7.120800000000001,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.1104,0.1104,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.322,0.322,0.0,fixed_baseline,0,,,
CreditRejections_mean,30.0,5.0,18.400000000000002,18.400000000000002,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.06440000000000001,0.06440000000000001,0.0,fixed_baseline,0,,,
