metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,7.5,,0.9,25.0,56.25,242.69192592592674,seed_replicates,287,True,
Output_mean,80.0,10.0,15.0,,0.9,100.0,225.0,551.9008874230406,seed_replicates,287,True,
Consumption_mean,80.0,10.0,15.0,,0.9,100.0,225.0,386.066216990893,seed_replicates,287,True,
AvgPrice_mean,1.05,0.05,0.1,,0.9,0.0025000000000000005,0.010000000000000002,0.00022784106754536893,seed_replicates,287,True,
DefaultsHH_rate,0.004,0.002,0.003,,0.9,4e-06,9e-06,4.3065843621400416e-07,seed_replicates,287,True,
BankFailed_share,0.0,0.01,0.01,,0.9,0.0001,0.0001,0.0,seed_replicates,287,True,
BankResolved_share,0.05,0.03,0.05,,0.9,0.0009,0.0025000000000000005,0.001141975308641975,seed_replicates,287,True,
BankResolutionHaircut_mean,0.02,0.01,0.02,,0.9,0.0001,0.0004,4.9699226521533674e-05,seed_replicates,287,True,
BankBailedOut_share,0.02,0.02,0.03,,0.9,0.0004,0.0009,3.086419753086414e-05,seed_replicates,287,True,
BankBailoutAmount_mean,0.2,0.2,0.3,,0.9,0.04000000000000001,0.09,0.003513039887319471,seed_replicates,287,True,
Transfers_mean,6.5,2.0,3.0,,0.9,4.0,9.0,3.194276591282938,seed_replicates,287,True,
HH_Deposit_mean,1.5,1.0,1.5,,0.9,1.0,2.25,0.5762574231511877,seed_replicates,287,True,
Bank_Equity_mean,10.0,7.5,10.0,,0.9,56.25,100.0,27.130190387849268,seed_replicates,287,True,
