metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,7.5,33.2,25.700000000000003,wave1_empirical_residual_median,117,33.2,34.283333333333346,
Output_mean,80.0,10.0,15.0,61.24655099783368,46.24655099783368,wave1_empirical_residual_median,117,61.24655099783368,84.51675764868637,
Consumption_mean,80.0,10.0,15.0,42.36096106536861,27.360961065368613,wave1_empirical_residual_median,117,42.36096106536861,57.61804370738824,
AvgPrice_mean,1.05,0.05,0.088,0.2225162329345921,0.1345162329345921,wave1_empirical_residual_median,117,0.2225162329345921,0.32889005720102493,
DefaultsHH_rate,0.004,0.002,0.003,0.0029444444444443997,-5.555555555560032e-05,wave1_empirical_residual_median,117,0.0029444444444443997,0.004,
BankFailed_share,0.0,0.01,0.01,1e-09,-0.009999999,wave1_empirical_residual_median,117,0.0,0.0,
BankResolved_share,0.05,0.03,0.05,0.05,0.0,wave1_empirical_residual_median,117,0.05,0.0972222222222222,
BankResolutionHaircut_mean,0.02,0.01,0.02,0.016420104782271166,-0.0035798952177288346,wave1_empirical_residual_median,117,0.016420104782271166,0.019675261164837834,
BankBailedOut_share,0.02,0.02,0.03,0.02,-0.009999999999999998,wave1_empirical_residual_median,117,0.02,0.02,
BankBailoutAmount_mean,0.2,0.2,0.264,0.2,-0.064,wave1_empirical_residual_median,117,0.2,0.2,
Transfers_mean,6.5,2.0,2.64,4.747934779740492,2.1079347797404915,wave1_empirical_residual_median,117,4.747934779740492,6.114588206353838,
HH_Deposit_mean,1.5,1.0,1.32,1.5,0.17999999999999994,wave1_empirical_residual_median,117,1.5,1.5,
Bank_Equity_mean,10.0,7.5,8.8,4.422637266114357,-4.377362733885644,wave1_empirical_residual_median,117,4.422637266114357,5.887555759370714,
PriceDispersion_mean,0.1,0.06,0.12,0.04363221988430901,-0.07636778011569098,wave1_empirical_residual_median,117,0.04363221988430901,0.057264084727996774,
InventoryGap_mean,0.0,0.25,0.35,0.08567710851856802,-0.26432289148143195,wave1_empirical_residual_median,117,0.08567710851856802,0.1856962148310282,
CreditRejections_mean,1.0,1.0,2.0,99.89999999999999,97.89999999999999,wave1_empirical_residual_median,117,99.89999999999999,101.86666666666667,
FirmDowntimeShare_mean,0.05,0.04,0.07,0.05,-0.020000000000000004,wave1_empirical_residual_median,117,0.05,0.05,
