,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,Transfers,UnemploymentTransfers,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,AvgMarkup,PriceDispersion,InventoryGap,SalesForecastError,InventoryTurnover,CreditRejections,FirmDowntimeShare,ReentryCount,Bank_Equity,Bank_Loans,Bank_Deposits,BankFailed,BankResolved,BankResolutionAmount,BankResolutionHaircut,BankBailedOut,BankBailoutAmount,Defaults,DefaultsHH,DefaultsFirm,BalanceOK
0,100,0.0,112.73687980760396,110.85878190755025,110.85878190755025,190.83123953316962,11.566391613743914,0.0,36.347583220311755,0.9983197460283334,52.987909011378285,112.89164445242821,0.0,1.1385624297923322,0.08060249860968458,0.0430512015951298,-1.0,1.0712455753666794,2.0,33.0,0.0,0.0,50.0,53.98622875740662,149.23922767273996,False,False,0.0,0.0,False,0.0,0,0,0,True
1,100,0.0,114.94435928494053,109.53985784776191,110.85878190755025,154.75531411051196,11.566391613743914,0.0,13.320262660509572,5.723193025777437,56.39880358899188,112.81747002427853,1.3189240597883458,1.1525228734733373,0.09368241825706033,0.04545205259492589,-0.9934839441618086,0.5448132079101157,1.9628979376386986,63.0,0.0,0.0,52.7722902056925,62.121996614769316,126.1377326847881,False,False,0.0,0.0,False,0.0,0,0,0,True
2,100,0.0,114.82295119487816,105.87224016077822,110.85878190755025,139.0169305517718,11.566391613743914,0.0,7.483437262053556,12.849781717390513,60.35475678916837,110.22360378265212,6.305465806560392,1.1661453658226422,0.10643999089496366,0.04785561024781332,-0.9714427825828537,0.29027072949740174,1.848584653164083,86.0,0.0,0.0,56.252677098879374,73.20453850655889,117.70704104470568,False,False,0.0,0.0,False,0.0,0,0,0,True
3,100,0.0,114.3593429778098,103.92317907649816,110.85878190755025,132.69129777436711,11.566391613743914,0.0,5.41787739768267,18.666886181952087,66.90149561031622,109.34509319684501,13.241068637612496,1.1793014155935948,0.11875639136271847,0.050230549445873206,-0.9420637280654256,0.16969102360976737,1.7432823554412835,93.0,0.0,0.0,60.25697318388578,85.5683817922683,114.76297059452769,False,False,0.0,0.0,False,0.0,0,0,0,True
4,100,0.0,114.02055873580993,102.8959322008076,110.85878190755025,130.91493890557103,11.566391613743914,0.0,4.473315477980179,24.7614314602283,74.66259709010968,109.4566710063886,21.20391834435516,1.1919687381457398,0.13061059603288966,0.05258475703374959,-0.9089141186017983,0.10481431067345474,1.663506689333468,94.0,0.0,0.0,64.95004004237546,99.424028550338,113.92998648436878,False,False,0.0,0.0,False,0.0,0,0,0,True
5,100,0.0,113.80129199250037,102.19359527303439,110.85878190755025,130.04079905070287,11.566391613743914,0.0,3.9824545975231587,31.25740575164262,84.91596076044816,111.95275300633068,29.869104978871032,1.2041422437273916,0.14199587542080105,0.05495118255429771,-0.8729565260299896,0.06662281298224118,1.599407083866723,95.0,0.0,0.0,70.41661103765806,116.17336651209078,115.93520760385384,False,False,0.0,0.0,False,0.0,0,0,0,True
6,100,0.0,113.58947231683203,101.67882752313714,110.85878190755025,129.4538041874196,11.566391613743914,0.0,3.739517264216963,38.26006678379643,96.73085709209678,115.86069709351239,39.049059363284144,1.2158435826366039,0.1529355054607815,0.05731717442319997,-0.8347049903521924,0.043905464052055185,1.5457527226932637,97.0,0.0,0.0,76.85478529061369,134.9909238758932,119.60021435772934,False,False,0.0,0.0,False,0.0,0,0,0,True
7,100,0.0,113.37890163772565,101.28032735946607,110.85878190755025,129.01817459191884,11.566391613743914,0.0,3.6148130746038643,45.83465310498951,108.91227828403495,119.91731782115902,48.62751391136834,1.2270892947961365,0.16344604483787814,0.059689373262856005,-0.7945344634930186,0.03026128984983975,1.4995259420046145,95.0,0.0,0.0,84.39060110034706,154.74693138902447,123.53213089576288,False,False,0.0,0.0,False,0.0,0,0,0,True
8,98,0.020000000000000018,111.19511344954776,100.38070805479306,108.8740909860248,127.38225618953005,11.335063781469035,0.3232579628331112,3.231068528291988,54.338089298942066,119.37330767307022,123.4593320213915,57.12089684260009,1.2378885547306813,0.17353438695751605,0.06209947951044255,-0.7592130022015684,0.021586587372308473,1.4535656635809726,95.0,0.0,0.0,93.05562883115945,173.71139697201227,126.69040054968349,False,False,0.0,0.0,False,0.0,0,0,0,True
9,99,0.010000000000000009,112.32084569397412,100.42561491675293,110.48347606597827,127.76079450387135,11.450727697606474,0.1616289814165556,3.353351038025674,63.471978259577995,129.32760947279112,125.26507272364421,67.17875799182544,1.2482999212862822,0.18324689152141754,0.06464070550394369,-0.7206378511932305,0.015435983388305615,1.3856974703093514,96.0,0.0,0.0,102.69392453292866,192.7995877323691,128.61842376166987,False,False,0.0,0.0,False,0.0,0,0,0,True
