component,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.0050804403048264,0.0031752751905165,3,3
EV,0.0,0.0,4,4
MD,0.0770533446232006,0.0366215071972904,1,1
OU,0.0135478408128704,0.0055038103302286,2,2
