param,initial_low,initial_high,nroy_min,nroy_max,nroy_p05,nroy_p95,shrink_pct
alpha_mean,0.57,0.92,0.5819969847284121,0.8801260459533965,0.5870325792504781,0.8737140441829386,14.820268221433054
alpha_std,0.03,0.13,0.0429016619299342,0.1246357727653393,0.04399332442190372,0.12090713125678063,18.265889164594896
wage,0.9,1.45,0.9244732277823144,1.4206316413818678,0.9258967842931303,1.404106144712929,9.789379345535743
productivity,0.95,1.95,1.011293471420866,1.928111592111423,1.0379159603432846,1.920902446485262,8.318187930944298
loan_rate,0.012,0.073,0.0154367921618968,0.0688904744578267,0.01644260535425954,0.0677998943264558,12.371012629623113
deposit_rate,0.001,0.028,0.0014315702089815,0.0274463245382332,0.0018610252240635202,0.027198641821744095,3.649058039808517
bank_credit_multiplier,4.2,11.5,4.681076346563716,11.380912704770456,4.767906377070724,11.124668833198704,8.221419750592606
hh_debt_cap_multiplier,2.1,4.8,2.115202844847975,4.665040593164434,2.1478640174463557,4.651141923278596,5.561564877168168
firm_debt_cap_multiplier,1.6,4.8,1.611798562143649,4.7310441366821365,1.6886761925378633,4.682122292414656,2.5235757956722615
adaptation_rate,0.25,0.95,0.2776236641888436,0.891479380141761,0.28732679960097046,0.8884752704701481,12.306326292440362
price_elasticity,0.95,2.9,1.0301247202661958,2.8274746270892197,1.0534486589204477,2.794886863935776,7.828209906511596
skill_wage_weight,0.03,0.49,0.0346498661614361,0.477736020956418,0.04331862701547577,0.46557922508032384,3.6769228706561075
demand_smoothing,0.06,0.35,0.0677705344788971,0.3370925043479266,0.0713218387192469,0.3324820767242347,7.130355217576023
