alpha_mean,alpha_std,wage,productivity,loan_rate,deposit_rate,bank_credit_multiplier,hh_debt_cap_multiplier,firm_debt_cap_multiplier,adaptation_rate,price_elasticity,skill_wage_weight,demand_smoothing,seed,Employment_mean,UnemploymentRate_mean,Output_mean,Consumption_mean,Transfers_mean,AvgPrice_mean,HH_Debt_mean,HH_Deposit_mean,Firm_Debt_mean,Bank_Equity_mean,BankFailed_mean,BankResolved_mean,BankResolutionAmount_mean,BankResolutionHaircut_mean,BankBailedOut_mean,BankBailoutAmount_mean,Defaults_mean,DefaultsHH_mean,DefaultsFirm_mean,BalanceOK_mean,DefaultsHH_rate,DefaultsFirm_rate,BalanceOK_share,BankFailed_share,BankResolved_share,BankBailedOut_share,bad_run,error
0.6452449580844042,0.11438242115405353,1.1691091067696298,0.9756379361631039,0.060259254154553576,0.023504583496575165,5.629093245440795,3.719193614113348,1.8722509705698998,0.9452032499504117,2.772880972845087,0.4635972036466438,0.30328459927847795,0,0.0,1.0,0.0,0.0,0.0,1.2708527721826033,13.120850197725124,0.0,0.0,1.0,0.0,0.0,0.0,0.131438782323011,0.15,0.7664822287194573,0.15,0.15,0.0,1.0,0.011833333333333333,0.0,1.0,0.0,0.18333333333333332,0.13333333333333333,True,
0.6452449580844042,0.11438242115405353,1.1691091067696298,0.9756379361631039,0.060259254154553576,0.023504583496575165,5.629093245440795,3.719193614113348,1.8722509705698998,0.9452032499504117,2.772880972845087,0.4635972036466438,0.30328459927847795,1,0.0,1.0,0.0,0.0,0.0,1.2679935837314733,11.644316421594832,0.0,0.0,1.0,0.0,0.0,0.0,0.15796654361474374,0.15,0.9803882880996675,0.15,0.15,0.0,1.0,0.012333333333333333,0.0,1.0,0.0,0.2,0.15,True,
0.6452449580844042,0.11438242115405353,1.1691091067696298,0.9756379361631039,0.060259254154553576,0.023504583496575165,5.629093245440795,3.719193614113348,1.8722509705698998,0.9452032499504117,2.772880972845087,0.4635972036466438,0.30328459927847795,2,0.0,1.0,3.01254866001523e-07,3.719193614113348e-07,0.0,1.2947425508940351,8.353836418250888,0.0,0.0,1.0,0.0,0.05,1.78521293477441e-05,0.15732173993661344,0.1,0.6478795892983148,0.1,0.1,0.0,1.0,0.011833333333333333,0.0,1.0,0.0,0.2,0.1,True,
0.909897026370959,0.030292840174025972,1.378903035857281,1.6964552110398503,0.07121692131398225,0.006014735024483917,4.246502098302851,4.500460717780311,3.407027880955929,0.7947544487392207,1.0608129828943365,0.07190915465848212,0.2903831033602168,0,0.55,0.9945,0.14455115426784598,0.12270455457695137,0.07583966697215047,0.856035831490227,40.358206548960155,0.0,0.0,1.0,0.0,0.1,0.1227045545769514,0.13904392953264605,0.45,1.1453198817656371,0.7,0.7,0.0,1.0,0.010833333333333332,0.0,1.0,0.0,0.3333333333333333,0.18333333333333332,False,
0.909897026370959,0.030292840174025972,1.378903035857281,1.6964552110398503,0.07121692131398225,0.006014735024483917,4.246502098302851,4.500460717780311,3.407027880955929,0.7947544487392207,1.0608129828943365,0.07190915465848212,0.2903831033602168,1,11.9,0.881,11.445722161753599,9.713491560532564,1.6408946126701642,0.8551277152455377,64.24874612148639,0.0,0.0,1.0926277526690353,0.0,0.5,2.8701553721975084,0.1534833646926465,0.45,0.8049373381430612,1.1,1.1,0.0,1.0,0.010333333333333335,0.0,1.0,0.0,0.48333333333333334,0.15,False,
0.909897026370959,0.030292840174025972,1.378903035857281,1.6964552110398503,0.07121692131398225,0.006014735024483917,4.246502098302851,4.500460717780311,3.407027880955929,0.7947544487392207,1.0608129828943365,0.07190915465848212,0.2903831033602168,2,1.15,0.9884999999999999,0.3233434573351934,0.2770119065609055,0.15857384912358735,0.8644504297248684,52.42365319443276,0.0,0.0,1.0,0.0,0.15,0.2770119065609055,0.1345166555160037,0.7,1.7539720806074517,1.25,1.25,0.0,1.0,0.0115,0.0,1.0,0.0,0.3,0.25,False,
0.6754955942450456,0.061680585302728304,1.0851982982241901,1.6033041248362037,0.023680902155098216,0.007975521453856067,9.70185046044568,4.595547243735244,2.362824363197356,0.6869574629821188,1.467978075592364,0.31499975641279643,0.25765662700029346,0,59.5,0.40499999999999997,79.92634772963659,56.355014876403814,6.456929874433932,0.7131339291625581,416.50169179132706,0.0,0.0,14.548299011077182,0.0,0.5,3.905194186074154,0.06642215462565715,0.15,2.1806979035977716,3.5,3.5,0.0,1.0,0.011666666666666667,0.0,1.0,0.0,0.16666666666666666,0.05,False,
0.6754955942450456,0.061680585302728304,1.0851982982241901,1.6033041248362037,0.023680902155098216,0.007975521453856067,9.70185046044568,4.595547243735244,2.362824363197356,0.6869574629821188,1.467978075592364,0.31499975641279643,0.25765662700029346,1,54.8,0.45200000000000007,69.75538594756941,49.18237920914494,5.946886674268563,0.7123193739621906,387.5238636463319,0.04160551137133539,0.0,14.01018572676191,0.0,0.45,4.085921141517645,0.09776566663913584,0.25,2.511735648268674,3.9,3.9,0.0,1.0,0.013000000000000001,0.0,1.0,0.0,0.15,0.08333333333333333,False,
0.6754955942450456,0.061680585302728304,1.0851982982241901,1.6033041248362037,0.023680902155098216,0.007975521453856067,9.70185046044568,4.595547243735244,2.362824363197356,0.6869574629821188,1.467978075592364,0.31499975641279643,0.25765662700029346,2,52.55,0.47450000000000003,65.2474865468483,46.45654956338206,5.70271705716812,0.7205947665341133,384.37586376576775,0.0,0.0,13.554176844857432,0.0,0.65,4.24198235215594,0.10226575540957619,0.25,2.362286985699918,3.7,3.7,0.0,1.0,0.012333333333333333,0.0,1.0,0.0,0.21666666666666667,0.08333333333333333,False,
0.6071749573387424,0.07075139733447419,1.1945564291447182,1.8920658639806192,0.03948036141046224,0.020434002318691583,7.510669082552765,3.507054833517345,4.41130956573752,0.8764588317836969,2.2873019900752354,0.477736020956418,0.18116728592246029,0,25.55,0.7445000000000002,30.4467618773234,20.069838279260786,3.0520916764647557,0.6649063282335221,33.93397530914663,0.9812711046464425,0.06918441741438788,1.159921681512618,0.0,0.4,4.394010707892937,0.06895249769044402,0.1,0.292717122584097,1.75,1.75,0.0,1.0,0.007666666666666667,0.0,1.0,0.0,0.13333333333333333,0.03333333333333333,False,
