wave,trained,gate_metrics,skipped,gpr_cv_mean,gpr_cv_median,gpr_cv_share_ge
wave1,32.0,19.0,5.0,0.6928634025754146,0.6724297878231172,1.0
wave2,30.0,18.0,7.0,0.6692250162406661,0.6878218949734776,1.0
