scenario,Employment_mean,UnemploymentRate_mean,Output_mean,Consumption_mean,AvgPrice_mean,HH_Debt_mean,HH_Deposit_mean,Firm_Debt_mean,Bank_Equity_mean,Defaults_mean
baseline,16.0,0.7999999999999998,14.216292584820396,14.720000000000002,1.0373932483818458,64.00893683441755,8.904459022550803e-144,1227.7258966783943,1451.079451211409,0.0
credit_crunch,32.0,0.6,30.904983880044348,32.0,1.0373932483818458,0.5224949550342533,1.89832487414995e-124,0.0,-0.31676436718025075,0.0
demand_shock,32.0,0.6,30.904983880044348,32.0,1.0373932483818458,0.5931209521264421,1.330270359765517,0.0,-0.02800276471387491,0.0
cost_shock,32.12,0.5984999999999999,27.9661219051825,38.544,1.381451572945605,0.0,0.0,0.0,-0.5193774595053684,0.0
credit_expansion,16.0,0.7999999999999998,14.525342423620858,15.040000000000015,1.0373932483818458,64.00454408731221,1.0201100193123892e-169,1229.5677055194778,1505.485566250247,0.0
