param,initial_low,initial_high,nroy_min,nroy_max,nroy_p05,nroy_p95,shrink_pct
alpha_mean,0.57,0.92,0.5889355512718867,0.9012264631698076,0.6047606003466012,0.8857239224428596,10.774025172022617
alpha_std,0.03,0.13,0.0355489563252217,0.1247736440522297,0.0396976265746229,0.1204325809557184,10.77531227299201
wage,0.9,1.45,0.9264419487992666,1.4134278219063765,0.9488912870383294,1.3871091932357211,11.457113980525458
productivity,0.95,1.95,0.9978872906501904,1.8994579502635365,1.0444843852817118,1.8567368863125453,9.842934038665396
loan_rate,0.012,0.073,0.0148545272469117,0.0698904504250219,0.0175696644466162,0.0671100787944874,9.777175117852133
deposit_rate,0.001,0.028,0.0025209945399745,0.0266391219584198,0.0037220255124727,0.0253364043205448,10.673602153906304
bank_credit_multiplier,4.2,11.5,4.577755511737087,11.079423411940788,4.899283079763204,10.771406372997816,10.936056161593143
hh_debt_cap_multiplier,2.1,4.8,2.2472724630578607,4.657081851293678,2.360580568425007,4.544327677866452,10.747800435710463
firm_debt_cap_multiplier,1.6,4.8,1.774518810739345,4.638731242090438,1.9219888227065476,4.49481956942198,10.493361520278333
adaptation_rate,0.25,0.95,0.2861153321775087,0.9168229462400674,0.3205706028344914,0.8869314171448932,9.898912276777317
price_elasticity,0.95,2.9,1.0473860105956276,2.7993143631429303,1.1341232190781338,2.7156882789473027,10.157520382189611
skill_wage_weight,0.03,0.49,0.0529138483692804,0.4684416430177676,0.0736544086856525,0.4482140671813936,9.667870728589733
demand_smoothing,0.06,0.35,0.0762821570478764,0.3363646026913545,0.0881340209281403,0.3236701921712662,10.316398053973064
price_adjust_speed,0.08,0.45,0.1007803489609413,0.431045005677063,0.1170713384377581,0.4148738918098322,10.739281968615755
price_stickiness,0.45,0.9,0.4717217599743148,0.8755772366047606,0.4911474480199261,0.8560568079162048,10.254338526567608
max_price_step,0.04,0.22,0.0486831091428668,0.2111231573994993,0.0566523093664522,0.2033892630204898,9.755528746315278
inventory_target_days,0.8,2.8,0.8980312894183529,2.6951179113381047,0.9958194462115736,2.610689533517484,10.145668904012394
demand_expectation_memory,0.15,0.65,0.1752246147282398,0.6234827904008287,0.1960271004782688,0.6024343231039639,10.348364865482228
max_hire_per_step,3.0,12.0,3.468150486033702,11.543062992378395,3.8808528985731616,11.164395520234518,10.278749929503405
max_fire_per_step,3.0,12.0,3.491624483649673,11.524904399893453,3.89009836795709,11.15100660155835,10.741334263958002
hh_max_dsr,0.2,0.65,0.2212933856560924,0.628312283290952,0.2403971620636851,0.6091765399961995,9.551356081142314
firm_max_dsr,0.6,2.2,0.6882027917198333,2.1181104290381305,0.7557795567549601,2.051794227171138,10.630772667606426
firm_reentry_lag,0.0,4.0,0.2153915066034503,3.8034264977567465,0.4002153682128458,3.627768461393664,10.299125221167593
firm_reentry_cash_fraction,0.2,0.85,0.2347003169523448,0.8188375383345601,0.2622637874763146,0.7862631053204285,10.132735171966878
consumption_memory,0.15,0.75,0.1791638234119155,0.7187107397334517,0.2060602006780906,0.6931658495629821,10.07551394641063
precautionary_saving,0.03,0.35,0.0464045606951204,0.3329956784952133,0.0604126886007702,0.3194445139832987,10.440275687470956
consumption_floor_prop,0.0,0.35,0.0202654931182858,0.332186196330882,0.0345467870381808,0.3167677559497794,10.87979908211537
consumption_ceiling_prop,1.0,2.8,1.090200200732694,2.704287188084609,1.1672551899636512,2.626228566078095,10.328500702671384
unemployed_consumption_penalty,0.05,0.45,0.0694930492692865,0.4299115346368732,0.0864686919177736,0.4108148697933217,9.895378658103326
unemployment_transfer,0.0,0.25,0.019611693659919,0.2374340773752573,0.033894992605146,0.2272765056869496,12.87104651386468
