,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,Transfers,UnemploymentTransfers,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,AvgMarkup,PriceDispersion,InventoryGap,SalesForecastError,InventoryTurnover,CreditRejections,FirmDowntimeShare,ReentryCount,Bank_Equity,Bank_Loans,Bank_Deposits,BankFailed,BankResolved,BankResolutionAmount,BankResolutionHaircut,BankBailedOut,BankBailoutAmount,Defaults,DefaultsHH,DefaultsFirm,BalanceOK
0,100,0.0,100.48271369638731,131.18040312158544,131.18040312158544,205.8810104865573,10.224406148306734,0.0,18.799123003742157,6.811125624739719,36.9948274249285,127.87051741629658,0.0,1.0496290398115373,0.34752103493968756,0.0137547276642288,-1.0,1.4204919638213855,2.0,56.0,0.0,0.0,50.0,43.80595304966822,146.66964042003875,False,False,0.0,0.0,False,0.0,0,0,0,True
1,100,0.0,102.24406148306734,118.42814242146588,131.18040312158544,144.2313770416439,10.224406148306734,0.0,3.8913355258725604,23.714371216839826,26.980207690868212,130.00962638293348,12.752260700119542,1.0541895455955537,0.3532086824221952,0.015243095686722287,-0.9512770295499431,0.43573230666500395,1.7483697597563446,77.0,0.0,0.0,50.0,50.694578907708035,133.90096190880604,False,False,0.0,0.0,False,0.0,0,0,0,True
2,100,0.0,101.91625594695446,113.28970892599085,131.18040312158544,130.9129569960452,10.224406148306734,0.0,2.0136538050246533,41.14955476959583,22.495231964205306,133.43481698550596,30.642954895714112,1.0582735451178256,0.3583077055087972,0.016499200656350604,-0.8874418393358322,0.1908090552781132,1.5630032867723993,95.0,0.0,0.0,50.0,63.64478673380114,135.44847079053062,False,False,0.0,0.0,False,0.0,0,0,0,True
3,100,0.0,101.4154825743964,112.06889778614789,131.18040312158544,127.58094544596459,10.224406148306734,0.0,1.5071383510302412,57.546418743177924,20.61378314955991,139.1524216619556,49.754460231151654,1.0618354528189813,0.3627470409081645,0.017647767286585663,-0.8197835493549228,0.1012624203152646,1.4671122587923864,97.0,0.0,0.0,50.0,78.16020189273783,140.65956001298585,False,False,0.0,0.0,False,0.0,0,0,0,True
4,100,0.0,101.11638838813727,111.69684321854328,131.18040312158544,126.18505462769856,10.224406148306734,0.0,1.3148814282485084,73.5500461155069,23.066209799517836,149.72202184406257,69.2380201341938,1.0648515607333426,0.36648511982770743,0.018838148024227515,-0.7505383396845402,0.059249211445335404,1.4111077730196164,99.0,0.0,0.0,50.0,96.61625591502474,151.03690327231106,False,False,0.0,0.0,False,0.0,0,0,0,True
5,100,0.0,100.71604229138438,111.15924089085107,131.18040312158544,124.60935946853718,10.224406148306734,0.0,1.218217304470022,88.85173053000952,28.78110053975583,163.79316943644758,89.25918236492817,1.0673610321487021,0.36957551708757563,0.020133063962151306,-0.6784907076503937,0.03526284652406074,1.3670875633855846,100.0,0.0,0.0,50.0,117.63283106976534,165.0113867409176,False,False,0.0,0.0,False,0.0,0,0,0,True
6,92,0.07999999999999996,93.95374456251733,108.08819605699242,121.5896692701601,117.61951308248744,9.406453656442196,1.2632802871603073,1.1377195080167588,103.85721461453113,27.699167350641964,175.40039693063196,102.76065557809584,1.0693825384262996,0.37204436028778043,0.021626969419756226,-0.6253214124310721,0.037979867296452155,1.3135103010484381,99.0,0.0,0.0,50.0,131.5563819651731,176.53811643864873,False,False,0.0,0.0,False,0.0,0,0,0,True
7,98,0.020000000000000018,99.65531621252846,109.52766687657382,130.41163852090708,119.84472853968121,10.0199180253406,0.3158200717900768,1.0982813617597285,116.1160086909374,26.918473601290877,182.49963399996986,123.6446272224291,1.0710131802840297,0.37399213231654577,0.02359273853029527,-0.5519240195638722,0.014991939897885245,1.214060317020452,97.0,0.0,0.0,50.0,143.0344822922283,183.59791536172958,False,False,0.0,0.0,False,0.0,0,0,0,True
8,92,0.07999999999999996,94.0098896831153,105.89736765028991,121.12987276852324,113.30189582157712,9.406453656442196,1.2632802871603073,0.9783670910034448,127.35238155307145,23.631241776682266,189.62862757918015,138.87713234066243,1.072123175330727,0.37522698751277994,0.02618201427740863,-0.48593053464044295,0.027841493602459237,1.1347108303433195,98.0,0.0,0.0,50.0,150.98362332975373,190.60699467018358,False,False,0.0,0.0,False,0.0,0,0,0,True
9,96,0.040000000000000036,97.2109441622908,107.11977670103963,125.79445232584017,114.62045032423724,9.815429902374465,0.6316401435801536,0.979934283141686,137.31627655930947,23.601761304645567,197.8205904447224,157.55180796546298,1.0727284532524957,0.3758092325708596,0.02898093194418154,-0.4076275268344446,0.009278287678523843,0.9265166479972228,97.0,0.0,0.0,50.0,160.91803786395505,198.8005247278641,False,False,0.0,0.0,False,0.0,0,0,0,True
10,96,0.040000000000000036,97.26756914382071,105.91194057685696,125.54039108572728,113.27521390896294,9.815429902374465,0.6316401435801536,0.8989913805723928,146.03084995136365,22.57904385492369,203.77322926699645,177.18025847433327,1.0727574158834694,0.37567052519585986,0.03164844728756604,-0.3224547905828656,0.01842726117600519,0.8075525289533381,97.0,0.0,0.0,50.0,168.60989380628735,204.67222064756885,False,False,0.0,0.0,False,0.0,0,0,0,True
11,92,0.07999999999999996,93.50752146384336,101.63161710639682,120.65951474836814,108.58398129656408,9.406453656442197,1.2632802871603073,0.9253392934093314,153.9047469528723,20.666135630302573,208.12900269009901,196.20815611630465,1.0721546950551164,0.3747494260162282,0.03404305310533527,-0.2317982204336797,0.051266788131874165,0.6707787731168757,95.0,0.0,0.0,50.0,174.57088258317486,209.05434198350835,False,False,0.0,0.0,False,0.0,0,0,0,True
12,97,0.030000000000000027,99.14375799329599,105.68078026048158,126.88414534605765,112.72233723934583,9.917673963857533,0.47373010768511525,0.7960599445295715,160.5893021606812,17.988678172292325,209.43250407193318,217.41152120188073,1.0708952766787625,0.3730011932282742,0.03632766640577481,-0.1437155624837001,0.018483521311078926,0.5357196249805454,96.0,0.0,0.0,50.0,178.57798033297354,210.22856401646274,False,False,0.0,0.0,False,0.0,0,0,0,True
13,94,0.06000000000000005,96.10941779408329,102.38430601743977,122.62972119940734,108.96523558543177,9.610941779408332,0.9474602153702305,0.9514661879004316,166.82694695653743,15.087048629145494,210.00117502604735,237.65693638384832,1.0689738722534545,0.3704354204693203,0.03812697402461454,-0.0457597883919858,0.028887872592591058,0.44862530775126397,92.0,0.0,0.0,50.0,181.91399558568293,210.95264121394777,False,False,0.0,0.0,False,0.0,0,0,0,True
14,90,0.09999999999999998,92.01965533476059,98.72452479595813,118.04000991796453,104.77824229429073,9.201965533476061,1.579100358950384,0.7862515904294196,172.5711517704697,12.37632124117452,210.8454619037849,256.9724215058547,1.0663233906165324,0.36698045790717077,0.039313025610364254,0.057806991729857295,0.05399928896552457,0.36888938771439117,91.0,0.0,0.0,50.0,184.9474730116442,211.63171349421432,False,False,0.0,0.0,False,0.0,0,0,0,True
15,87,0.13,88.95233349026859,95.59879877782575,114.30666260874324,101.11647305587935,8.89523334902686,2.0528304666354993,0.9011328245023623,177.96996753919294,10.298359826156979,212.03532106701016,275.68028533677216,1.0629367275412958,0.36260178568440826,0.040099721398851595,0.1691406286905702,0.06573375467171372,0.30194318893297134,89.0,0.0,0.0,50.0,188.2683273653499,212.9364538915125,False,False,0.0,0.0,False,0.0,0,0,0,True
16,80,0.19999999999999996,81.79524918645387,89.49213206492382,105.24755679896896,94.2770494868084,8.17952491864539,3.158200717900768,0.9404341970982772,183.34855444600464,8.608118229605665,214.81306435159058,291.4357100708173,1.058782834933511,0.3572511480099349,0.04039139245194134,0.2884221501265068,0.10394415249315318,0.2668406249307136,84.0,0.0,0.0,50.0,191.95667267561032,215.75349854868887,False,False,0.0,0.0,False,0.0,0,0,0,True
17,75,0.25,76.5960528703197,85.05658766018718,98.67272754234021,89.18100696243204,7.668304611230052,3.9477508973759603,0.7093405228509506,188.40853171298514,7.424965129560372,218.86073087402315,305.0518499529703,1.0538262332559347,0.3508795998960178,0.040371468574789696,0.40931049610646414,0.11460629700884764,0.2447263104994267,83.0,0.0,0.0,50.0,195.83349684254551,219.57007139687408,False,False,0.0,0.0,False,0.0,0,0,0,True
18,69,0.31000000000000005,70.54840242331646,79.90328923393517,90.77971828609368,83.31963221313185,7.054840242331647,4.895211112746191,0.6777156541673639,193.63988309301934,6.140191302471593,223.53012504267656,315.9282790051289,1.048071864525415,0.34349486430013354,0.04017697548668949,0.5332797200738627,0.13168727801745092,0.22462168052468096,79.0,0.0,0.0,50.0,199.78007439549094,224.20784069684393,False,False,0.0,0.0,False,0.0,0,0,0,True
