metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,3.3872445627079073,3.3872445627079073,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,6.774489125415815,6.774489125415815,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,6.774489125415815,6.774489125415815,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.03951785323159226,0.03951785323159226,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0015396566194126856,0.0015396566194126856,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.005132188731375617,0.005132188731375617,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.025660943656878096,0.025660943656878096,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.010264377462751235,0.010264377462751235,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.01539656619412685,0.01539656619412685,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.11906677856791435,0.11906677856791435,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,1.1906677856791432,1.1906677856791432,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,0.5953338928395716,0.5953338928395716,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,3.972314078084729,3.972314078084729,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.0615862647765074,0.0615862647765074,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.1796266055981466,0.1796266055981466,0.0,fixed_baseline,0,,,
CreditRejections_mean,80.0,10.0,10.264377462751238,10.264377462751238,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.03592532111962933,0.03592532111962933,0.0,fixed_baseline,0,,,
