,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,Transfers,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,Bank_Equity,Bank_Loans,Bank_Deposits,BankFailed,BankResolved,BankResolutionAmount,BankResolutionHaircut,BankBailedOut,BankBailoutAmount,Defaults,DefaultsHH,DefaultsFirm,BalanceOK
0,66,0.33999999999999997,79.74608269667057,67.94319402406705,67.94319402406705,181.613780368957,8.096038487151374,16.451605775743328,8.346033374773139,21.714419503249594,85.41666064979371,0.0,1.3751501580130583,50.0,30.060452878022733,101.86826642553704,False,False,0.0,0.0,False,0.0,0,0,0,True
1,68,0.31999999999999995,83.29656115224653,70.04376117359624,70.04376117359624,125.1424054038293,8.341372986762021,4.376147842316841,29.84994525337957,19.296234240086875,87.89313513557714,0.0,1.3751501580130583,50.0,49.14617949346645,92.26928297789398,False,False,0.0,0.0,False,0.0,0,0,0,True
2,70,0.30000000000000004,85.55110818014903,72.46463044672404,72.49812569279797,117.69657060977059,8.586707486372669,2.0493569527005486,51.53078117692131,17.249753115208577,91.42960864358278,0.03349524607392684,1.3751501580130583,50.0,68.78053429212989,93.47896559628333,False,False,0.0,0.0,False,0.0,0,0,0,True
3,70,0.30000000000000004,85.8670748637267,72.37397653782075,72.49812569279797,116.10373194772725,8.586707486372669,1.4616499803328533,73.3866313024777,13.61573624815871,93.0117962508329,0.15764440105114463,1.3751501580130583,50.0,87.00236755063641,94.47344623116575,False,False,0.0,0.0,False,0.0,0,0,0,True
4,70,0.30000000000000004,85.8670748637267,72.34838381452376,72.49812569279797,115.87105209050173,8.586707486372669,1.2767698404657388,95.75432677952105,11.006642913189918,95.73655054161763,0.3073862793253541,1.3751501580130583,50.0,106.76096969271097,97.01332038208336,False,False,0.0,0.0,False,0.0,0,0,0,True
5,70,0.30000000000000004,85.8670748637267,72.33490220362263,72.49812569279797,115.74848212156007,8.586707486372669,1.2165058133962525,118.47212375920869,8.589235932054,98.45564662641087,0.470609768500692,1.3751501580130583,50.0,127.06135969126268,99.67215243980712,False,False,0.0,0.0,False,0.0,0,0,0,True
6,71,0.29000000000000004,87.09374736177993,73.73445505775115,73.73295434502732,117.49584520501978,8.709374736177992,1.1667140227954296,141.95150193603646,5.9571255440419435,101.68083290005167,0.4691090557768778,1.3751501580130583,50.0,147.9086274800784,102.8475469228471,False,False,0.0,0.0,False,0.0,0,0,0,True
7,72,0.28,88.32041985983317,74.99858580036201,74.9524902119997,119.16556122991425,8.832041985983317,1.1373888289764125,166.13658089634575,3.048125794637617,104.83149020361262,0.4230134674145747,1.3751501580130583,50.0,169.18470669098338,105.96887903258903,False,False,0.0,0.0,False,0.0,0,0,0,True
8,73,0.27,89.54709235788641,76.15423361005138,76.02259303970065,120.74444624891792,8.954709235788641,1.1094412201189399,190.9283518259211,0.8726654499529406,108.72940657723939,0.2913728970638383,1.3751501580130583,50.0,191.80101727587405,109.83884779735833,False,False,0.0,0.0,False,0.0,0,0,0,True
9,75,0.25,91.20879718349076,78.28954703463351,78.06518938457197,122.45570510663762,9.200043735399287,1.0539547254930572,215.8818146880218,0.0,115.5103381935449,0.06701524700228756,1.3751501580130583,50.0,215.8818146880218,116.56429291903795,False,False,0.0,0.0,False,0.0,0,0,0,True
10,76,0.24,93.22710985204613,79.13541756558882,79.06840231858654,123.69419621733165,9.322710985204612,1.035667249208109,240.3572734002165,0.0,120.80091086774165,0.0,1.3751501580130583,50.0,240.3572734002165,121.83657811694975,False,False,0.0,0.0,False,0.0,0,0,0,True
