alpha_mean,alpha_std,wage,productivity,loan_rate,deposit_rate,bank_credit_multiplier,hh_debt_cap_multiplier,firm_debt_cap_multiplier,adaptation_rate,price_elasticity,skill_wage_weight,demand_smoothing,Employment_mean,UnemploymentRate_mean,Output_mean,Consumption_mean,Transfers_mean,AvgPrice_mean,HH_Debt_mean,HH_Deposit_mean,Firm_Debt_mean,Bank_Equity_mean,BankFailed_mean,BankResolved_mean,BankResolutionAmount_mean,BankResolutionHaircut_mean,BankBailedOut_mean,BankBailoutAmount_mean,Defaults_mean,DefaultsHH_mean,DefaultsFirm_mean,BalanceOK_mean,DefaultsHH_rate,DefaultsFirm_rate,BalanceOK_share,BankFailed_share,BankResolved_share,BankBailedOut_share,seed,rep_id
0.7749997211483003,0.1224113841861431,1.307422657242728,1.5627443951612574,0.0206682737052908,0.0080333596727168,7.768160235643936,3.285794258534355,3.7783787096503714,0.6374844624098076,2.226015802533745,0.1982610104802484,0.0793449571228679,52.0,0.48000000000000004,82.44455895202529,74.4540697074294,6.798597817662187,0.9165331326385003,15.992959523981499,0.8380726272280566,0.0,2.0876989581540135,0.0,0.0,0.0,0.0010603178124083683,0.0,0.0,0.0,0.0,0.0,1.0,0.0006,0.0,1.0,0.0,0.015,0.0,0,0
0.7749997211483003,0.1224113841861431,1.307422657242728,1.5627443951612574,0.0206682737052908,0.0080333596727168,7.768160235643936,3.285794258534355,3.7783787096503714,0.6374844624098076,2.226015802533745,0.1982610104802484,0.0793449571228679,54.0,0.46,85.6963871426233,76.51723873864839,7.060082349110733,0.9121115011715922,37.723675521219874,0.5946433964608339,0.0,4.20751627529722,0.0,0.0,0.0,0.0013649460256197172,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,1.0,0.000625,0.0,1.0,0.0,0.0175,0.0,1,0
0.7749997211483003,0.1224113841861431,1.307422657242728,1.5627443951612574,0.0206682737052908,0.0080333596727168,7.768160235643936,3.285794258534355,3.7783787096503714,0.6374844624098076,2.226015802533745,0.1982610104802484,0.0793449571228679,59.0,0.4100000000000001,91.75192616216448,83.67134516327474,7.713793677732097,0.923669461325418,56.2614168579918,0.5757594130620486,0.0,7.346081910391866,0.0,0.0,0.0,0.0015961659351026475,0.0,0.0,0.0,0.0,0.0,1.0,0.000675,0.0,1.0,0.0,0.0175,0.0,2,0
0.7345252221865746,0.0371048014081442,1.2962275449271272,1.1251023725065463,0.0275095084873073,0.0240914308464005,4.574378566183586,3.9620530141402974,2.9547464225016187,0.8793874892169613,2.487569070086584,0.0612014985798378,0.1061739806991124,72.0,0.2800000000000001,82.52019428310804,101.44278260059865,9.33283832347532,1.2604279404459655,46.96831224406794,0.20658182336913633,0.0,9.164084429232693,0.0,0.0,0.0,0.004305113583192153,0.0,0.0,0.0,0.0,0.0,1.0,0.0010249999999999999,0.0,1.0,0.0,0.0175,0.0,0,1
0.7345252221865746,0.0371048014081442,1.2962275449271272,1.1251023725065463,0.0275095084873073,0.0240914308464005,4.574378566183586,3.9620530141402974,2.9547464225016187,0.8793874892169613,2.487569070086584,0.0612014985798378,0.1061739806991124,79.0,0.21000000000000002,89.91104672083242,111.6623307209509,10.240197604924308,1.265915050687767,39.34576137753451,0.2639036769812537,0.0,8.113747128232843,0.0,0.0,0.0,0.0038593146622781516,0.0,0.0,0.0,0.0,0.0,1.0,0.0010249999999999999,0.0,1.0,0.0,0.02,0.0,1,1
0.7345252221865746,0.0371048014081442,1.2962275449271272,1.1251023725065463,0.0275095084873073,0.0240914308464005,4.574378566183586,3.9620530141402974,2.9547464225016187,0.8793874892169613,2.487569070086584,0.0612014985798378,0.1061739806991124,48.15,0.5185000000000001,55.91949465501052,68.53896952986126,6.241335628824119,1.2661911626899258,4.2039978183677045,0.2028037117704196,0.0,0.9234758247980238,0.0,0.0,0.0,0.005859516712273486,0.0,0.0,0.0,0.0,0.0,1.0,0.0011250000000000001,0.0,1.0,0.0,0.0175,0.0,2,1
0.7504072886598536,0.1105356690265414,1.134984136196216,1.4542497117677224,0.0184159336844432,0.0189376062812966,10.79719320813222,2.3389905732063534,3.7615521687317903,0.5243084129555916,1.7280526598702797,0.1006496902540746,0.1388003437545528,62.0,0.3799999999999999,90.65796779424312,74.48006740538243,7.036901644416544,0.8338457983703459,156.63768337311194,0.9459678647380632,0.0,17.97425705375464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00035000000000000005,0.0,1.0,0.0,0.0,0.0,0,2
0.7504072886598536,0.1105356690265414,1.134984136196216,1.4542497117677224,0.0184159336844432,0.0189376062812966,10.79719320813222,2.3389905732063534,3.7615521687317903,0.5243084129555916,1.7280526598702797,0.1006496902540746,0.1388003437545528,57.0,0.43000000000000005,84.43719335349024,70.6985424332618,6.469409576318431,0.8511150730667332,10.72940707106815,0.8437104739387666,0.0,0.8455161398311494,0.0,0.0,0.0,0.0012482272436113312,0.0,0.0,0.0,0.0,0.0,1.0,0.000625,0.00025,1.0,0.0,0.0175,0.0,1,2
0.7504072886598536,0.1105356690265414,1.134984136196216,1.4542497117677224,0.0184159336844432,0.0189376062812966,10.79719320813222,2.3389905732063534,3.7615521687317903,0.5243084129555916,1.7280526598702797,0.1006496902540746,0.1388003437545528,66.0,0.3399999999999999,95.54911871665216,78.96239156652551,7.490895298895029,0.8427878497904787,171.91247710826934,0.6907177438211838,0.0,26.875317627938845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00025,0.0,1.0,0.0,0.0,0.0,2,2
0.60213995911697,0.0629480550754117,1.1849580220592637,1.0294379078795997,0.0263312634918249,0.0249340058500287,9.27127076828669,2.8876679126335305,2.041410718639371,0.3609069973597146,1.7696105951976728,0.2421727691345206,0.2440916577573142,65.0,0.35000000000000014,68.410510492906,84.12586915764278,7.702227143385217,1.2675596518515257,22.411840908677068,1.3466608609752064,0.0,2.4507353739221083,0.0,0.0,0.0,0.0021714255093552284,0.0,0.0,0.0,0.0,0.0,1.0,0.0008500000000000001,0.0,1.0,0.0,0.02,0.0,0,3
0.60213995911697,0.0629480550754117,1.1849580220592637,1.0294379078795997,0.0263312634918249,0.0249340058500287,9.27127076828669,2.8876679126335305,2.041410718639371,0.3609069973597146,1.7696105951976728,0.2421727691345206,0.2440916577573142,53.0,0.4699999999999998,55.91526806406576,68.18047428071611,6.280277516914098,1.257369549118502,34.25935791690244,0.5808754489303908,0.0,3.7383550633225737,0.0,0.0,0.0,0.003429895693162796,0.0,0.0,0.0,0.0,0.0,1.0,0.0009750000000000001,0.0,1.0,0.0,0.045,0.0,1,3
0.60213995911697,0.0629480550754117,1.1849580220592637,1.0294379078795997,0.0263312634918249,0.0249340058500287,9.27127076828669,2.8876679126335305,2.041410718639371,0.3609069973597146,1.7696105951976728,0.2421727691345206,0.2440916577573142,71.0,0.29,73.70735151196301,91.62324511377288,8.413201956620773,1.2907963318686493,34.987987902335334,1.1875973486842581,0.0,3.8391339443839394,0.0,0.0,0.0,0.002484749201464591,0.0,0.0,0.0,0.0,0.0,1.0,0.0009750000000000001,0.0,1.0,0.0,0.0275,0.0,2,3
0.7664009761748269,0.1165892271970908,1.2245139457240828,1.5867830203305855,0.0187371934201951,0.0042466525796666,7.785320390963536,3.366654497885582,3.319566606390521,0.4010903716389036,2.68741811065383,0.3549983657224922,0.090042364790303,56.0,0.44000000000000006,90.94202725958958,75.03714562822417,6.8572780960548645,0.8468967990268141,18.247895588475664,0.6576360664259167,0.0,2.385361459741307,0.0,0.0,0.0,0.0013203974544410946,0.0,0.0,0.0,0.0,0.0,1.0,0.000625,0.0,1.0,0.0,0.0175,0.0,0,4
0.7664009761748269,0.1165892271970908,1.2245139457240828,1.5867830203305855,0.0187371934201951,0.0042466525796666,7.785320390963536,3.366654497885582,3.319566606390521,0.4010903716389036,2.68741811065383,0.3549983657224922,0.090042364790303,51.8,0.48199999999999993,84.27982076836854,69.10602436081481,6.342982238850751,0.8285013858789977,14.768046090880874,0.8326662431740445,0.0,1.1997385622286827,0.0,0.0,0.0,0.002978275369968772,0.0,0.0,0.0,0.0,0.0,1.0,0.0009,0.0,1.0,0.0,0.04,0.0,1,4
0.7664009761748269,0.1165892271970908,1.2245139457240828,1.5867830203305855,0.0187371934201951,0.0042466525796666,7.785320390963536,3.366654497885582,3.319566606390521,0.4010903716389036,2.68741811065383,0.3549983657224922,0.090042364790303,66.0,0.3399999999999999,103.257521780434,83.69995649919744,8.081792041778947,0.8245024062598864,255.03576170505576,0.7299590369847785,0.0,33.22887387220989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.000125,0.0,1.0,0.0,0.0,0.0,2,4
0.6369270076797636,0.0606533509279978,1.3535860033204008,1.240013363326996,0.0176947199279052,0.0033285351065117,9.036865516215034,2.342477057449659,4.578372706732587,0.7022691599477087,1.7870473910524387,0.0988625255782974,0.1366235918458108,68.0,0.31999999999999995,85.16346462957962,97.4400322762028,9.204384822578726,1.1699175673532474,202.46435446074145,1.7548717408847514,0.0,33.579262941846984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00015,0.0,1.0,0.0,0.0,0.0,0,5
0.6369270076797636,0.0606533509279978,1.3535860033204008,1.240013363326996,0.0176947199279052,0.0033285351065117,9.036865516215034,2.342477057449659,4.578372706732587,0.7022691599477087,1.7870473910524387,0.0988625255782974,0.1366235918458108,72.0,0.2800000000000001,89.73661388877066,102.41993802983792,9.745819223906885,1.1625462740986319,210.27365287254023,2.1467449410906823,12.108054400591126,47.21486590947315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5e-05,0.0,1.0,0.0,0.0,0.0,1,5
0.6369270076797636,0.0606533509279978,1.3535860033204008,1.240013363326996,0.0176947199279052,0.0033285351065117,9.036865516215034,2.342477057449659,4.578372706732587,0.7022691599477087,1.7870473910524387,0.0988625255782974,0.1366235918458108,75.0,0.25,92.09620634010874,106.85372951949513,10.151895024903002,1.182437786783504,226.57726560121043,1.363901110268384,0.0,41.5407030818791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.5e-05,0.0,1.0,0.0,0.0,0.0,2,5
0.6803687651738184,0.049812217722917,1.2266724980532384,1.0328213155143118,0.0155148353428427,0.0211816275999153,5.3507622858265,4.129973844645365,4.198831974582314,0.6122555886037464,1.4271133781560068,0.2292592797557234,0.0715250175504646,75.0,0.25,78.43091372685986,99.31352229789839,9.200043735399287,1.2903244721877245,121.57635545685635,0.7857261556653863,0.0,22.965140997589163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00015,0.0,1.0,0.0,0.0,0.0,0,6
0.6803687651738184,0.049812217722917,1.2266724980532384,1.0328213155143118,0.0155148353428427,0.0211816275999153,5.3507622858265,4.129973844645365,4.198831974582314,0.6122555886037464,1.4271133781560068,0.2292592797557234,0.0715250175504646,73.0,0.26999999999999996,76.63933395691808,96.59425744597844,8.954709235788641,1.2908482824684608,122.73052508225993,0.837128037500415,0.0,23.200188808296165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00015,0.0,1.0,0.0,0.0,0.0,1,6
0.6803687651738184,0.049812217722917,1.2266724980532384,1.0328213155143118,0.0155148353428427,0.0211816275999153,5.3507622858265,4.129973844645365,4.198831974582314,0.6122555886037464,1.4271133781560068,0.2292592797557234,0.0715250175504646,76.0,0.24000000000000002,78.6164600514739,100.53079675135932,9.32271098520461,1.3104886831986606,130.13405945787545,0.8292168438436863,0.0,24.58897754705678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00015,0.0,1.0,0.0,0.0,0.0,2,6
0.7256869190409526,0.081715791326891,1.261199041753491,1.637804199229546,0.0220808458566955,0.0212972753116388,6.636296973295432,2.7974069861613806,4.0135740197221725,0.6248728178142533,1.3269805420417566,0.1547302659023693,0.1356555191947815,64.0,0.35999999999999993,105.2240143573482,88.0261184145002,8.071673867222342,0.8447531170192705,34.485833069380334,0.549105508079164,0.0,5.305171305928551,0.0,0.0,0.0,0.0008573397527499994,0.0,0.0,0.0,0.0,0.0,1.0,0.000575,0.0,1.0,0.0,0.01,0.0,0,7
0.7256869190409526,0.081715791326891,1.261199041753491,1.637804199229546,0.0220808458566955,0.0212972753116388,6.636296973295432,2.7974069861613806,4.0135740197221725,0.6248728178142533,1.3269805420417566,0.1547302659023693,0.1356555191947815,56.0,0.44000000000000006,92.64039610641247,76.94593176862378,7.062714633819551,0.8456773306783796,33.66074022862115,0.5879089360063273,0.0,5.1647110663978095,0.0,0.0,0.0,0.0013971287006976267,0.0,0.0,0.0,0.0,0.0,1.0,0.0007000000000000001,0.0,1.0,0.0,0.015,0.0,1,7
0.7256869190409526,0.081715791326891,1.261199041753491,1.637804199229546,0.0220808458566955,0.0212972753116388,6.636296973295432,2.7974069861613806,4.0135740197221725,0.6248728178142533,1.3269805420417566,0.1547302659023693,0.1356555191947815,56.0,0.44000000000000006,91.04912640180736,76.92535493791833,7.062714633819552,0.8532650282243222,19.424087231799174,0.6003346208109825,0.0,2.729867545040932,0.0,0.0,0.0,0.001615055034438818,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,1.0,0.000775,0.0,1.0,0.0,0.02,0.0,2,7
