metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,8.784600000000001,8.784600000000001,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,17.569200000000002,17.569200000000002,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,17.569200000000002,17.569200000000002,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.10248700000000002,0.10248700000000002,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.003993000000000001,0.003993000000000001,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.013310000000000002,0.013310000000000002,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.06655000000000001,0.06655000000000001,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.026620000000000005,0.026620000000000005,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.03993000000000001,0.03993000000000001,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.3087920000000001,0.3087920000000001,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,3.0879200000000004,3.0879200000000004,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.5439600000000002,1.5439600000000002,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,10.301940000000004,10.301940000000004,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.15972000000000003,0.15972000000000003,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.4658500000000001,0.4658500000000001,0.0,fixed_baseline,0,,,
CreditRejections_mean,80.0,10.0,26.620000000000005,26.620000000000005,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.09317000000000003,0.09317000000000003,0.0,fixed_baseline,0,,,
