stage,seed,reasons,alpha_mean,alpha_std,wage,productivity,loan_rate,deposit_rate,bank_credit_multiplier,hh_debt_cap_multiplier,firm_debt_cap_multiplier,adaptation_rate,price_elasticity,skill_wage_weight,demand_smoothing,price_adjust_speed,price_stickiness,max_price_step,inventory_target_days,demand_expectation_memory,max_hire_per_step,max_fire_per_step,hh_max_dsr,firm_max_dsr,firm_reentry_lag,firm_reentry_cash_fraction,consumption_memory,precautionary_saving,consumption_floor_prop,consumption_ceiling_prop,unemployed_consumption_penalty,unemployment_transfer
strict,0,hh_deposit_below_min;bank_resolved_above_max;haircut_above_max,0.7455125008214765,0.0378607445019614,1.0225274974385563,1.2870867693401862,0.0494129649825252,0.0120059346011711,10.321706446801752,3.7734664579839,2.023625829946884,0.5177887208325398,1.7108089788406224,0.3823864775537858,0.1041332624885252,0.1827847340818044,0.6459433508544676,0.0972601225679425,1.3965070053412454,0.5308810461678175,8.4238562424278,7.595961419698417,0.3104645222812666,1.2359861388935862,3.347684855630409,0.2720121422097696,0.4975137032925796,0.1529694232306278,0.0549466952380524,2.206382335999128,0.3549178472018605,0.0934655348287656
strict,0,hh_deposit_below_min;bank_resolved_above_max,0.6765681972209068,0.0663193856802016,1.062517179567002,1.0073414466994903,0.0292995631844253,0.0249288484413625,10.22701887967098,2.8647322827594817,2.16265966764987,0.5733418212637005,2.136053019769877,0.1731294392542563,0.2480272571807636,0.2007543195123556,0.7005154790929989,0.1979294205687312,1.5867627601260357,0.2420368561678128,10.00132072122418,6.461786666434772,0.5096263132131809,1.817218148678658,2.004078616011652,0.3315229262242041,0.5251126037590573,0.3162370185793902,0.0752151751041449,1.0678822821947525,0.0876342858319849,0.105134995812369
strict,0,hh_deposit_below_min;bank_resolved_above_max;haircut_above_max,0.7099677007278082,0.0543120125302197,1.004026518244805,1.3103579821253502,0.0450902398750677,0.02224429036865,11.30208138237342,3.522172959054681,3.4708878073862808,0.7054220017002006,1.842127127916732,0.240738289751448,0.2011431453942408,0.1660800839416929,0.6316992680907771,0.1382679753389143,2.1185793883747497,0.3185806585024461,8.527778677195158,8.58588162041325,0.320704196050551,1.7306367488464751,1.22211954765735,0.5196865766445732,0.2949485189407089,0.1061707294126704,0.0725500892862829,1.453536994323223,0.3936656167170905,0.0856944681159614
strict,0,hh_deposit_below_min;bank_resolved_above_max;bank_bailedout_above_max;haircut_above_max,0.749603567513788,0.0398125959599251,1.2513968471905728,1.0942293196725834,0.0465733197959482,0.0208904383172722,10.475256236343728,3.312666670128211,3.894818634354481,0.7110887032114044,2.420030617425184,0.1326974326100249,0.2134572971942497,0.1437271875130774,0.6470707474828232,0.1283301348157265,1.3770466076260357,0.3325513474535116,10.58769055996315,8.480527277207479,0.3201538083523326,1.4083215448762458,0.8230025183870617,0.6029892357321145,0.4306545987482148,0.111377251985528,0.1178728433486414,1.5508332046906683,0.1955030301309118,0.1926494501896787
strict,0,hh_deposit_below_min;haircut_above_max,0.8365817099311731,0.0726551358430011,1.0359165824479002,1.028407426105299,0.0509554804345842,0.009512061645739,6.617309213671324,2.888337266275805,1.9084476009469065,0.564515732132959,1.3719577505256986,0.36579289358333,0.2086952486178301,0.3736384329234483,0.7331775179062997,0.1406140904278138,1.432557108669525,0.3015784884421543,5.824397252177052,9.84285608075918,0.4293345123349728,1.0189779747402277,1.7402333825403242,0.6762090503761772,0.6315581691949965,0.2261392682007551,0.2365191382341915,1.247976550417778,0.3459559887162248,0.1422329157956769
strict,0,hh_deposit_below_min;bank_resolved_above_max;bank_bailedout_above_max;haircut_above_max,0.876820986904847,0.0838770459824826,1.055121262813168,1.1423579878719952,0.0346703859440107,0.0232628132187448,7.897779523970996,2.9328809641484006,4.412566326681012,0.3332389185817165,1.3888773692683696,0.1473733522470403,0.2062678518298863,0.338856037361837,0.6656795188406048,0.162512572918319,1.9182476844422576,0.577860599895047,9.94211523178651,10.189427925878192,0.3067660231759153,1.4463979438685222,2.27088102453822,0.5113021602316107,0.4847532973427744,0.1134234376990131,0.0409424785736239,1.4419598727379346,0.3695424902578048,0.1173369148628377
strict,0,hh_deposit_below_min;defaults_hh_above_max;bank_resolved_above_max;bank_bailedout_above_max;haircut_above_max,0.828562945889366,0.0867060481710608,0.9936991356131794,1.0566277882549768,0.0610119119720588,0.0181150034324167,9.029805949347036,3.421919189043813,4.51585229092561,0.3312748025122172,1.6827587568597884,0.2875961704374517,0.123061298016924,0.2566046946991509,0.5006901219909703,0.1828746025000576,2.074650621674828,0.3493440656382702,4.214655100186145,5.321703598833566,0.3933538442873455,1.3311377010429926,2.518490878086308,0.3014849152410229,0.36540234308429,0.1002274244487551,0.2293855469445487,2.029490933681509,0.2288177736489584,0.1238895221548809
strict,0,hh_deposit_below_min;bank_resolved_above_max;bank_bailedout_above_max;haircut_above_max,0.6902145622531033,0.0611298387231026,0.9789442331520224,1.017925954397758,0.058243475472642,0.023593535848343,9.156595991517978,3.924385777745115,2.831899545665382,0.6329234287756799,2.546338122016631,0.2589099224215335,0.1642689442286925,0.2312699087876493,0.5330307871607419,0.1106587712857461,1.8186935051801616,0.2461432150613287,5.266776780459924,7.941632850910056,0.2936754311732247,1.6229948669068677,2.1654533394237423,0.5687995290223368,0.6430792479594205,0.1499629029100836,0.2490456773256541,1.584016392667733,0.209713346714196,0.2343499627772057
strict,0,hh_deposit_below_min,0.6580173120993219,0.0514562223875733,1.0712616288381107,1.232180870001912,0.0263187925756531,0.0160141858558951,11.274643036506044,2.3444585437431447,2.61521434583413,0.7448221230341152,2.052476019023426,0.2855690880788639,0.2864229104068838,0.1393416573633647,0.6187512599054199,0.1120022068237671,1.2701408735526198,0.3644711875432412,4.334368779001975,8.505485703922572,0.5288524626829229,1.170696518372388,1.0917442154184187,0.733921789968227,0.3532961919927013,0.1445744822944427,0.0803971331380116,1.9198878887846789,0.240581241373678,0.113075605534526
strict,0,hh_deposit_below_min;defaults_hh_above_max;bank_resolved_above_max;bank_bailedout_above_max;haircut_above_max,0.8021436196398029,0.0417050598230782,1.2135795747987554,1.1927773497016672,0.0532834390118022,0.0253505054311624,10.757423367392567,2.8248165437581214,3.7265366061168193,0.45839653854868,2.3687016865211508,0.2066875339486787,0.1476378969074961,0.2734579740110547,0.7057107073730549,0.1194246438286363,1.2801142460405317,0.4290024681642683,9.888015114397785,11.51107120242279,0.313825430316324,1.6259610262151347,1.7726759021516874,0.6198861150617956,0.5717694715833275,0.3030846047970488,0.1450555513735092,1.890444063469332,0.2689771197746334,0.1285248911525938
