component,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.0060240963855421,0.003012048192771,4,4
EV,0.0120481927710843,0.0045180722891566,3,3
MD,0.2228915662650602,0.1300200803212851,1,1
OU,0.1265060240963855,0.0868473895582329,2,2
