metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,8.332347936000001,8.332347936000001,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,16.664695872000003,16.664695872000003,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,16.664695872000003,16.664695872000003,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.09721072592,0.09721072592,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.003787430880000001,0.003787430880000001,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.012624769600000002,0.012624769600000002,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.06312384800000001,0.06312384800000001,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.025249539200000004,0.025249539200000004,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.037874308800000006,0.037874308800000006,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.2928946547200001,0.2928946547200001,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,2.9289465472000002,2.9289465472000002,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.4644732736000001,1.4644732736000001,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,9.771571670400002,9.771571670400002,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.15149723520000002,0.15149723520000002,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.441866936,0.441866936,0.0,fixed_baseline,0,,,
CreditRejections_mean,30.0,5.0,25.249539200000008,25.249539200000008,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.08837338720000004,0.08837338720000004,0.0,fixed_baseline,0,,,
