metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,7.41576,7.41576,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,14.83152,14.83152,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,14.83152,14.83152,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.0865172,0.0865172,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0033708,0.0033708,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.011236000000000001,0.011236000000000001,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.05618000000000001,0.05618000000000001,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.022472000000000002,0.022472000000000002,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.033708,0.033708,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.26067520000000005,0.26067520000000005,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,2.606752,2.606752,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.303376,1.303376,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,8.696664000000002,8.696664000000002,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.134832,0.134832,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.39326,0.39326,0.0,fixed_baseline,0,,,
CreditRejections_mean,30.0,5.0,22.472000000000005,22.472000000000005,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.07865200000000003,0.07865200000000003,0.0,fixed_baseline,0,,,
