wave,trained,gate_metrics,skipped,gpr_cv_mean,gpr_cv_median,gpr_cv_share_ge
wave1,31.0,23.0,6.0,0.7162854413732898,0.7655126588210048,1.0
wave2,29.0,21.0,8.0,0.6092728847543236,0.5989641635585918,1.0
