metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,4.728193536,4.728193536,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,9.456387072,9.456387072,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,9.456387072,9.456387072,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.055162257920000006,0.055162257920000006,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0021491788800000007,0.0021491788800000007,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.007163929600000001,0.007163929600000001,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.03581964800000001,0.03581964800000001,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.014327859200000003,0.014327859200000003,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.0214917888,0.0214917888,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.16620316672000005,0.16620316672000005,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,1.6620316672000002,1.6620316672000002,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,0.8310158336000001,0.8310158336000001,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,5.5448815104000015,5.5448815104000015,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.0859671552,0.0859671552,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.25073753600000004,0.25073753600000004,0.0,fixed_baseline,0,,,
CreditRejections_mean,80.0,10.0,14.327859200000006,14.327859200000006,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.05014750720000002,0.05014750720000002,0.0,fixed_baseline,0,,,
