,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,Transfers,UnemploymentTransfers,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,AvgMarkup,PriceDispersion,InventoryGap,SalesForecastError,InventoryTurnover,CreditRequests,CreditRejections,CreditRejectionRate,FirmDowntimeShare,ReentryCount,Bank_Equity,Bank_Loans,Bank_Deposits,BankFailed,BankResolved,BankResolutionAmount,BankResolutionHaircut,BankBailedOut,BankBailoutAmount,Defaults,DefaultsHH,DefaultsFirm,BalanceOK
0,100,0.0,101.54499328579153,110.7206638235462,110.7206638235462,189.7443703653837,10.154499328579151,0.0,32.78882156291255,3.671811293059957,39.9525708049746,111.23166362221764,0.0,1.0808440910966604,0.1770608552872765,0.028381504949829595,-1.0,1.206669565562438,2.0,36.0,0.0,0.0,0.0,0.0,50.0,43.62438209803456,144.02048518513018,False,False,0.0,0.0,False,0.0,0,0,0,True
1,100,0.0,101.54499328579153,104.81047308369659,110.7206638235462,141.20814416289423,10.154499328579151,0.0,14.494611171543045,14.86008707408712,36.37111271091436,108.7554066581371,5.910190739849595,1.086193056978953,0.1827758164301305,0.029539993691816098,-0.9754431629743928,0.3624236247636731,1.8550520190566158,60.0,0.0,0.0,0.0,0.0,50.52514587943513,51.23119978500148,123.25001782968015,False,False,0.0,0.0,False,0.0,0,0,0,True
2,100,0.0,101.54499328579153,100.80775093977354,110.7206638235462,129.28824055780552,10.154499328579151,0.0,9.400634504450602,27.696671141588823,38.42934150681998,108.15588745752262,15.823103623622256,1.0912987535151213,0.18823100021071254,0.03063431014167044,-0.9368194499710694,0.1394915690271806,1.7008560249507567,75.0,0.0,0.0,0.0,0.0,51.03298679811378,66.1260126484088,117.55652196197323,False,False,0.0,0.0,False,0.0,0,0,0,True
3,100,0.0,101.54499328579153,99.71285335669702,110.7206638235462,126.67078646244724,10.154499328579151,0.0,7.512437094408465,41.48356581683147,43.66882083374017,109.9556669186557,26.83091409047143,1.0961480840800648,0.19341078966791947,0.031676343484170484,-0.8940284269487829,0.06555365310527198,1.6024533552668518,83.0,0.0,0.0,0.0,0.0,51.61754780015598,85.15238665057164,117.46810401306416,False,False,0.0,0.0,False,0.0,0,0,0,True
4,100,0.0,101.54499328579153,99.41006113339702,110.7206638235462,126.04358648328794,10.154499328579151,0.0,6.6461048061633585,56.04033893251764,49.95496947713226,112.77035146183786,38.141516780620606,1.1007497520873464,0.19832408991021783,0.03267683064221581,-0.8496847950940168,0.03613716110949451,1.5381293805392324,88.0,0.0,0.0,0.0,0.0,52.342849160038874,105.99530840964991,119.41645626800123,False,False,0.0,0.0,False,0.0,0,0,0,True
5,100,0.0,101.54499328579153,99.35354235558864,110.7206638235462,125.96345641164176,10.154499328579151,0.0,6.211200330538405,71.34030575337677,58.01080268295335,117.53958968712077,49.50863824857815,1.1051072484045286,0.20297541748067122,0.03363843974146993,-0.8048267857373901,0.021321489355558335,1.4934040319178852,90.0,0.0,0.0,0.0,0.0,53.22922470111008,129.35110843633012,123.75079001765917,False,False,0.0,0.0,False,0.0,0,0,0,True
6,100,0.0,101.54499328579153,99.40376508253988,110.7206638235462,126.06916038630253,10.154499328579151,0.0,5.922803043370168,87.30258629968256,66.11720066048133,122.59668078497705,60.82553698958445,1.1092304096263923,0.20737777721370318,0.03455372631385587,-0.760067263134577,0.012992973215353093,1.4607286995594322,91.0,0.0,0.0,0.0,0.0,54.31506065890259,153.4197869601639,128.51948382834723,False,False,0.0,0.0,False,0.0,0,0,0,True
7,99,0.010000000000000009,100.52954335293363,99.26330798546564,109.77414299444044,125.57125518139637,10.052954335293359,0.1763069368733034,5.717752572557906,104.2182255517249,73.81683664183755,128.36931034009953,71.33637199855926,1.1131231786380964,0.21153554791709012,0.03543564600765152,-0.7185141097080544,0.008155812629194046,1.4353880921229436,90.0,0.0,0.0,0.0,0.0,55.600066880455614,178.03506219356245,134.08706291265744,False,False,0.0,0.0,False,0.0,0,0,0,True
8,94,0.06000000000000005,95.45229368864405,97.9781854427424,105.00018346487741,121.93832904672041,9.545229368864401,1.0578416212398203,5.521388667050871,122.6654299304545,77.46407158223687,134.4165773128707,78.35837002069427,1.1168072474503643,0.21546992332525944,0.03632391629704566,-0.6898304213215999,0.014090409372444171,1.411851309882462,90.0,0.0,0.0,0.0,0.0,57.070317289848035,200.12950151269138,139.93796597992156,False,False,0.0,0.0,False,0.0,0,0,0,True
9,99,0.010000000000000009,100.52954335293363,98.33056537601402,112.27919917511957,122.60597833404675,10.052954335293359,0.1763069368733034,5.436965970445748,137.68200411306876,80.87441109284445,135.26949533071334,92.30700381979983,1.1203427235767942,0.21923455030984104,0.03734232279709499,-0.6435347291431635,0.005181470661105232,1.3649124818819645,87.0,0.0,0.0,0.0,0.0,58.61614415831862,218.5564152059132,140.7064613011591,False,False,0.0,0.0,False,0.0,0,0,0,True
10,97,0.030000000000000027,98.49864348721779,97.15539389671459,110.10286638771663,119.0802592829617,9.849864348721775,0.5289208106199101,5.025426423156842,151.12832787457913,80.90368079050992,133.8785650502776,105.25447631080189,1.1236461644318652,0.22270677268438063,0.03875616634984094,-0.5970203406826131,0.013308176141644455,1.3400431541119138,81.0,0.0,0.0,0.0,0.0,60.25044921255768,232.03200866508905,138.90399147343442,False,False,0.0,0.0,False,0.0,0,0,0,True
11,96,0.040000000000000036,97.48319355435987,98.08576851578582,108.12547699351302,117.21997409208856,9.748319355435985,0.7052277474932136,4.771428172004055,164.17312404283837,81.46103133730848,135.43366920109855,115.29418478852912,1.126711962881092,0.22587767990300223,0.04057714574163454,-0.5562357774923191,0.028264874715626703,1.2763911805759598,77.0,0.0,0.0,0.0,0.0,61.89236559814789,245.63415538014686,140.2050973731026,False,False,0.0,0.0,False,0.0,0,0,0,True
12,96,0.040000000000000036,97.48319355435987,97.84408969732272,107.07249074076924,116.32235043081947,9.748319355435985,0.7052277474932136,4.93138355358901,177.08346242137955,85.35720108710797,140.2734194286546,124.52258583197563,1.1295625434170762,0.2287879604120647,0.04266038323806123,-0.5138172058727403,0.015498107434295829,1.203259477064622,76.0,0.0,0.0,0.0,0.0,63.54428961584836,262.44066350848755,145.2048029822436,False,False,0.0,0.0,False,0.0,0,0,0,True
13,98,0.020000000000000018,99.51409342007571,98.08191814047106,109.2328326385227,116.37065154551134,9.951409342007569,0.3526138737466068,5.039514272402929,188.45295608499546,94.98970902331072,148.99031150125373,135.67350033002728,1.1321979539263018,0.23145884025394098,0.04481280697382132,-0.46502752070118863,0.008697514176751363,1.1698940794039003,74.0,0.0,0.0,0.0,0.0,65.28168491465365,283.4426651083062,154.02982577365665,False,False,0.0,0.0,False,0.0,0,0,0,True
14,95,0.050000000000000044,96.46774362150195,97.1680788027675,105.73569272842109,112.77884242600919,9.646774362150195,0.881534684366517,4.735411839496782,198.9435874086034,99.42082268438915,154.83436299301357,144.24111425568086,1.1346249030913902,0.2339011932291518,0.04699513285923848,-0.42080838429231937,0.01963701857174763,1.1052792177150665,69.0,0.0,0.0,0.0,0.0,67.24378294644963,298.36441009299256,159.56977483251035,False,False,0.0,0.0,False,0.0,0,0,0,True
15,96,0.040000000000000036,97.48319355435987,97.07174778606458,106.54148594162838,112.26474555390902,9.748319355435985,0.7052277474932136,4.573293353738248,208.40263260655522,105.11079113054191,160.76957828918177,153.71085241124464,1.1368440120477747,0.23611763642616287,0.049201864397921485,-0.3717720765340567,0.01016432143155602,1.0230854870874122,68.0,0.0,0.0,0.0,0.0,69.30364126427746,313.5134237370971,165.34287164292002,False,False,0.0,0.0,False,0.0,0,0,0,True
16,89,0.10999999999999999,99.51409342007571,98.19789269118078,108.67760613147762,112.63648557377873,9.951409342007569,0.3526138737466068,4.818680087784304,217.01268435721138,72.14047670258519,159.80152114878268,138.99742020242363,1.1388256252727664,0.23808355710833062,0.051340586924934546,-0.31992029561623037,0.01477825101180708,0.9780757269389694,64.0,0.0,0.0,0.1,0.0,46.49964028999375,289.15316105979656,164.620201236567,False,False,0.0,0.0,False,0.0,1,0,1,True
17,95,0.050000000000000044,96.46774362150195,88.76777839764185,106.72488192902361,110.17153643644268,9.646774362150195,0.881534684366517,4.597838544593804,225.7425513589723,74.2314081632596,154.31207174460124,156.9545237338054,1.1409177530752679,0.24012692494391336,0.05376829978575578,-0.3585772760964397,0.10855201843639053,0.7204991225548819,61.0,0.0,0.0,0.1,0.0,47.80932199568818,299.9739595222319,158.90991028919504,False,False,0.0,0.0,False,0.0,0,0,0,True
18,96,0.040000000000000036,97.48319355435987,93.28618094373604,107.21806826127167,109.5087447362884,9.748319355435987,0.7052277474932136,4.151633642220236,232.8774685264736,72.5269833169003,154.88634357488203,170.88641105134104,1.142502884715165,0.24163287477026696,0.05599493696064319,-0.28820892855015423,0.007251118860478632,0.8580510561649394,60.0,0.0,0.0,0.0,1.0,49.17585312975897,305.40445184337386,159.03797721710228,False,False,0.0,0.0,False,0.0,0,0,0,True
19,98,0.020000000000000018,99.5140934200757,96.5754247838316,108.82368828217352,109.57670305337193,9.951409342007569,0.3526138737466068,4.559249742579183,239.24495627409937,77.49546709103664,158.44596441987846,183.13467454968296,1.1436593072815553,0.24268409083308295,0.05806567334583075,-0.22579200588987244,0.06612648268354429,0.798112369323872,58.0,0.0,0.0,0.0,0.0,50.51703532769953,316.740423365136,163.00521416245766,False,False,0.0,0.0,False,0.0,0,0,0,True
20,93,0.06999999999999995,94.43684375578613,92.45733867848428,103.05705274022307,104.76426999642986,9.443684375578613,1.2341485581131237,4.340493278348944,245.0455240139617,80.47768764357879,160.83535891321304,193.7343886114217,1.1445097185766708,0.24340983033104863,0.06005960807779604,-0.15521056960617272,0.058195162313219674,0.6756878847162164,55.0,0.0,0.0,0.0,0.0,51.976334791959125,325.5232116575405,165.175852191562,False,False,0.0,0.0,False,0.0,0,0,0,True
21,96,0.040000000000000036,97.48319355435987,93.70380253519669,105.61810457493189,106.15653228568829,9.748319355435985,0.7052277474932136,4.612495747077147,250.06273233175676,89.1871536178179,166.9224099765577,205.64869065115693,1.1450024353257144,0.24376516159200215,0.06193880595617074,-0.08330156035526555,0.021055228844162933,0.5680351181781422,50.0,0.0,0.0,0.0,0.0,53.50732917331286,339.24988594957466,171.53490572363484,False,False,0.0,0.0,False,0.0,0,0,0,True
22,95,0.050000000000000044,96.46774362150195,93.11429345254021,105.23544117344693,105.44443882018987,9.646774362150195,0.881534684366517,4.728595287328712,255.28554521668937,91.94213380522484,167.24953904056878,217.7698383720636,1.1451578024296856,0.2437907831235581,0.06353282396598417,-0.015765631574473637,0.015901943262618342,0.4713381305948493,51.0,0.0,0.0,0.0,0.0,55.24799492943508,347.22767902191424,171.9781343278975,False,False,0.0,0.0,False,0.0,0,0,0,True
23,96,0.040000000000000036,97.48319355435987,93.55748154307872,106.90561323389613,105.8751149766982,9.748319355435985,0.7052277474932136,4.314634339364286,259.6072754179505,90.61959946140202,162.74024697077294,231.11797006288103,1.1449600595950262,0.24345212214002593,0.06490874813361196,0.05248943609449417,0.01090855907990435,0.40302279039832634,49.0,0.0,0.0,0.0,0.0,57.06044485484375,350.2268748793525,167.05488131013723,False,False,0.0,0.0,False,0.0,0,0,0,True
24,94,0.06000000000000005,95.45229368864403,91.46918473835449,104.94692500604917,103.41335075011627,9.545229368864403,1.0578416212398203,4.240049011871725,263.8049458295505,88.99833593196755,157.72281284482483,244.59571033057574,1.1443637887173295,0.24268896076966912,0.06606359808073957,0.13135891668242042,0.02307774008021888,0.33283681687942684,45.0,0.0,0.0,0.0,0.0,58.85873244200191,352.80328176151806,161.96286185669655,False,False,0.0,0.0,False,0.0,0,0,0,True
25,93,0.06999999999999995,94.43684375578613,90.75047409390275,103.91592816049052,102.47001975999342,9.443684375578613,1.2341485581131237,4.578606882673231,268.5254520516471,88.68095587473394,154.20736823429786,257.7611643971635,1.1433304601225718,0.24145386583262765,0.06703605617558096,0.20974225405427588,0.021595169180885526,0.302230716667584,42.0,0.0,0.0,0.0,0.0,60.63022915779487,357.2064079263811,158.7859751169711,False,False,0.0,0.0,False,0.0,0,0,0,True
26,86,0.14,87.32869422578071,86.4864360462917,96.25618756137382,97.50080024905841,8.732869422578071,2.4682971162262475,4.006228805699602,274.0753573525653,87.94320038536384,153.1164832083703,267.53091591224563,1.1418761661631898,0.23976286877111921,0.06782796008920443,0.2908043396679737,0.0592722521176597,0.27984090825033425,44.0,0.0,0.0,0.0,0.0,62.405253518590236,362.0185577379291,157.12271201406992,False,False,0.0,0.0,False,0.0,0,0,0,True
27,80,0.19999999999999996,81.23599462863322,81.8498401180389,89.597907700316,92.09617007127818,8.123599462863321,3.526138737466068,3.3306880449021747,279.91192861027014,87.3923552021885,153.52548614470928,275.2789834945227,1.1400163631471014,0.23763058251735103,0.06856249493596092,0.3804898969893384,0.08677154196726251,0.25995973654867954,43.0,0.0,0.0,0.0,0.0,64.1668075222275,367.3042838124586,156.85617418961147,False,False,0.0,0.0,False,0.0,0,0,0,True
28,77,0.22999999999999998,78.18964483005948,79.13585056143253,86.0451222876331,88.8366363057529,7.818964483005948,4.055059548085978,3.053829256739268,285.8680866345338,88.23194237209603,155.43268290136484,282.1882552207233,1.1377233560907083,0.2350268215205304,0.06928394027652396,0.4697284768183332,0.08314693929485936,0.24647268988324797,42.0,0.0,0.0,0.0,0.0,65.91460972685822,374.1000290066298,158.48651215810412,False,False,0.0,0.0,False,0.0,0,0,0,True
29,67,0.32999999999999996,76.15874496434364,77.9113488241597,83.97799261632638,87.22756734833068,7.6158744964343645,4.407673421832585,3.01435210574952,292.4939904206865,50.713411101648525,150.86972928661805,255.32366598238096,1.1350090218369489,0.23196941879459104,0.06997423197016663,0.5443425124528863,0.06418628746501595,0.23874293525629894,42.0,0.0,0.0,0.1,0.0,44.39771224947475,343.20740152233503,153.88408139236756,False,False,0.0,0.0,False,0.0,1,0,1,True
30,66,0.33999999999999997,66.93210800990458,64.74366432730085,74.54621999178715,79.54962237680546,6.701969556862241,5.994435853692315,2.729872168332993,299.9277637735854,51.09567740492374,149.17613411191556,265.1262216468673,1.132561099912889,0.2291653870404275,0.07084853740097369,0.48406300097691835,0.20581505874303735,0.1959595245690349,44.0,0.0,0.0,0.1,0.0,45.1738637951712,351.02344117850913,151.90600628024856,False,False,0.0,0.0,False,0.0,0,0,0,True
31,67,0.32999999999999996,67.58330734470948,71.07539007366805,74.9768760104523,79.21298188410415,6.803514550148031,5.8181289168190125,2.400672242783692,306.6032723589127,53.518359300929156,159.74644957803983,269.02770758365153,1.1294946622556519,0.22568436759320293,0.07185669491078649,0.5542964062126554,0.10698881123959211,0.39329273106983276,41.0,0.0,0.0,0.0,1.0,45.95311970675625,360.12163165984185,162.14712182082351,False,False,0.0,0.0,False,0.0,0,0,0,True
32,72,0.28,72.29061270253294,73.65187278303287,80.16111505091526,81.70461734259739,7.311239516576989,4.936594232452495,2.6760104623843106,312.221002001397,58.464879395042914,166.4022285011704,275.53694985153396,1.1261219790464796,0.22187331210624092,0.0729493789551031,0.6079343803149546,0.030270941521753626,0.2677366162118297,39.0,0.0,0.0,0.0,0.0,46.79529956130017,370.68588139643987,169.07823896355472,False,False,0.0,0.0,False,0.0,0,0,0,True
33,71,0.29000000000000004,71.37044610600512,73.09000174089863,79.2145942218095,80.78549275779139,7.209694523291197,5.112901169325799,2.838069891484353,317.800695046141,61.68004875234688,171.22204682983283,281.66154233244487,1.122534071446342,0.217847856157125,0.07397349361440787,0.6566266193711672,0.017491192147984645,0.23817045455459276,38.0,0.0,0.0,0.0,0.0,47.75209115317255,379.4807437984879,174.0601167213172,False,False,0.0,0.0,False,0.0,0,0,0,True
34,67,0.32999999999999996,67.76777585112178,70.76010276983078,75.0518652259541,77.91275310997167,6.803514550148032,5.8181289168190125,2.660963318872496,323.62042677864684,61.653588352818055,173.81512094970665,285.9533047885682,1.1187578701692347,0.2136304776708214,0.07494365390194102,0.7093989621112963,0.03235055985608839,0.22476154033471704,37.0,0.0,0.0,0.0,0.0,48.77020317705899,385.2740151314649,176.47608426857914,False,False,0.0,0.0,False,0.0,0,0,0,True
35,59,0.41000000000000003,64.91405485798775,69.17571848910188,71.84989188582543,75.8614887452495,6.498879570290656,6.347049727438923,2.700677706609662,330.39118007296815,35.362331489315636,171.67953541378097,268.01103605605675,1.1147524996191198,0.209168173423189,0.07591919654417822,0.756861495936836,0.04138185480449509,0.21783530149994404,36.0,0.0,0.0,0.1,0.0,34.44096249620618,365.7535115622838,174.38021312039064,False,False,0.0,0.0,False,0.0,1,0,1,True
36,59,0.41000000000000003,59.45891837771896,57.21415489078395,67.11728774029669,66.83487729244516,5.991154603861699,7.228584411805439,2.2993071089553556,332.95612366679825,32.83514587619317,167.76933508617734,277.9141689055695,1.1112158718258753,0.20511237234071683,0.07809799693036301,0.730420511719078,0.22015497842934767,0.17101450710825017,34.0,34.0,1.0,0.1,0.0,34.73875092751643,365.7912695429914,170.0686421951327,False,False,0.0,0.0,False,0.0,0,0,0,True
