stage,seed,reasons,alpha_mean,alpha_std,wage,productivity,loan_rate,deposit_rate,bank_credit_multiplier,hh_debt_cap_multiplier,firm_debt_cap_multiplier,adaptation_rate,price_elasticity,skill_wage_weight,demand_smoothing,price_adjust_speed,price_stickiness,max_price_step,inventory_target_days,demand_expectation_memory,max_hire_per_step,max_fire_per_step,hh_max_dsr,firm_max_dsr,firm_reentry_lag,firm_reentry_cash_fraction,consumption_memory,precautionary_saving,consumption_floor_prop,consumption_ceiling_prop,unemployed_consumption_penalty,unemployment_transfer
strict,0,hh_deposit_below_min;defaults_hh_above_max;bank_resolved_above_max;bank_bailedout_above_max;haircut_above_max,0.7845414927147755,0.0726549740768694,1.1070794059434264,1.1061929545132556,0.0570516281326648,0.0063325833295735,8.143436944452587,3.285400435825241,3.774088719990225,0.5729424162247603,2.0351669541464985,0.1068613933868841,0.2721145168212997,0.1701936147795335,0.8175134719520717,0.0819621137934004,2.029746254800732,0.5426923165903426,4.327114390917792,7.400212859723647,0.2496222372607566,1.4524883048617077,3.5865715535385383,0.5734032036409247,0.3638017304146611,0.0917247861732494,0.2076789704300724,1.7361991021595724,0.3956051625893946,0.0991431879843865
strict,0,hh_deposit_below_min,0.8061242639315908,0.0717689653642451,0.9760746419621148,1.1954307074862809,0.021044984812322,0.0077420512876262,10.222238723220151,2.8734443070357,2.939902611013878,0.4413811203047391,1.890551792252725,0.1704895608060333,0.2762233761720138,0.3726121757504192,0.7017217677302753,0.1809671946079591,1.1470958854624649,0.4298695544879995,7.982982772212184,10.264467176730312,0.2490421055684581,0.9432701163810084,1.9941599988026413,0.3260603531687303,0.3189914250937449,0.3024281793187588,0.254098994902289,2.2014896911965387,0.3902563488532016,0.1684535699000574
strict,2,hh_deposit_below_min,0.6732975949019664,0.0733338520543855,1.0417195026147985,1.0470455565246122,0.0264889085979935,0.0228271541854384,10.52049341487336,2.884310010879802,2.2182501120124507,0.609978441424253,2.0534766417528294,0.161382447245681,0.2543498582928551,0.2031170709182979,0.7137605166356397,0.1998866255406934,1.605912767785597,0.2335943279380862,10.495162932998372,6.165810064106776,0.5300085268710893,1.7999763100391235,2.082920443358093,0.374348934454612,0.5025829108867437,0.3082554950601365,0.0777920069059187,1.1031226288093057,0.0840394115329249,0.1141249178598221
strict,0,hh_deposit_below_min;bank_resolved_above_max;haircut_above_max,0.747339035112691,0.0426162633376047,1.200043975435278,1.118258229900384,0.0449876271867561,0.0191430084789851,10.844663175642983,3.307129188130653,3.834818427412501,0.7731323432305857,2.323715766627539,0.1192397811580544,0.2206545842075426,0.1361415808573485,0.6629613631744411,0.1299136625825045,1.4004748234142546,0.3207542450816087,11.11805054505729,8.087978252800662,0.3330402735675782,1.3694363678133246,0.8687012586456646,0.6073586330636165,0.4056027162581812,0.1299672879421942,0.128459276389216,1.5403818673236218,0.1985560746668662,0.1923564005587578
strict,0,hh_deposit_below_min;bank_resolved_above_max,0.8763088878543548,0.093680676158168,1.0355200284426576,1.1577041388773133,0.0322406012410064,0.0213072697944023,7.478771673903202,2.948637667358369,4.318015715233543,0.3255892425277994,1.342448393093913,0.1345366321462757,0.2136470455188051,0.3653105726245568,0.680648978088917,0.1642796255273186,1.930635401830748,0.5569720463821379,10.432270261001602,9.715128589492942,0.3191228523367871,1.4095281916872708,2.357209799998186,0.5286601829044046,0.4611459422478694,0.1317480709058439,0.0370841102370656,1.4418089730466237,0.3833215352912436,0.1250325356457367
strict,0,bank_resolved_above_max,0.649296719487192,0.1079854109933041,1.2213975932812264,1.1504962255918472,0.0458583965083785,0.0101329668465952,9.370589879088175,4.486121714140067,3.923133279927184,0.5856747085777712,1.7465329767685396,0.2385354207963346,0.3043820090511886,0.1761631282308167,0.7805051347512755,0.1185101752987669,2.39210821548638,0.5818503646228819,6.207121572160942,4.078049786345019,0.3823639701665123,1.9660273494289648,1.1890371772808033,0.5212870918903999,0.4507156885800484,0.1989289912180759,0.2307384180003052,1.5528345674727468,0.2509321854762073,0.1440444425976785
strict,0,hh_deposit_below_min;bank_resolved_above_max,0.6651942704248317,0.0663223946642994,1.036211948377521,1.2220905467459315,0.0306187353888745,0.0058486961018815,10.742163833550403,4.13651171695237,2.689649871961146,0.7962293764267563,1.2265033049391014,0.0752656070329082,0.197878937904984,0.3328304085704836,0.5529712211509723,0.116826015245378,2.066200218330354,0.4957102905283597,10.90889367611974,5.437091554230787,0.4283423730458622,1.336250981272122,2.436550619559301,0.4764457051170697,0.539721680292747,0.173679818228652,0.1538995910842825,2.26890910900466,0.0989123381980655,0.1280297339684091
strict,0,hh_deposit_below_min;bank_resolved_above_max,0.7431916135458232,0.0403543458834471,1.0081989790936388,1.2763228032559362,0.0480286447476601,0.0110378866082798,10.644144610632363,3.7420924163905216,2.088494297956472,0.544178729919901,1.64880536335715,0.3794930537545214,0.1140966560248473,0.1820126992234615,0.6618897740278588,0.0986768360460942,1.4195382291443472,0.5117336105014079,8.819457571995569,7.245728216795375,0.3229676682859965,1.1879790628485525,3.464230653704061,0.3232686001312662,0.4742470727704708,0.1661647012494758,0.053717823443615,2.133909906328625,0.3677955798054674,0.1036932784061986
strict,0,hh_deposit_below_min;bank_resolved_above_max,0.8619589217563776,0.1141346858006064,0.9859281091556036,1.2094482744003914,0.0468637237165047,0.0081919245409057,10.705961229983856,2.41038276288843,4.257131621821074,0.5260059527972228,1.9126760823747664,0.3854113765117237,0.1462100152510856,0.3050279106162372,0.7507084902643292,0.1623914830228713,1.7086686675574128,0.5519162650645993,10.97202708210802,8.843597832418721,0.3043275824848002,1.5776576444526025,1.4930383785729402,0.577145185411949,0.6164635586509751,0.1446912973255322,0.1833909752396827,1.627636844137101,0.1935791579214651,0.0860505221059269
strict,0,hh_deposit_below_min,0.789701401277149,0.0947459527968802,1.2103360633084024,1.070299688628572,0.0472173406329259,0.0136057825330645,6.32060516794341,2.585084317000496,3.037990538695293,0.5175326621632652,1.219285448462856,0.3041523919830001,0.2741502883652962,0.1850070424445213,0.7318385043876637,0.1100559674746202,1.5397532855285792,0.2967450113205428,6.722328223123764,4.994728347832585,0.5184168268957087,1.0277308856381857,1.5331548822346406,0.542290446105548,0.5798339374391263,0.2654889037908232,0.0483450419370945,1.426252391838936,0.4129596094806739,0.0755523014332352
strict,0,bank_resolved_above_max,0.6722971690377492,0.0770652667003165,1.0325005867724062,1.1036593519538127,0.0424915966542325,0.0207663191314576,11.327846518002191,4.0545943013355945,2.649105443265721,0.5521778312989147,2.2225691135225105,0.1732113500686052,0.1040552893832075,0.3266862563371945,0.6755839773842647,0.1511885362472601,1.2474792252253086,0.2267385774485325,9.116956293106815,6.598058980479286,0.5266299548104922,0.8984806266881123,0.5599739020594028,0.4839944008613822,0.5846373817213053,0.193078583507848,0.2187348420181609,1.1419480071157595,0.2011796997084283,0.0774259429780483
strict,0,bank_resolved_above_max,0.6784719733443788,0.0919982249626468,1.0184618347770065,1.3043859775124151,0.0550628814776147,0.0198629691084334,6.077799471170202,2.725812654724481,4.20870280178772,0.5341516492248285,1.289361966977662,0.2679640861627325,0.280040079675972,0.1646513042647195,0.8148390620826955,0.1522093727403002,2.481970904404297,0.2669805537218006,8.247741998526243,6.796948370069109,0.4952528665382645,0.9291385557034152,0.7605611006219718,0.4524827912046699,0.3745042230347808,0.2877011493863898,0.1792424636504042,1.2358648246305144,0.33713270025369,0.2253750487188441
strict,0,hh_deposit_below_min;bank_resolved_above_max,0.7243836392813932,0.0552671478799023,1.1759278953568484,1.1704490480469731,0.0566197403813594,0.0139460729303535,6.598117499011795,3.4807202883830857,4.142046200635762,0.5124147155138421,1.5821490731993193,0.3888414213147774,0.1532798768936406,0.2615213486368654,0.7957216474270838,0.1652963441501538,1.6892702001755202,0.4653504635768975,9.929714900181844,5.6532071710304095,0.3598959749796816,1.0951092269824294,1.0773102138315571,0.5852722590484408,0.3765711154161933,0.2276202624958576,0.1316092456470726,1.7190096654649256,0.1701643059053916,0.1488461007905884
strict,0,hh_deposit_below_min;bank_resolved_above_max,0.858352680031987,0.0983872610065192,1.13764182489482,1.1382463817915691,0.0428658292291149,0.0195705227110996,9.213285981520576,3.643727659234087,3.716725195287936,0.6041846101385651,1.7976036505084934,0.1628680363498615,0.1911654633454645,0.3228199052251564,0.8371010491585268,0.0754187346409818,1.100227895313731,0.4523324676576837,7.585298847655532,9.300210802617883,0.4462066082477741,1.508997034355084,0.6324085476045473,0.3730158717989824,0.5815704017877339,0.1577093972330025,0.2512676353635945,1.9185732845714991,0.3627204708113122,0.1669366267975848
