metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,5.808,5.808,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,11.616,11.616,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,11.616,11.616,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.06776,0.06776,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.00264,0.00264,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.0088,0.0088,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.044000000000000004,0.044000000000000004,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.0176,0.0176,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.0264,0.0264,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.20416,0.20416,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,2.0416,2.0416,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.0208,1.0208,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,6.8112,6.8112,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.1056,0.1056,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.308,0.308,0.0,fixed_baseline,0,,,
CreditRejections_mean,80.0,10.0,17.6,17.6,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.06160000000000001,0.06160000000000001,0.0,fixed_baseline,0,,,
