,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,Transfers,UnemploymentTransfers,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,AvgMarkup,PriceDispersion,InventoryGap,SalesForecastError,InventoryTurnover,CreditRejections,FirmDowntimeShare,ReentryCount,Bank_Equity,Bank_Loans,Bank_Deposits,BankFailed,BankResolved,BankResolutionAmount,BankResolutionHaircut,BankBailedOut,BankBailoutAmount,Defaults,DefaultsHH,DefaultsFirm,BalanceOK
0,97,0.030000000000000027,98.95771375724013,101.56700701638972,101.56700701638972,170.14083526498584,9.990288918062925,0.5681304685618827,43.2933938991468,0.3969579179241784,32.908203800160685,101.92047062342814,0.0,1.1079283186355418,0.12871873879019513,0.03528305594530109,-1.0,1.1780995505887082,2.0,24.0,0.0,0.0,50.0,33.30516171808486,145.21386452257494,False,False,0.0,0.0,False,0.0,0,0,0,True
1,100,0.0,102.66753557879677,103.46705954109457,104.19844550256313,140.39840340336713,10.299266925838067,0.0,18.29256983702032,2.3932859739075467,35.1369265589392,106.782910120678,0.7313859614685612,1.1194612774449122,0.13801831780315993,0.039342803467536665,-0.9945286138418193,0.3610332435766651,1.9758902680435704,37.0,0.0,0.0,50.0,37.53021253284675,125.07547995769832,False,False,0.0,0.0,False,0.0,0,0,0,True
2,100,0.0,102.76940800760508,102.20111639005336,104.19844550256313,126.30144972421103,10.299266925838067,0.0,8.567164335736594,5.772269147644607,35.36859540431335,109.28518027566146,2.728715073978327,1.130065704098332,0.14852762633086414,0.04226634025390089,-0.9801839630645242,0.12550302334523006,1.926563550715714,55.0,0.0,0.0,50.0,41.14086455195796,117.85234461139805,False,False,0.0,0.0,False,0.0,0,0,0,True
3,100,0.0,102.68903778129487,101.60301134354327,104.19844550256313,120.38357365163691,10.299266925838067,0.0,4.923098038586634,9.667979181440561,36.51686366271726,113.18691470901284,5.324149232998193,1.1403148394024452,0.15869327578919606,0.04500523861480641,-0.9605010022211662,0.05578686637168033,1.8903859791003612,71.0,0.0,0.0,50.0,46.18484284415783,118.11001274759947,False,False,0.0,0.0,False,0.0,0,0,0,True
4,100,0.0,102.62841717920726,100.05730952489802,104.19844550256313,117.70950315832889,10.299266925838067,0.0,3.4241244229747854,13.321698527003878,38.2629669538332,116.96959307251637,9.465285210663316,1.150182402678099,0.16849487429098692,0.04750149469659045,-0.9285904104921092,0.019908006416845703,1.8188055555325071,78.0,0.0,0.0,50.0,51.584665480837074,120.39371749549116,False,False,0.0,0.0,False,0.0,0,0,0,True
5,100,0.0,102.51098492153434,98.6963885197262,104.19844550256313,116.52191426323256,10.299266925838067,0.0,2.6563685874038034,16.823345607506816,41.80355770040847,122.04020976828028,14.967342193500244,1.1595604397911408,0.17783388082372797,0.04966186369838147,-0.8860554199372996,0.019152489330162687,1.7179027564058766,83.0,0.0,0.0,50.0,58.626903307915285,124.69657835568408,False,False,0.0,0.0,False,0.0,0,0,0,True
6,99,0.010000000000000009,101.43801980193916,97.38794595783641,103.32129934050533,115.28687226582242,10.196274256579686,0.1893768228539609,2.2314319532872906,20.58833054060428,46.94060851010749,129.22178525916246,20.90069557616917,1.1683726435022836,0.18664011234482067,0.05144016013260853,-0.8399174750693007,0.02267634973401347,1.6015224899639715,86.0,0.0,0.0,50.0,67.52893905071177,131.45321721244974,False,False,0.0,0.0,False,0.0,0,0,0,True
7,99,0.010000000000000009,101.28025991488734,96.56939248509367,103.45095862362811,114.77696655104516,10.196274256579686,0.1893768228539609,1.9887732000759009,24.359630327934074,52.60919231820363,136.92945672246444,27.782261714703615,1.1766204519726169,0.19491204349317656,0.05288238253154724,-0.7871686091910954,0.019415288847250335,1.4739749333446859,87.0,0.0,0.0,50.0,76.96882264613771,138.91822992254035,False,False,0.0,0.0,False,0.0,0,0,0,True
8,99,0.010000000000000009,101.12999129800068,95.90475725476485,103.58061790675089,114.40527148015214,10.196274256579686,0.1893768228539609,1.8409338141894778,28.17847843303162,58.56297836046065,145.0547484025327,35.45812236668967,1.1842537036516612,0.2025933989803645,0.05403446223178864,-0.7287667181669601,0.016332863935405287,1.3597160312008747,89.0,0.0,0.0,50.0,86.74145679349226,146.89568221672218,False,False,0.0,0.0,False,0.0,0,0,0,True
9,99,0.010000000000000009,100.97351347589364,95.31841822507135,103.71027718987368,114.03470104458762,10.196274256579686,0.1893768228539609,1.7579381553450542,32.02327446917358,64.7350896215688,153.5625625720339,43.849981331492,1.191230646915896,0.20963593366447775,0.05492684804421357,-0.6650026888513556,0.014109315496783717,1.2654178115869226,91.0,0.0,0.0,50.0,96.75836409074239,155.32050072737894,False,False,0.0,0.0,False,0.0,0,0,0,True
