param,initial_low,initial_high,nroy_min,nroy_max,nroy_p05,nroy_p95,shrink_pct
alpha_mean,0.57,0.92,0.6072874136862725,0.8753147694579418,0.6072874136862725,0.8753147694579418,23.420755493808777
alpha_std,0.03,0.13,0.0376430647766071,0.1237292910168944,0.05545654132157565,0.1237292910168944,13.913773759712711
wage,0.9,1.45,0.9623912693714822,1.294083436413664,0.9623912693714822,1.294083436413664,39.692333265057854
productivity,0.95,1.95,0.958058674494312,1.891701673456589,1.0232882846779248,1.891701673456589,6.635700103772302
loan_rate,0.012,0.073,0.019172356017632,0.069134070164466,0.019172356017632,0.069134070164466,18.09555057896065
deposit_rate,0.001,0.028,0.0045781547101518,0.0269284152427985,0.0045781547101518,0.0269284152427985,17.221257286493696
bank_credit_multiplier,4.2,11.5,4.420902228251464,11.333225064168577,4.420902228251464,11.333225064168577,5.310646083327219
hh_debt_cap_multiplier,2.1,4.8,2.297592268369113,4.563961094005916,2.297592268369113,4.563961094005916,16.06041386530359
firm_debt_cap_multiplier,1.6,4.8,2.0907116845755707,4.587443133923604,2.0907116845755707,4.5075587703373845,21.977142207873946
adaptation_rate,0.25,0.95,0.3149369555639713,0.9428653297212228,0.3149369555639713,0.9428653297212228,10.295946548964052
price_elasticity,0.95,2.9,1.406882952946347,2.787967657021144,1.406882952946347,2.787967657021144,29.175143380779645
skill_wage_weight,0.03,0.49,0.110356084309075,0.4810629343416293,0.110356084309075,0.4810629343416293,19.41155434074907
demand_smoothing,0.06,0.35,0.0828327761369986,0.2352753849676207,0.0828327761369986,0.2352753849676207,47.43358316185444
