metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,5.808,,0.9,25.0,33.732864,119.91083333333364,seed_replicates,20,True,
Output_mean,80.0,10.0,11.616,,0.9,100.0,134.931456,212.8020122748302,seed_replicates,20,True,
Consumption_mean,80.0,10.0,11.616,,0.9,100.0,134.931456,319.24198966978537,seed_replicates,20,True,
AvgPrice_mean,1.05,0.05,0.06776,,0.9,0.0025000000000000005,0.0045914176,0.001016157037846804,seed_replicates,20,True,
DefaultsHH_rate,0.004,0.002,0.00264,,0.9,4e-06,6.9696e-06,6.703703703703654e-06,seed_replicates,20,True,
BankFailed_share,0.0,0.01,0.0088,,0.9,0.0001,7.744e-05,0.0,seed_replicates,20,True,
BankResolved_share,0.05,0.03,0.044000000000000004,,0.9,0.0009,0.0019360000000000004,0.002342592592592596,seed_replicates,20,True,
BankResolutionHaircut_mean,0.02,0.01,0.0176,,0.9,0.0001,0.00030976,0.000790066900582308,seed_replicates,20,True,
BankBailedOut_share,0.02,0.02,0.0264,,0.9,0.0004,0.0006969599999999999,0.0006481481481481482,seed_replicates,20,True,
BankBailoutAmount_mean,0.2,0.2,0.20416,,0.9,0.04000000000000001,0.0416813056,0.4058165661300007,seed_replicates,20,True,
Transfers_mean,6.5,2.0,2.0416,,0.9,4.0,4.16813056,2.07670997578717,seed_replicates,20,True,
HH_Deposit_mean,1.5,1.0,1.0208,,0.9,1.0,1.04203264,0.05851404751665252,seed_replicates,20,True,
Bank_Equity_mean,10.0,7.5,6.8112,,0.9,56.25,46.39244544,13.767768776636188,seed_replicates,20,True,
PriceDispersion_mean,0.1,0.06,0.1056,,0.9,0.0036,0.011151359999999999,0.00041176966870790744,seed_replicates,20,False,
InventoryGap_mean,0.0,0.25,0.308,,0.9,0.0625,0.094864,0.4049689502144308,seed_replicates,20,False,
CreditRejections_mean,80.0,10.0,17.6,,0.9,100.0,309.76000000000005,115.0255833333334,seed_replicates,20,False,
FirmDowntimeShare_mean,0.05,0.04,0.06160000000000001,,0.9,0.0016,0.003794560000000001,3.3333333333333808e-06,seed_replicates,20,False,
