inventory,last_demand,cash,debt,price,n_workers,bank_available_credit,wage,realized_markup,step,rep_id,seed,firm_id
6.585154643483097,7.071602806984789,7.357046550920984,0.0,0.9784519003605946,6.0,2.4342192707924966,1.082750281758334,0.10000000000000009,150,0,0,101
5.014956551243411,5.42215432991404,6.162662752007336,0.0,1.064737306238136,5.0,2.4342192707924966,1.082750281758334,0.10000000000000009,150,0,0,102
28.763166949815172,10.627187308363865,9.21925864757135,0.0,0.8685875813721464,8.0,2.4342192707924966,1.082750281758334,0.050000000000000044,150,0,0,103
21.20569841378417,15.48834189831199,11.669705944530142,0.0,0.7539747962166272,10.0,2.4263866037705526,1.082750281758334,0.050000000000000044,150,0,0,104
9.126585351138514,8.592327303295052,7.755792435269101,0.0,0.9569446122558382,7.0,2.4203076244881316,1.082750281758334,0.050000000000000044,150,0,0,105
6.24974276741348,7.237865738011348,7.601786831114573,0.0,0.9625691444312774,6.0,2.4056519897582973,1.082750281758334,0.09999999999999987,150,0,0,106
9.274020767025704,8.542089287528277,7.684764051580039,0.0,0.9590721196615231,7.0,2.4056519897582973,1.082750281758334,0.050000000000000044,150,0,0,107
7.16955173051242,6.825300609641207,6.643489687933326,0.0,1.0360712062003088,6.0,2.3893054466167456,1.082750281758334,0.050000000000000044,150,0,0,108
34.98840563152271,8.466512656763424,7.949487392740091,0.0,0.9405654426033941,7.0,2.376796569804057,1.082750281758334,0.050000000000000044,150,0,0,109
11.329543492474833,8.856736774830885,8.194837616426248,0.0,0.9261381529645972,7.0,2.3671993199722294,1.082750281758334,0.050000000000000044,150,0,0,110
7.02959098623646,6.915716038592645,6.901479367519104,0.0,1.0250448479968135,6.0,2.3847926813444076,1.082750281758334,0.050000000000000044,151,0,0,101
5.3710343774830935,5.296350415362763,5.765479628127595,0.0,1.1154390827256664,5.0,2.378715443760939,1.082750281758334,0.050000000000000044,151,0,0,102
28.6156667392737,10.624740345655468,9.215386550874165,0.0,0.8685875813721464,8.0,2.3740169491949814,1.082750281758334,0.050000000000000044,151,0,0,103
20.808361654834755,15.484787883238038,11.662380881038343,0.0,0.7539747962166272,10.0,2.3662822556048866,1.082750281758334,0.050000000000000044,151,0,0,104
8.629608954631582,8.768956029114287,8.397520599201572,0.0,0.9134471298805728,7.0,2.3601733299507117,1.082750281758334,0.10000000000000009,151,0,0,105
6.471085763824132,7.13118341981404,7.378583276306056,0.0,1.0084057703565763,6.0,2.3601733299507117,1.082750281758334,0.09999999999999987,151,0,0,106
8.816355656299288,8.71631317946449,8.360850337083555,0.0,0.9154779324041811,7.0,2.3601733299507117,1.082750281758334,0.050000000000000044,151,0,0,107
6.782106215758914,6.956855398609084,7.1919926245356685,0.0,0.9889770604639311,6.0,2.3601733299507117,1.082750281758334,0.10000000000000009,151,0,0,108
34.98981418086491,8.464558624963209,7.9472924882564495,0.0,0.9405654426033941,7.0,2.3601733299507117,1.082750281758334,0.050000000000000044,151,0,0,109
11.072845189912321,8.854693664294878,8.192443278946596,0.0,0.9261381529645972,7.0,2.350589248195277,1.082750281758334,0.050000000000000044,151,0,0,110
6.46790039251753,7.092513047775464,7.3648367663329894,0.0,0.9784519003605946,6.0,2.3304661142277894,1.082750281758334,0.10000000000000009,152,0,0,101
4.911084527659835,5.440192280455306,6.16946624877075,0.0,1.064737306238136,5.0,2.3304661142277894,1.082750281758334,0.10000000000000009,152,0,0,102
28.453292128082158,10.62725247815457,9.228404243991019,0.0,0.8685875813721464,8.0,2.3304661142277894,1.082750281758334,0.050000000000000044,152,0,0,103
20.386760976488333,15.489198124941254,11.68064531834937,0.0,0.7539747962166272,10.0,2.323189282969551,1.082750281758334,0.050000000000000044,152,0,0,104
9.291576058402097,8.563211284171505,7.764054745757778,0.0,0.9569446122558382,7.0,2.317633546511942,1.082750281758334,0.050000000000000044,152,0,0,105
6.684210986802953,7.057396924072931,7.16366657164568,0.0,1.0084057703565763,6.0,2.3037990738796594,1.082750281758334,0.09999999999999987,152,0,0,106
8.346497887703473,8.844147633127452,8.412032156986276,0.0,0.9154779324041811,7.0,2.3037990738796594,1.082750281758334,0.10000000000000009,152,0,0,107
7.358968768362787,6.77466535546338,6.594321943847585,0.0,1.0360712062003088,6.0,2.3037990738796594,1.082750281758334,0.050000000000000044,152,0,0,108
34.98026001847029,8.46630264854382,7.957616804149723,0.0,0.9405654426033941,7.0,2.29055808931264,1.082750281758334,0.050000000000000044,152,0,0,109
10.80449282109396,8.856572046679437,8.203202560640978,0.0,0.9261381529645972,7.0,2.2815030027684884,1.082750281758334,0.050000000000000044,152,0,0,110
6.853184467525381,6.947574947145326,6.969903310230973,0.0,1.0250448479968135,6.0,2.345474264213891,1.082750281758334,0.10000000000000009,153,0,0,101
