metric,gpr_r2,gpr_rmse,rf_r2,rf_rmse
Employment_mean,0.8514157632223833,8.367521601181007,0.8571631455769463,8.204093703557046
UnemploymentRate_mean,0.8514157632223784,0.08367521601181141,0.8569207874736372,0.08211050892194337
Output_mean,0.8994489050175868,11.321671536117258,0.8600311179473755,13.357737226048483
Consumption_mean,-0.002329791092451128,53.45934771404557,0.9243874902638263,14.683012307458522
AvgPrice_mean,0.9861310649336601,0.09417913352729262,0.9959958172600042,0.05060460948134484
HH_Debt_mean,0.9399563750159824,24.739101191602437,0.9062547558078399,30.911856415079896
HH_Deposit_mean,-0.008115072151125835,14.676978770064558,0.9379906426317728,3.6400741238237004
Firm_Debt_mean,0.7470307365570813,563098542.7212778,0.6052966331056002,703373400.8816288
Bank_Equity_mean,0.7470307244246057,563098479.3111417,0.5916319605281387,715445141.059333
Defaults_mean,0.6801218572437913,1.6584714308964543,0.9411804352602,0.7111752187348493
DefaultsHH_mean,0.6801218572437913,1.6584714308964543,0.9411804352602001,0.7111752187348491
DefaultsFirm_mean,1.0,0.0,1.0,0.0
BalanceOK_mean,1.0,0.0,1.0,0.0
DefaultsHH_rate,0.9670899716709283,0.4799817481680787,0.9816686157555283,0.3582269252976934
DefaultsFirm_rate,1.0,0.0,1.0,0.0
BalanceOK_share,1.0,0.0,1.0,0.0
