alpha_mean,alpha_std,wage,productivity,loan_rate,deposit_rate,bank_credit_multiplier,hh_debt_cap_multiplier,firm_debt_cap_multiplier,adaptation_rate,price_elasticity,skill_wage_weight,demand_smoothing,Employment_mean_pred,Employment_mean_sigma_emul,Employment_mean_I,Output_mean_pred,Output_mean_sigma_emul,Output_mean_I,Bank_Equity_mean_pred,Bank_Equity_mean_sigma_emul,Bank_Equity_mean_I,DefaultsHH_rate_pred,DefaultsHH_rate_sigma_emul,DefaultsHH_rate_I,metrics_used,I_max,nroy
0.5980980838737742,0.1305938713388701,1.1635203432866186,1.373133719674649,0.0686763706528809,0.0234911277301749,7.368353632827329,4.4468786509773,2.622660722880309,0.9332292993089676,2.110088505721907,0.3028325928710135,0.1370647116074155,33.12701665135472,10.524192407649167,1.7501774636083065,45.690468124706435,15.592781764513061,1.0198842458971007,2.9402537519517384,1.7574756878710451,0.4035372986254752,0.003044021789843243,0.0005132724602325178,0.5993856747464624,4,1.7501774636083065,True
0.5980980838737742,0.1305938713388701,1.1635203432866186,1.373133719674649,0.0686763706528809,0.0234911277301749,7.368353632827329,4.4468786509773,2.622660722880309,0.9332292993089676,2.110088505721907,0.3028325928710135,0.1370647116074155,33.12701665135472,10.524192407649167,1.7501774636083065,45.690468124706435,15.592781764513061,1.0198842458971007,2.9402537519517384,1.7574756878710451,0.4035372986254752,0.003044021789843243,0.0005132724602325178,0.5993856747464624,4,1.7501774636083065,True
0.5980980838737742,0.1305938713388701,1.1635203432866186,1.373133719674649,0.0686763706528809,0.0234911277301749,7.368353632827329,4.4468786509773,2.622660722880309,0.9332292993089676,2.110088505721907,0.3028325928710135,0.1370647116074155,33.12701665135472,10.524192407649167,1.7501774636083065,45.690468124706435,15.592781764513061,1.0198842458971007,2.9402537519517384,1.7574756878710451,0.4035372986254752,0.003044021789843243,0.0005132724602325178,0.5993856747464624,4,1.7501774636083065,True
0.9380937683380922,0.108085245370649,0.8493538025504083,1.7924869708022482,0.0625841719617831,0.0227564116330315,10.882370229090473,3.798313360738786,4.477787401083628,0.2909228360461303,2.292887389814057,0.4470995611758704,0.1098501137906131,38.667436589079486,10.534695816203515,1.3886909850875133,70.36329042756624,15.611000687766591,0.015233898732624528,2.0634786693722518,1.375164521747907,0.2864531745766156,0.006163080990672103,0.0005185337026225808,0.48912677311812053,4,1.3886909850875133,True
0.9380937683380922,0.108085245370649,0.8493538025504083,1.7924869708022482,0.0625841719617831,0.0227564116330315,10.882370229090473,3.798313360738786,4.477787401083628,0.2909228360461303,2.292887389814057,0.4470995611758704,0.1098501137906131,38.667436589079486,10.534695816203515,1.3886909850875133,70.36329042756624,15.611000687766591,0.015233898732624528,2.0634786693722518,1.375164521747907,0.2864531745766156,0.006163080990672103,0.0005185337026225808,0.48912677311812053,4,1.3886909850875133,True
0.9380937683380922,0.108085245370649,0.8493538025504083,1.7924869708022482,0.0625841719617831,0.0227564116330315,10.882370229090473,3.798313360738786,4.477787401083628,0.2909228360461303,2.292887389814057,0.4470995611758704,0.1098501137906131,38.667436589079486,10.534695816203515,1.3886909850875133,70.36329042756624,15.611000687766591,0.015233898732624528,2.0634786693722518,1.375164521747907,0.2864531745766156,0.006163080990672103,0.0005185337026225808,0.48912677311812053,4,1.3886909850875133,True
0.7218251390591298,0.1489649711615374,1.4144598834896,0.804689657878775,0.0136663324374037,0.0257300962178992,11.796757672371225,4.829368826556403,4.3067279239198015,0.8401936044893914,2.0844440985452146,0.0532464400125805,0.1042439290010035,63.29922954450294,10.583057558537778,0.21430748771758357,55.80271315552979,15.686619541311,0.5941015310365938,4.675645358388501,2.5827498096246546,0.6211016325750005,0.0013663026713425174,0.0005256335774841236,0.6586869536452432,4,0.6586869536452432,True
0.7218251390591298,0.1489649711615374,1.4144598834896,0.804689657878775,0.0136663324374037,0.0257300962178992,11.796757672371225,4.829368826556403,4.3067279239198015,0.8401936044893914,2.0844440985452146,0.0532464400125805,0.1042439290010035,63.29922954450294,10.583057558537778,0.21430748771758357,55.80271315552979,15.686619541311,0.5941015310365938,4.675645358388501,2.5827498096246546,0.6211016325750005,0.0013663026713425174,0.0005256335774841236,0.6586869536452432,4,0.6586869536452432,True
0.7218251390591298,0.1489649711615374,1.4144598834896,0.804689657878775,0.0136663324374037,0.0257300962178992,11.796757672371225,4.829368826556403,4.3067279239198015,0.8401936044893914,2.0844440985452146,0.0532464400125805,0.1042439290010035,63.29922954450294,10.583057558537778,0.21430748771758357,55.80271315552979,15.686619541311,0.5941015310365938,4.675645358388501,2.5827498096246546,0.6211016325750005,0.0013663026713425174,0.0005256335774841236,0.6586869536452432,4,0.6586869536452432,True
0.7055120933057966,0.1193268022010981,1.3226975795556282,2.044888180219161,0.0612901548923855,0.019613499096952,5.708842124576363,3.51722591383053,4.145230430842174,0.6000808048572401,2.5167232473284797,0.3288918546615142,0.2335972910864366,6.5209317810360545,10.499438942778855,3.4868229137369595,14.186243974329571,15.552699774085042,2.344192130587503,1.9555275191486068,1.3063937942570423,0.2719510057714077,0.0035057846771841946,0.000506456547280735,0.5830651107647022,4,3.4868229137369595,False
0.7055120933057966,0.1193268022010981,1.3226975795556282,2.044888180219161,0.0612901548923855,0.019613499096952,5.708842124576363,3.51722591383053,4.145230430842174,0.6000808048572401,2.5167232473284797,0.3288918546615142,0.2335972910864366,6.5209317810360545,10.499438942778855,3.4868229137369595,14.186243974329571,15.552699774085042,2.344192130587503,1.9555275191486068,1.3063937942570423,0.2719510057714077,0.0035057846771841946,0.000506456547280735,0.5830651107647022,4,3.4868229137369595,False
