metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,8.784600000000001,,0.9,25.0,77.16919716000002,21.069750000000067,seed_replicates,250,True,
Output_mean,80.0,10.0,17.569200000000002,,0.9,100.0,308.6767886400001,33.88365123169411,seed_replicates,250,True,
Consumption_mean,80.0,10.0,17.569200000000002,,0.9,100.0,308.6767886400001,32.2298445008107,seed_replicates,250,True,
AvgPrice_mean,1.05,0.05,0.10248700000000002,,0.9,0.0025000000000000005,0.010503585169000004,0.0004768559944669025,seed_replicates,250,True,
DefaultsHH_rate,0.004,0.002,0.003993000000000001,,0.9,4e-06,1.5944049000000006e-05,1.0256802721088245e-06,seed_replicates,250,True,
BankFailed_share,0.0,0.01,0.013310000000000002,,0.9,0.0001,0.00017715610000000007,0.0,seed_replicates,250,True,
BankResolved_share,0.05,0.03,0.06655000000000001,,0.9,0.0009,0.004428902500000002,0.001428571428571429,seed_replicates,250,True,
BankResolutionHaircut_mean,0.02,0.01,0.026620000000000005,,0.9,0.0001,0.0007086244000000003,4.159914135851588e-05,seed_replicates,250,True,
BankBailedOut_share,0.02,0.02,0.03993000000000001,,0.9,0.0004,0.0015944049000000005,0.0,seed_replicates,250,True,
BankBailoutAmount_mean,0.2,0.2,0.3087920000000001,,0.9,0.04000000000000001,0.09535249926400008,0.0,seed_replicates,250,True,
Transfers_mean,6.5,2.0,3.0879200000000004,,0.9,4.0,9.535249926400002,0.28334171437903233,seed_replicates,250,True,
HH_Deposit_mean,1.5,1.0,1.5439600000000002,,0.9,1.0,2.3838124816000006,1.2575461445202971,seed_replicates,250,True,
Bank_Equity_mean,10.0,7.5,10.301940000000004,,0.9,56.25,106.12996776360008,14.897832448071064,seed_replicates,250,True,
PriceDispersion_mean,0.1,0.06,0.15972000000000003,,0.9,0.0036,0.02551047840000001,0.0005496036155831887,seed_replicates,250,False,
InventoryGap_mean,0.0,0.25,0.4658500000000001,,0.9,0.0625,0.21701622250000008,0.01906631488669692,seed_replicates,250,False,
CreditRejections_mean,30.0,5.0,26.620000000000005,,0.9,25.0,708.6244000000003,20.851333333333294,seed_replicates,250,False,
FirmDowntimeShare_mean,0.05,0.04,0.09317000000000003,,0.9,0.0016,0.008680648900000006,0.0,seed_replicates,250,False,
