,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,Transfers,UnemploymentTransfers,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,AvgMarkup,PriceDispersion,InventoryGap,SalesForecastError,InventoryTurnover,CreditRequests,CreditRejections,CreditRejectionRate,FirmDowntimeShare,ReentryCount,Bank_Equity,Bank_Loans,Bank_Deposits,BankFailed,BankResolved,BankResolutionAmount,BankResolutionHaircut,BankBailedOut,BankBailoutAmount,Defaults,DefaultsHH,DefaultsFirm,BalanceOK
0,92,0.07999999999999996,88.4344000752378,110.90561135692012,110.90561135692012,180.26684842508675,8.84344000752378,1.34953517190914,25.01012648050761,4.772368064818458,27.38394803448189,106.7493472010317,0.0,1.0690215340177496,0.3484326333277897,0.01065062415102883,-1.0,1.2730433838589217,2.0,48.0,0.0,0.0,0.0,0.0,50.0,32.15631609930035,131.7594736815393,False,False,0.0,0.0,False,0.0,0,0,0,True
1,100,0.0,96.12434790786718,116.31397069649626,120.95196875884238,137.53923360073097,9.612434790786716,0.0,7.933714572649903,19.480595320019162,20.591116492755738,118.46320626171126,4.637998062346124,1.0702489390847993,0.3499345143623781,0.011086941691851563,-0.9625852718119775,0.5920730045139732,1.88732292539299,73.0,0.0,0.0,0.0,0.0,50.0,40.0717118127749,126.39692083436117,False,False,0.0,0.0,False,0.0,0,0,0,True
2,100,0.0,96.12434790786718,112.79135698723408,120.95196875884238,125.253120145412,9.612434790786716,0.0,4.150209627511459,35.906705229641375,14.713553834599864,127.6131143173678,12.798609833954423,1.071372013372859,0.3513035460063797,0.011532020680650854,-0.9055574923744043,0.2546236180617175,1.7527751510076452,81.0,0.0,0.0,0.0,0.0,50.0,50.62025906424124,131.76332394487926,False,False,0.0,0.0,False,0.0,0,0,0,True
3,100,0.0,96.12434790786718,111.69117793242899,120.95196875884238,122.93503803719987,9.612434790786716,0.0,3.0628437965238167,53.36911164447614,10.976994845479304,137.8659042412429,22.05940066036782,1.0723649601605647,0.35250670540994944,0.011993964930863805,-0.8439553302962622,0.1304644106270994,1.6557713907289369,87.0,0.0,0.0,0.0,0.0,50.0,64.34610648995545,140.92874803776672,False,False,0.0,0.0,False,0.0,0,0,0,True
4,100,0.0,96.12434790786718,110.8929147399069,120.95196875884238,121.40143477782013,9.612434790786716,0.0,2.6182490821165945,70.61522061796065,8.120837563914467,148.24361536880085,32.11845467930331,1.0732286735933414,0.35354494640211936,0.012483325021820193,-0.7772875669579947,0.06815999979929833,1.574517957379102,91.0,0.0,0.0,0.0,0.0,50.0,78.73605818187511,150.86186445091744,False,False,0.0,0.0,False,0.0,0,0,0,True
5,98,0.020000000000000018,94.20186094970984,109.80374294016111,118.43514644849645,119.46507855952895,9.420186094970983,0.337383792977285,2.4473428282143184,88.63741526507648,6.802352626989646,161.1826029624847,40.74985818763864,1.073957832293263,0.3544117477244464,0.013010508941751233,-0.7189325909976929,0.03038919323439257,1.5000500217982207,94.0,0.0,0.0,0.0,0.0,50.0,95.43976789206613,163.62994579069903,False,False,0.0,0.0,False,0.0,0,0,0,True
6,97,0.030000000000000027,93.24061747063116,108.67432212893212,117.31006335865972,117.41996224636496,9.324061747063116,0.5060756894659275,2.370851633737467,106.2863421740027,5.854522924691775,174.39877716860187,49.38559941736626,1.07457138993739,0.35513297394382154,0.013568708360064068,-0.6584304576923328,0.015576660121923856,1.423308304289732,93.0,0.0,0.0,0.0,0.0,50.0,112.14086509869448,176.76962880233933,False,False,0.0,0.0,False,0.0,0,0,0,True
7,96,0.040000000000000036,92.27937399155249,106.99808578371157,115.77847678107096,115.08706496600499,9.227937399155248,0.67476758595457,2.32452738988005,123.19512614453328,5.112909249436224,187.12399210512265,58.165990414725655,1.0750675205169458,0.3557051814537311,0.014179324173842432,-0.5923650445956995,0.01773827098167833,1.2687880965824527,92.0,0.0,0.0,0.0,0.0,50.0,128.3080353939695,189.4485194950027,False,False,0.0,0.0,False,0.0,0,0,0,True
8,99,0.010000000000000009,95.16310442878851,106.75856301379727,119.55283000905098,114.75181447613619,9.516310442878849,0.1686918964886425,2.3112910570024363,137.78112214353405,4.539516888854022,196.6206045406286,70.96025740997936,1.0754323329926094,0.35611658643847943,0.014778433293616165,-0.4977219214436187,0.012570206076962876,1.1200702630801538,92.0,0.0,0.0,0.0,0.0,50.0,142.32063903238807,198.93189559763104,False,False,0.0,0.0,False,0.0,0,0,0,True
9,97,0.030000000000000027,93.24061747063116,102.4925002938996,117.32528809505605,110.18035749703171,9.324061747063116,0.5060756894659275,2.2954560510126187,150.12701808701593,4.005109098644373,203.69986200100405,85.79304521113585,1.0756145130903878,0.35630069594462566,0.015365831532438456,-0.38017355604759007,0.045313557887278685,0.9486777072954078,93.0,0.0,0.0,0.0,0.0,50.0,154.1321271856603,205.99531805201667,False,False,0.0,0.0,False,0.0,0,0,0,True
