component,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.0066755674232309,0.0053404539385847,4,4
EV,0.0093457943925233,0.0066755674232309,3,3
MD,0.1602136181575434,0.0937917222963951,1,1
OU,0.0373831775700934,0.0263684913217623,2,2
