,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,Transfers,UnemploymentTransfers,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,AvgMarkup,PriceDispersion,InventoryGap,SalesForecastError,InventoryTurnover,CreditRejections,FirmDowntimeShare,ReentryCount,Bank_Equity,Bank_Loans,Bank_Deposits,BankFailed,BankResolved,BankResolutionAmount,BankResolutionHaircut,BankBailedOut,BankBailoutAmount,Defaults,DefaultsHH,DefaultsFirm,BalanceOK
0,63,0.37,59.54135245513184,97.46557019069941,97.46557019069941,150.7725046730369,5.968446698190417,7.186469322945938,33.05126000855778,3.890161245347377,7.794688761005885,107.87005030823312,0.0,1.0460135211175596,0.5954757490876481,0.005940594533374724,-1.0,1.015647280297247,2.0,35.0,0.0,0.0,49.95473183653193,11.684850006353262,140.9213103167909,False,False,0.0,0.0,False,0.0,3,3,0,True
1,76,0.24,72.0003093749955,107.66210129302964,117.52314933330155,112.47583048815581,7.200030937499552,4.6614936148838515,15.491749087833531,15.003637506971033,3.650007642780726,136.09500285758665,9.861048040271907,1.0370337596641055,0.5955386437521109,0.013034741686492908,-0.8611010449422501,0.8454276046202602,1.7123677341953318,49.0,0.0,0.0,49.95473183653193,18.65364514975176,151.5867519454202,False,False,0.0,0.0,False,0.0,0,0,0,True
2,84,0.16000000000000003,79.57928930920555,104.97243073263523,130.682060670779,107.90661034528735,7.957928930920556,3.107662409922568,10.195677740331618,27.388433780975756,0.32791996303071813,153.13161341946793,35.57067797841568,1.0290342491897801,0.5955164564716,0.0191229572155454,-0.5478899745568728,0.5344370039424723,1.1971162561884634,61.0,0.0,0.0,49.95473183653193,27.716353744006476,163.32729115979953,False,False,0.0,0.0,False,0.0,0,0,0,True
3,77,0.22999999999999998,72.94768186677176,98.31113441601707,119.7743236291613,100.25479591740496,7.294768186677176,4.467264714263691,7.935738578129072,41.457626982346696,0.0,172.8154528418235,57.03386719155993,1.0215677651357544,0.5954516612550188,0.024417597992363538,-0.31534073705564536,0.29464189780437444,0.9288887007178686,68.0,0.0,0.0,49.95473183653193,41.457626982346696,180.75119141995256,False,False,0.0,0.0,False,0.0,0,0,0,True
4,68,0.31999999999999995,64.42132944078544,91.44846886904637,105.86249852614547,92.55702614449356,6.442132944078544,6.215324819845136,7.2048801818598704,57.39270657539702,0.0,194.50901660145303,71.44789684865901,1.0146944749957423,0.5953182945842075,0.028977910107482425,-0.16424619766708262,0.13482687914175892,0.7829594010175086,71.0,0.0,0.0,49.95473183653193,57.39270657539702,201.7138967833129,False,False,0.0,0.0,False,0.0,0,0,0,True
5,63,0.37,59.684466981904166,88.51380922084236,98.40740742334916,88.9652611863688,5.968446698190417,7.186469322945938,5.843552797670049,73.80147263748024,0.0,217.8213641077273,81.34149505116581,1.008460748096584,0.5951345838943392,0.03287739620399067,-0.06204979548706152,0.06854191016005313,0.7047116439551876,71.0,0.0,0.0,49.95473183653193,73.80147263748024,223.66491690539735,False,False,0.0,0.0,False,0.0,0,0,0,True
6,61,0.39,57.78972199835165,86.79670198483338,95.36669487287767,86.68545039222657,5.778972199835165,7.574927124186259,4.451474326301394,90.0655251216747,0.0,240.93812030176701,89.9114879392101,1.0028609249051101,0.5949306974278585,0.036262248213075006,0.0289158282200297,0.04504550084421691,0.6503168506722677,73.0,0.0,0.0,49.95473183653193,90.0655251216747,245.3895946280684,False,False,0.0,0.0,False,0.0,0,0,0,True
7,53,0.47,50.2107420641416,80.01643941196724,82.6255240335948,79.45069389723818,5.02107420641416,9.128758329147542,3.961978001621973,107.24639077529046,0.0,265.1569979284494,92.52057256083765,0.9978282964936185,0.5946964274256412,0.03919234418920525,0.07389836558974351,0.06998859391989405,0.60335843048608,78.0,0.0,0.0,49.95473183653193,107.24639077529046,269.1189759300714,False,False,0.0,0.0,False,0.0,0,0,0,True
8,52,0.48,49.26336957236534,78.05540572654058,81.33071849134541,77.0999323360087,4.9263369572365345,9.322987229767703,3.736920345668833,123.68102049880142,0.0,288.0672237348562,95.7958853256425,0.9933535469196568,0.5944038239816166,0.04164596813575943,0.12816767149979252,0.0794086230598279,0.5785553168624078,79.0,0.0,0.0,49.95473183653193,123.68102049880142,291.804144080525,False,False,0.0,0.0,False,0.0,0,0,0,True
9,51,0.49,48.315997080589085,75.33860319192527,79.69461955492119,74.06648406301642,4.831599708058909,9.517216130387864,3.6879870404939856,138.5770347184405,0.0,308.9861110092246,100.1519016886384,0.989348513873243,0.5940895714129514,0.04373457114509015,0.2033859587140045,0.09395381011845635,0.5467115611633819,79.0,0.0,0.0,49.95473183653193,138.5770347184405,312.67409804971857,False,False,0.0,0.0,False,0.0,0,0,0,True
