component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,150,6,0.04,0.24,0.12,1,3
CU,0.2,150,12,0.08,0.24,0.12,1,3
CU,0.3,150,18,0.12,0.24,0.12,1,3
CU,0.4,150,36,0.24,0.24,0.12,1,3
EV,0.1,150,6,0.04,0.22,0.125,2,2
EV,0.2,150,18,0.12,0.22,0.125,2,2
EV,0.3,150,18,0.12,0.22,0.125,2,2
EV,0.4,150,33,0.22,0.22,0.125,2,2
MD,0.1,150,18,0.12,0.2,0.15500000000000003,3,1
MD,0.2,150,21,0.14,0.2,0.15500000000000003,3,1
MD,0.3,150,24,0.16,0.2,0.15500000000000003,3,1
MD,0.4,150,30,0.2,0.2,0.15500000000000003,3,1
OU,0.1,150,12,0.08,0.14,0.115,4,4
OU,0.2,150,18,0.12,0.14,0.115,4,4
OU,0.3,150,18,0.12,0.14,0.115,4,4
OU,0.4,150,21,0.14,0.14,0.115,4,4
