metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,6.534,,0.9,25.0,42.693155999999995,24.92359259259257,seed_replicates,120,True,
Output_mean,80.0,10.0,13.068,,0.9,100.0,170.77262399999998,51.664944041793255,seed_replicates,120,True,
Consumption_mean,80.0,10.0,13.068,,0.9,100.0,170.77262399999998,42.18405099917205,seed_replicates,120,True,
AvgPrice_mean,1.05,0.05,0.07623,,0.9,0.0025000000000000005,0.005811012900000001,0.0004962064522384103,seed_replicates,120,True,
DefaultsHH_rate,0.004,0.002,0.0029700000000000004,,0.9,4e-06,8.820900000000002e-06,3.1453703703702303e-06,seed_replicates,120,True,
BankFailed_share,0.0,0.01,0.0099,,0.9,0.0001,9.801000000000002e-05,0.0,seed_replicates,120,True,
BankResolved_share,0.05,0.03,0.04950000000000001,,0.9,0.0009,0.002450250000000001,0.0012245370370370398,seed_replicates,120,True,
BankResolutionHaircut_mean,0.02,0.01,0.0198,,0.9,0.0001,0.0003920400000000001,0.00022848087150382154,seed_replicates,120,True,
BankBailedOut_share,0.02,0.02,0.0297,,0.9,0.0004,0.0008820900000000001,0.00016203703703703687,seed_replicates,120,True,
BankBailoutAmount_mean,0.2,0.2,0.22968000000000005,,0.9,0.04000000000000001,0.052752902400000024,0.10013493783887226,seed_replicates,120,True,
Transfers_mean,6.5,2.0,2.2968,,0.9,4.0,5.275290240000001,0.3438068234835682,seed_replicates,120,True,
HH_Deposit_mean,1.5,1.0,1.1484,,0.9,1.0,1.3188225600000003,0.09265418579516824,seed_replicates,120,True,
Bank_Equity_mean,10.0,7.5,7.662600000000001,,0.9,56.25,58.71543876000002,16.281225911089663,seed_replicates,120,True,
PriceDispersion_mean,0.1,0.06,0.1188,,0.9,0.0036,0.014113440000000001,0.00047240807404422703,seed_replicates,120,False,
InventoryGap_mean,0.0,0.25,0.34650000000000003,,0.9,0.0625,0.12006225000000002,0.028458969695209686,seed_replicates,120,False,
CreditRejections_mean,80.0,10.0,19.8,,0.9,100.0,392.04,349.55200000000013,seed_replicates,120,False,
FirmDowntimeShare_mean,0.05,0.04,0.06930000000000001,,0.9,0.0016,0.004802490000000002,0.0,seed_replicates,120,False,
