metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,6.534,6.534,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,13.068,13.068,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,13.068,13.068,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.07623,0.07623,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0029700000000000004,0.0029700000000000004,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.0099,0.0099,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.04950000000000001,0.04950000000000001,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.0198,0.0198,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.0297,0.0297,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.22968000000000005,0.22968000000000005,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,2.2968,2.2968,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.1484,1.1484,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,7.662600000000001,7.662600000000001,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.1188,0.1188,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.34650000000000003,0.34650000000000003,0.0,fixed_baseline,0,,,
CreditRejections_mean,80.0,10.0,19.8,19.8,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.06930000000000001,0.06930000000000001,0.0,fixed_baseline,0,,,
