wave,trained,gate_metrics,skipped,gpr_cv_mean,gpr_cv_median,gpr_cv_share_ge
wave1,29.0,23.0,8.0,0.6658593937687656,0.695459547098477,1.0
wave2,29.0,15.0,8.0,0.6602603729031067,0.71148047146421,1.0
