wave,rows,nroy_pct,Imax_median,Imax_p95,Imax_max,metrics_used_mean
wave1,343.0,14.868804664723031,3.558902288993252,5.379670431219228,10.946854884012886,13.0
wave2,750.0,40.400000000000006,2.7847830970853,2.9530689022709917,3.411750427182468,14.0
