wave,trained,skipped,gpr_cv_mean,gpr_cv_median,gpr_cv_share_ge
wave1,28.0,7.0,0.5207277527625663,0.5400712684811609,0.7857142857142857
wave2,27.0,8.0,0.4573525391655189,0.4929193663745018,0.6296296296296297
