,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,Bank_Equity,Bank_Loans,Bank_Deposits,Defaults,BalanceOK
0,64,0.19999999999999996,64.0,64.8182639876746,64.8182639876746,181.2543548379285,1.170187016417866,37.555505072765975,7.546666187505891,72.1708194268877,0.0,1.1361926053705924,5.0,45.10217126027187,73.34100644330557,0,True
1,72,0.09999999999999998,72.0,66.47794275968033,72.92054698613393,75.47412818852429,0.06138451693428829,40.48416333789824,6.63762558744167,74.54168541938706,6.44260422645359,1.1361926053705924,5.6765325689040775,47.12178892533991,74.60306993632135,0,True
2,72,0.09999999999999998,72.0,69.56784671325288,72.92054698613393,79.57407787624014,0.007688771080759031,48.61180791835338,5.263691988424225,79.99460365973042,9.795304499334632,1.1361926053705924,6.383359402784176,53.875499906777605,80.00229243081118,0,True
3,72,0.09999999999999998,72.0,72.1322082975081,72.92054698613393,82.97669285538916,0.0009930193791740467,60.3109821408162,3.2652630847151047,87.77598677810462,10.583643187960455,1.1361926053705924,7.19149190138584,63.5762452255313,87.7769797974838,0,True
4,72,0.09999999999999998,72.0,72.66446423125116,72.92054698613393,83.68293569727805,0.0001309340429701234,72.89772048487028,1.8075404866611122,96.7366880653748,10.839725942843211,1.1361926053705924,8.145135579768809,74.70526097153139,96.73681899941778,0,True
5,72,0.09999999999999998,72.0,72.95748192095559,72.92054698613393,84.08618662552027,1.755333205348244e-05,86.07725953695264,0.8417350502246681,106.54645111014996,10.802791008021545,1.1361926053705924,9.26571449434178,86.91899458717731,106.54646866348202,0,True
6,72,0.09999999999999998,72.0,72.96803039896928,72.92054698613393,84.91838423460159,2.3862627917978717e-06,100.28678749753928,0.08966807995332848,116.6080515617758,10.755307595186176,1.1361926053705924,10.569499413149442,100.3764555774926,116.60805394803859,0,True
7,72,0.09999999999999998,72.0,74.21230602099601,72.92054698613393,86.72561768100033,3.282756013784466e-07,116.51670493301543,0.0,128.32280454119334,9.463548560324087,1.1297911053443537,12.075146246811832,116.51670493301543,128.32280486946894,0,True
8,72,0.09999999999999998,72.0,73.9432411683724,72.92054698613393,88.50986283715966,4.562453874223959e-08,134.77431806151918,0.0,140.2918715767308,8.440854378085614,1.1361926053705924,13.822896820807063,134.77431806151918,140.29187162235536,0,True
9,73,0.08750000000000002,73.0,75.3782645382349,73.98691274323566,91.60674638186981,6.391143946070728e-09,155.4026791750784,0.0,152.8552649056532,7.049502583086378,1.1361926053705924,15.844511591729852,155.4026791750784,152.85526491204433,0,True
