,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,Bank_Equity,Bank_Loans,Bank_Deposits,Defaults,BalanceOK
0,64,0.19999999999999996,62.83426442286476,64.8182639876746,64.8182639876746,142.84236457713843,2.835362572257752,0.0,6.451937415952177,72.79206776486305,0.0,1.1361926053705924,3.6410680997903775,6.451937415952177,75.6274303371208,0,True
1,71,0.11250000000000004,71.0,64.39548777003583,71.85418122903218,74.12589381158242,0.2686506397181747,0.5308282533202462,5.783194929331841,74.5453367899994,7.4586934589963425,1.1361926053705924,3.2719100413763003,6.314023182652087,74.81398742971757,0,True
2,72,0.09999999999999998,71.16015936150185,63.5968051278744,72.92054698613393,72.12159072526296,0.04974642085240127,0.462677948519461,5.387974086119592,75.51000898268833,16.782435317255874,1.1361926053705924,2.9026115580382497,5.850652034639053,75.55975540354073,0,True
3,72,0.09999999999999998,69.8987595442624,63.436384627612135,72.92054698613393,71.93966678048943,0.010577104571499539,0.3904386254306287,4.75227453713095,77.34703831458643,26.26659767577766,1.1361926053705924,2.4980531260811856,5.142713162561579,77.35761541915792,0,True
4,65,0.1875,65.0,58.19357760495531,65.88462974477633,65.31598584658697,0.0023210829363089734,0.7214889968625386,3.334430147482544,76.733513682443,33.95764981559869,1.1234613637727522,2.033039761643301,4.055919144345083,76.73583476537931,0,True
5,64,0.19999999999999996,63.17643922610419,57.5645825050083,64.8182639876746,63.90182273108378,0.0005215626818985673,0.6647783366742909,2.9973017042446637,77.68903807216017,41.21133129826499,1.1110276141112037,1.5090365626502127,3.6620800409189544,77.68955963484207,0,True
6,64,0.19999999999999996,62.68292591640923,58.52792776671145,64.8182639876746,63.900407470768094,0.00011930754062645525,0.6046650368747484,2.4269920365116704,78.93326223725296,47.501667519228135,1.0926539552882593,0.9518657687569292,3.0316570733864188,78.93338154479359,0,True
7,64,0.19999999999999996,62.57252226613617,58.527639584165996,64.8182639876746,63.90009283495604,2.76656599952115e-05,0.5409449390872332,1.8224674823273381,80.30002135207033,53.79229192273674,1.0926539552882593,0.34443137771217835,2.363412421414571,80.30004901773033,0,True
8,64,0.19999999999999996,62.572450513270134,59.26960950676827,64.8182639876746,63.949114778286855,6.483631530026412e-06,0.5224949550342531,1.1258127078742113,81.673683007215,59.34094640364307,1.0803914268499806,-0.3167643671802507,1.6483076629084645,81.67368949084653,0,True
9,64,0.19999999999999996,62.7584579325352,59.98521302394399,64.8182639876746,64.00000496643489,1.5171966315342874e-06,0.5224949550342531,0.3376077462910543,82.12702507953152,64.17399736737367,1.0678107057916844,-0.3167643671802507,0.8601027013253074,82.12702659672816,0,True
10,64,0.19999999999999996,63.093844654248414,60.69218850961957,64.8182639876746,64.0000011597155,3.574811356387064e-07,0.5224949550342531,0.0,82.69557383870755,68.30007284542872,1.0554848051625543,-0.3167643671802507,0.5224949550342531,82.69557419618869,0,True
11,64,0.19999999999999996,63.29870980336384,61.3937161729683,64.8182639876746,64.00000027276836,8.471276880666204e-08,0.5224949550342531,0.0,83.39686430811207,71.724620660135,1.0432542767938857,-0.3167643671802507,0.5224949550342531,83.39686439282484,0,True
12,64,0.19999999999999996,63.21019716650943,61.39371597322043,64.8182639876746,64.0000000645408,2.017196292967113e-08,0.5224949550342531,0.0,84.18666720614344,75.14916867458918,1.0432542767938857,-0.3167643671802507,0.5224949550342531,84.18666722631541,0,True
13,64,0.19999999999999996,63.210197117022204,61.39371592603143,64.8182639876746,64.00000001534853,4.8234254661275e-09,0.5224949550342531,0.0,84.97647010446975,78.57371673623234,1.0432542767938857,-0.3167643671802507,0.5224949550342531,84.97647010929317,0,True
14,64,0.19999999999999996,63.210197105331204,61.39371591482454,64.8182639876746,64.00000000366589,1.1575411111222147e-09,0.5224949550342531,0.0,85.76627300280444,81.9982648090824,1.0432542767938857,-0.3167643671802507,0.5224949550342531,85.76627300396198,0,True
15,64,0.19999999999999996,63.21019710255472,61.393715912150995,64.8182639876746,64.00000000087886,2.786762165049915e-10,0.5224949550342531,0.0,86.55607590112857,85.42281288460599,1.0432542767938857,-0.3167643671802507,0.5224949550342531,86.55607590140724,0,True
16,64,0.19999999999999996,63.21019710189235,61.809967760292835,64.8182639876746,64.0000000002114,6.728024023581613e-11,0.5224949550342531,0.0,87.34587879944762,88.43110911198778,1.0373932483818455,-0.3167643671802507,0.5224949550342531,87.34587879951489,0,True
17,63,0.21250000000000002,62.59937839136832,60.43443910024266,63.841930319880746,63.000000000050996,1.6284153153063017e-11,0.5224949550342531,0.0,87.74650040813029,91.83860033162586,1.0432542767938857,-0.3167643671802507,0.5224949550342531,87.74650040814657,0,True
18,63,0.21250000000000002,62.56691392574892,60.84418701384921,63.841930319880746,63.000000000012335,3.950185485302866e-12,0.5224949550342531,0.0,88.1795864823937,94.83634363765741,1.0373932483818455,-0.3167643671802507,0.5224949550342531,88.17958648239765,0,True
19,62,0.22499999999999998,61.67392523704541,59.878406267588794,62.85452823887941,62.00000000000299,9.601607536409987e-13,0.5224949550342531,0.0,88.50566124535126,97.81246560894803,1.0373932483818455,-0.3167643671802507,0.5224949550342531,88.50566124535223,0,True
20,62,0.22499999999999998,61.552116899948345,59.47516228908025,62.85452823887941,62.000000000000725,2.338062167335024e-13,0.5224949550342531,0.0,88.95354434540367,101.19183155874717,1.0432542767938857,-0.3167643671802507,0.5224949550342531,88.9535443454039,0,True
