wave,trained,gate_metrics,skipped,gpr_cv_mean,gpr_cv_median,gpr_cv_share_ge
wave1,29.0,21.0,8.0,0.6586713333748244,0.6344313603083218,1.0
wave2,30.0,18.0,7.0,0.600876656165739,0.632496688931167,1.0
