,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,Transfers,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,Bank_Equity,Bank_Loans,Bank_Deposits,BankFailed,BankResolved,BankResolutionAmount,BankResolutionHaircut,BankBailedOut,BankBailoutAmount,Defaults,DefaultsHH,DefaultsFirm,BalanceOK
0,50,0.5,51.25946100887708,82.21873926394743,82.21873926394743,129.92535793544369,5.1329994927052915,35.56676529782446,1.9377747108200711,7.11505592636237,73.35216025391831,0.0,0.7210394123036589,50.0,9.05283063718244,108.91892555174277,False,False,0.0,0.0,False,0.0,0,0,0,True
1,50,0.5,51.32999492705293,82.21873926394743,82.21873926394743,85.01963286723725,5.1329994927052915,13.830817409011276,8.7507833320816,6.165810982475428,74.95942747316572,0.0,0.7210394123036589,50.0,14.916594314557027,88.79024488217699,False,False,0.0,0.0,False,0.0,0,0,0,True
2,51,0.49,52.32334955073972,84.14098852760699,84.14098852760699,72.11283981974054,5.235659482559397,6.8429592832069615,16.470729338472363,6.138039140294003,77.63568771715771,0.0,0.7210394123036589,50.0,22.608768478766365,84.47864700036467,False,False,0.0,0.0,False,0.0,0,0,0,True
3,52,0.48,53.38319472413505,85.76663929508393,85.864271169378,68.53142675399923,5.338319472413504,4.387499087752511,24.140932493888247,5.060049305957776,79.22872431914462,0.09763187429406184,0.7210394123036589,50.0,29.200981799846023,83.61622340689713,False,False,0.0,0.0,False,0.0,0,0,0,True
4,52,0.48,53.38319472413505,85.59848213956585,85.864271169378,66.95562558214539,5.338319472413504,3.411961982917301,31.8714699877914,3.9418587317891935,80.67641104937768,0.3634209041062162,0.7210394123036589,50.0,35.813328719580596,84.08837303229498,False,False,0.0,0.0,False,0.0,0,0,0,True
5,54,0.45999999999999996,55.355329764444626,88.8680387523064,89.17951564917783,68.9571011944989,5.543639452121715,2.9754146095247958,40.11992529732691,3.6942631486578894,83.21774628716533,0.6748978009776465,0.7210394123036589,50.0,43.8141884459848,86.19316089669012,False,False,0.0,0.0,False,0.0,0,0,0,True
6,56,0.43999999999999995,57.29441539963428,93.17302504153982,92.74371248279104,71.03980775941928,5.748959431829927,2.792366702727615,48.723878162497414,4.255422735780986,87.42322663992293,0.24558524222887357,0.7210394123036589,50.0,52.979300898278396,90.21559334265055,False,False,0.0,0.0,False,0.0,0,0,0,True
7,57,0.43000000000000005,58.51619421684035,94.5692970634647,94.36683060592723,71.79532802968507,5.851619421684033,2.739729783565114,57.0593234049106,2.8020485815346907,89.27748949700754,0.04311878469139785,0.7210394123036589,50.0,59.86137198644529,92.01721928057265,False,False,0.0,0.0,False,0.0,0,0,0,True
8,58,0.42000000000000004,59.41224510338522,95.40992599749289,95.96231799637265,70.96612673443293,5.954279411538138,2.7009971987130448,63.746491899585,2.202343733050771,91.68122720038997,0.595510783571159,0.7210394123036589,50.0,65.94883563263578,94.38222439910301,False,False,0.0,0.0,False,0.0,0,0,0,True
9,58,0.42000000000000004,59.5329627222653,95.10947784092292,95.96231799637265,70.18743978823737,5.954279411538138,2.698265531416102,69.70285247271133,0.9226761488522931,93.0908827433112,1.448350939020889,0.7210394123036589,50.0,70.62552862156362,95.7891482747273,False,False,0.0,0.0,False,0.0,0,0,0,True
