component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,174,0,0.0,0.034482758620689655,0.01293103448275862,3,3
CU,0.2,174,0,0.0,0.034482758620689655,0.01293103448275862,3,3
CU,0.3,174,3,0.017241379310344827,0.034482758620689655,0.01293103448275862,3,3
CU,0.4,174,6,0.034482758620689655,0.034482758620689655,0.01293103448275862,3,3
EV,0.1,174,0,0.0,0.017241379310344827,0.01293103448275862,4,3
EV,0.2,174,3,0.017241379310344827,0.017241379310344827,0.01293103448275862,4,3
EV,0.3,174,3,0.017241379310344827,0.017241379310344827,0.01293103448275862,4,3
EV,0.4,174,3,0.017241379310344827,0.017241379310344827,0.01293103448275862,4,3
MD,0.1,174,15,0.08620689655172414,0.3275862068965517,0.23275862068965517,1,1
MD,0.2,174,36,0.20689655172413793,0.3275862068965517,0.23275862068965517,1,1
MD,0.3,174,54,0.3103448275862069,0.3275862068965517,0.23275862068965517,1,1
MD,0.4,174,57,0.3275862068965517,0.3275862068965517,0.23275862068965517,1,1
OU,0.1,174,3,0.017241379310344827,0.15517241379310345,0.08620689655172414,2,2
OU,0.2,174,9,0.05172413793103448,0.15517241379310345,0.08620689655172414,2,2
OU,0.3,174,21,0.1206896551724138,0.15517241379310345,0.08620689655172414,2,2
OU,0.4,174,27,0.15517241379310345,0.15517241379310345,0.08620689655172414,2,2
