param,nroy_min,nroy_max,nroy_p05,nroy_p95
adaptation_rate,0.3673399150811064,0.6842894243602973,0.3673399150811064,0.6842894243602973
alpha_mean,0.6232925233743152,0.6250430210857157,0.6232925233743152,0.6250430210857157
alpha_std,0.0658084870674189,0.111564221058687,0.0658084870674189,0.111564221058687
bank_credit_multiplier,9.132753628683798,10.26217623367853,9.132753628683798,10.26217623367853
consumption_ceiling_prop,1.4541956321303098,2.460080945595127,1.4541956321303098,2.460080945595127
consumption_floor_prop,0.120941967291721,0.2886794647056332,0.120941967291721,0.2886794647056332
consumption_memory,0.270796645248436,0.5778874378482227,0.270796645248436,0.5778874378482227
demand_expectation_memory,0.258704387463209,0.5331566979128644,0.258704387463209,0.5331566979128644
demand_smoothing,0.1102217088290554,0.2736804430939742,0.1102217088290554,0.2736804430939742
deposit_rate,0.0064501588943342,0.02189119787946,0.0064501588943342,0.02189119787946
firm_debt_cap_multiplier,3.093291495147986,4.312768095638161,3.093291495147986,4.312768095638161
firm_max_dsr,1.3278497981705122,1.9237449609749289,1.3278497981705122,1.9237449609749289
firm_reentry_cash_fraction,0.3171006787699416,0.6584629810491247,0.3171006787699416,0.6584629810491247
firm_reentry_lag,0.9387800845161922,3.2630645776035845,0.9387800845161922,3.2630645776035845
hh_debt_cap_multiplier,4.282391151784089,4.452683926548656,4.282391151784089,4.452683926548656
hh_max_dsr,0.4186477988655614,0.5842256490826782,0.4186477988655614,0.5842256490826782
inventory_target_days,1.247941686125094,2.2580323277120846,1.247941686125094,2.2580323277120846
loan_rate,0.0411778349297168,0.0625557923618518,0.0411778349297168,0.0625557923618518
max_fire_per_step,4.345850661028682,9.12180981130818,4.345850661028682,9.12180981130818
max_hire_per_step,4.523781192936234,10.1295299550189,4.523781192936234,10.1295299550189
max_price_step,0.0761475751544023,0.1698394428439839,0.0761475751544023,0.1698394428439839
precautionary_saving,0.0995077767991245,0.2535562578190624,0.0995077767991245,0.2535562578190624
price_adjust_speed,0.1907589975764996,0.3823357446572655,0.1907589975764996,0.3823357446572655
price_elasticity,1.31088220391752,2.2860180272080504,1.31088220391752,2.2860180272080504
price_stickiness,0.5196062413192953,0.7899037112955182,0.5196062413192953,0.7899037112955182
productivity,1.1146231783046685,1.5225464377800288,1.1146231783046685,1.5225464377800288
skill_wage_weight,0.1759895895669831,0.4222109040509979,0.1759895895669831,0.4222109040509979
unemployed_consumption_penalty,0.1727620926958915,0.3645341651789009,0.1727620926958915,0.3645341651789009
unemployment_transfer,0.0776832305878118,0.2000293433184218,0.0776832305878118,0.2000293433184218
wage,1.0593806434373836,1.3069168687079071,1.0593806434373836,1.3069168687079071
